% Please add the following required packages to your document preamble:
% \usepackage{multirow}
\begin{table}[]
\begin{tabular}{lccccccccc}
\multicolumn{1}{c}{\multirow{4}{*}{\textbf{Nutrient Name}}} & \multirow{4}{*}{\textbf{Unit}} & \multirow{4}{*}{\textbf{N{[}1{]}}} & \multicolumn{4}{c}{\textbf{Lean and Fat}}                                                  & \multicolumn{2}{c}{\textbf{Lean Only}} & \multirow{4}{*}{\textbf{Source Code{[}1{]}}} \\
\multicolumn{1}{c}{}                                        &                                &                                    & \multicolumn{2}{c}{\multirow{2}{*}{\textit{Raw}}} & \multicolumn{2}{c}{\textit{Cooked}}    & \multicolumn{2}{c}{\textit{Cooked}}    &                                              \\
\multicolumn{1}{c}{}                                        &                                &                                    & \multicolumn{2}{c}{}                              & \multicolumn{2}{c}{\textit{(Grilled)}} & \multicolumn{2}{c}{\textit{(Grilled)}} &                                              \\
\multicolumn{1}{c}{}                                        &                                &                                    & 100g                    & 114g                    & 100g               & 85g               & 100g               & 85g               &                                              \\
Water                                                       & g                              & 0/0/6                              & 69                      & 79                      & 61                 & 52                & 65                 & 55                & 1                                            \\
Energy                                                      & Kcal                           & 0                                  & 177                     & 202                     & 198                & 168               & 159                & 135               & 4/6/4                                        \\
Calories from fat                                           & Kcal                           & 0                                  & 91                      & 103                     & 85                 & 73                & 40                 & 34                & 4                                            \\
Protein                                                     & g                              & 0/0/6                              & 20                      & 23                      & 28                 & 24                & 30                 & 25                & 1                                            \\
Total lipid (fat)                                           & g                              & 0/0/6                              & 10                      & 11                      & 9                  & 8                 & 4                  & 4                 & 1                                            \\
Ash                                                         & g                              & 0/0/6                              & 0.96                    & 1.09                    & 1.03               & 0.88              & 1.09               & 0.93              & 1                                            \\
Carbohydrate, by difference                                 & g                              & 0                                  & 0                       & 0                       & 0                  & 0                 & 0                  & 0                 & 6/6/4                                        \\
Fiber, total dietary                                        & g                              & 0                                  & 0                       & 0                       & 0                  & 0                 & 0                  & 0                 & 6/6/7                                        \\
Sugars, total                                               & g                              & 0                                  & 0                       & 0                       & 0                  & 0                 & 0                  & 0                 & 6/6/7                                        \\
Calcium, Ca                                                 & mg                             & 0/0/6                              & 14.0                    & 16.0                    & 17.0               & 14.5              & 13.0               & 11.1              & 1                                            \\
Iron, Fe                                                    & mg                             & 0/0/6                              & 0.8                     & 1.0                     & 0.8                & 0.7               & 0.8                & 0.7               & 1                                            \\
Sodium, Na                                                  & mg                             & 0/0/6                              & 98                      & 112                     & 86                 & 73                & 85                 & 72                & 1                                            \\
Vitamin C, total ascorbic acid                              & mg                             & 0                                  & 0                       & 0                       & 0                  & 0                 & 0                  & 0                 & 6/6/7                                        \\
Vitamin A                                                   & IU                             & 0                                  & 0                       & 0                       & 0                  & 0                 & 0                  & 0                 & 1                                            \\
Fatty acids, total saturated                                & g                              & 0                                  & 3.6                     & 4.1                     & 3.4                & 2.9               & 1.7                & 1.5               & 6/6/4                                        \\
Cholesterol                                                 & mg                             & 0/0/6                              & 59                      & 67                      & 79                 & 67                & 78                 & 66                & 1                                            \\
Magnesium, Mg                                               & mg                             & 0/0/6                              & 43                      & 49                      & 32                 & 27                & 33                 & 28                & 1                                            \\
Phosphorus, P                                               & mg                             & 0/0/6                              & 222                     & 253                     & 208                & 177               & 214                & 182               & 1                                            \\
Potassium, K                                                & mg                             & 0/0/6                              & 241                     & 275                     & 229                & 195               & 239                & 203               & 1                                            \\
Zinc, Zn                                                    & mg                             & 0/0/6                              & 2.0                     & 2.3                     & 1.8                & 1.5               & 1.8                & 1.6               & 1                                            \\
Selenium, Se                                                & mcg                            & 0/0/1                              & 16                      & 18                      & 24                 & 21                & 26                 & 22                & 1                                            \\
Thiamin                                                     & mg                             & 0/0/1                              & 0.08                    & 0.09                    & 0.07               & 0.06              & 0.07               & 0.06              & 1                                            \\
Riboflavin                                                  & mg                             & 0/0/1                              & 0.28                    & 0.32                    & 0.31               & 0.27              & 0.33               & 0.28              & 1                                            \\
Niacin                                                      & mg                             & 0/0/1                              & 6.6                     & 7.5                     & 7.5                & 6.4               & 7.9                & 6.7               & 1                                            \\
Pantothenic acid                                            & mg                             & 0/0/1                              & 0.63                    & 0.72                    & 0.54               & 0.45              & 0.55               & 0.47              & 1                                            \\
Vitamin B6                                                  & mg                             & 0/0/1                              & 0.60                    & 0.69                    & 0.64               & 0.54              & 0.69               & 0.59              & 1                                            \\
Vitamin B12                                                 & mcg                            & 0/0/1                              & 2.5                     & 2.8                     & 2.8                & 2.3               & 2.9                & 2.5               & 1                                           
\end{tabular}
\end{table}
