		CD40									b-actin							
		Expt1			Expt2			Expt3			Expt1			Expt2			Expt3	
		repli1	repli2		repli1	repli2		repli1	repli2		repli1	repli2		repli1	repli2		repli1	repli2
		ct	ct		ct	ct		ct	ct		ct	ct		ct	ct		ct	ct
Set1	DC -siRNA -SAG	23.46575546	23.27782822		23.26699448	23.24451828		23.50422478	23.64888573		15.72264957	15.3705101		16.8555851	16.85686302		16.91897583	16.91498756
Set2	DC-siRNA +SAG	20.68679428	20.86841202		20.71243858	20.88795853		20.3508606	20.43110085		15.84457302	15.81408691		16.90181923	16.95760727		16.4239502	16.50166702
Set3	DC + Ctrl siRNA-SAG	23.20295715	23.08432961		23.51388168	23.7159462		23.68541718	23.94476128		15.34564972	15.45032978		16.84977722	16.85103798		16.63053513	16.82460213
Set4	DC+ Ctrl siRNA +SAG	20.81978607	20.97389984		20.71747017	20.77368164		20.1845417	20.04311371		15.95180702	15.93681049		16.88053513	16.90620041		16.40159416	16.2713356
Set5	DC + Runx1 siRNA-SAG	23.25791168	23.22520447		23.31086349	23.2348175		23.58446884	23.20662689		15.70495892	15.65346909		16.79875755	16.80943108		16.73899269	16.67527199
Set6	DC+ Runx1 siRNA +SAG	21.25303268	21.20802689		20.95020676	20.88312912		21.58337212	21.45799637		15.51248741	15.35747242		16.72566795	16.80202484		16.90068436	16.80818176
Set7	DC + Runx3 siRNA-SAG	23.24830627	23.11127663		23.31907654	23.67040253		23.03356743	23.02669907		15.60748672	15.65695763		16.71466255	16.79795074		16.59478378	16.61751175
Set8	DC+ Runx3 siRNA +SAG	21.0089817	20.99313354		20.97721291	20.75078011		21.55672836	21.57345581		15.36792088	15.3497858		16.7793026	16.6058445		16.87886047	16.90221596
Set9	DC + Runx1+3 siRNA-SAG	23.10409927	23.0615387		23.53877068	23.46814728		23.62051201	23.36958885		15.563344	15.54868698		16.62685394	16.93701172		16.66647148	16.57206535
Set10	DC+ Runx1+ 3 siRNA +SAG	22.64747047	22.80455017		21.01763535	21.03050423		22.0331707	21.914505		15.72917271	15.60408592		16.23456383	16.46904945		16.42563248	16.28852844
