% Please add the following required packages to your document preamble:
% \usepackage{multirow}
\begin{table}[]
\begin{tabular}{lllllll}
\multirow{3}{*}{Industry}                                                                                                                   & \multicolumn{6}{l}{2023}                                                                                                                                                                                                                 \\
                                                                                                                                            & \multirow{2}{*}{\begin{tabular}[c]{@{}l@{}}Total\\ employed\end{tabular}} & \multicolumn{5}{l}{Percent of total employed}                                                                                                                \\
                                                                                                                                            &                                                                           & Women & White & \begin{tabular}[c]{@{}l@{}}Black or\\ African\\ American\end{tabular} & Asian & \begin{tabular}[c]{@{}l@{}}Hispanic\\ or Latino\end{tabular} \\
                                                                                                                                            &                                                                           &       &       &                                                                       &       &                                                              \\
Total, 16 years and over                                                                                                                    & 161037                                                                    & 46.9  & 76.5  & 12.8                                                                  & 6.9   & 18.8                                                         \\
                                                                                                                                            &                                                                           &       &       &                                                                       &       &                                                              \\
Agriculture, forestry, fishing, and hunting                                                                                                 & 2264                                                                      & 29.3  & 92.6  & 3.3                                                                   & 0.8   & 25.4                                                         \\
Crop production                                                                                                                             & 1222                                                                      & 29.9  & 94.6  & 2.2                                                                   & 0.7   & 30                                                           \\
Animal production and aquaculture                                                                                                           & 705                                                                       & 28.8  & 91.6  & 3.9                                                                   & 0.9   & 22.2                                                         \\
Support activities for agriculture and forestry                                                                                             & 174                                                                       & 33.4  & 86    & 7.5                                                                   & 0.5   & 21.7                                                         \\
Forestry, except logging                                                                                                                    & 50                                                                        & 38.4  & 95.1  & 0.5                                                                   & 0.9   & 12.4                                                         \\
Logging                                                                                                                                     & 72                                                                        & 9.1   & 90.1  & 5.7                                                                   & 0     & 3.4                                                          \\
Fishing, hunting, and trapping                                                                                                              & 40                                                                        & –     & –     & –                                                                     & –     & –                                                            \\
                                                                                                                                            &                                                                           &       &       &                                                                       &       &                                                              \\
Mining, quarrying, and oil and gas extraction                                                                                               & 590                                                                       & 15.3  & 87.7  & 6.3                                                                   & 2.8   & 22.5                                                         \\
Oil and gas extraction                                                                                                                      & 56                                                                        & 18.7  & 84.7  & 8.6                                                                   & 5.7   & 28.3                                                         \\
Coal mining                                                                                                                                 & 30                                                                        & –     & –     & –                                                                     & –     & –                                                            \\
Metal ore mining                                                                                                                            & 39                                                                        & –     & –     & –                                                                     & –     & –                                                            \\
Nonmetallic mineral mining and quarrying                                                                                                    & 91                                                                        & 17.5  & 93.3  & 1.6                                                                   & 0.7   & 10.7                                                         \\
Not specified type of mining                                                                                                                & 0                                                                         & –     & –     & –                                                                     & –     & –                                                            \\
Support activities for mining                                                                                                               & 374                                                                       & 13.6  & 85.9  & 7.5                                                                   & 3.4   & 26.4                                                         \\
                                                                                                                                            &                                                                           &       &       &                                                                       &       &                                                              \\
Construction                                                                                                                                & 11896                                                                     & 10.8  & 87.5  & 6.7                                                                   & 1.7   & 34                                                           \\
                                                                                                                                            &                                                                           &       &       &                                                                       &       &                                                              \\
Manufacturing                                                                                                                               & 15570                                                                     & 29.5  & 78.4  & 10.8                                                                  & 7.6   & 18.1                                                         \\
Durable goods manufacturing                                                                                                                 & 10065                                                                     & 25.8  & 79.4  & 9.6                                                                   & 8     & 16                                                           \\
Nonmetallic mineral products manufacturing                                                                                                  & 404                                                                       & 18.2  & 81    & 11.5                                                                  & 2.5   & 25.3                                                         \\
Pottery, ceramics, and plumbing fixture manufacturing                                                                                       & 25                                                                        & –     & –     & –                                                                     & –     & –                                                            \\
Clay building material and refractories manufacturing                                                                                       & 20                                                                        & –     & –     & –                                                                     & –     & –                                                            \\
Glass and glass product manufacturing                                                                                                       & 136                                                                       & 20.1  & 73.5  & 17.6                                                                  & 3.2   & 20.2                                                         \\
Cement, concrete, lime, and gypsum product manufacturing                                                                                    & 153                                                                       & 6.8   & 81.8  & 10.7                                                                  & 1.4   & 24.7                                                         \\
