% Please add the following required packages to your document preamble:
% \usepackage[table,xcdraw]{xcolor}
% Beamer presentation requires \usepackage{colortbl} instead of \usepackage[table,xcdraw]{xcolor}
\begin{table}[]
\begin{tabular}{lrrrr}
\textbf{Fatal occupational injuries, total hours worked, and rates1 of fatal occupational injuries by selected} & \multicolumn{1}{l}{\textbf{}}                                            & \multicolumn{1}{l}{}                                                                    & \multicolumn{1}{l}{}                                                    & \multicolumn{1}{l}{}                                                  \\
\textbf{worker characteristics, occupations, and industries, civilian workers, 2022}                            & \multicolumn{1}{l}{\textbf{}}                                            & \multicolumn{1}{l}{}                                                                    & \multicolumn{1}{l}{}                                                    & \multicolumn{1}{l}{}                                                  \\
\rowcolor[HTML]{BFBFBF} 
\multicolumn{1}{c}{\cellcolor[HTML]{BFBFBF}\textbf{Characteristic}}                                             & \multicolumn{1}{c}{\cellcolor[HTML]{BFBFBF}\textbf{Characteristic code}} & \multicolumn{1}{c}{\cellcolor[HTML]{BFBFBF}\textbf{Total hours worked2     (millions)}} & \multicolumn{1}{c}{\cellcolor[HTML]{BFBFBF}\textbf{Fatal injury rate3}} & \multicolumn{1}{c}{\cellcolor[HTML]{BFBFBF}\textbf{Margin of error4}} \\
\textbf{Total}                                                                                                  & \multicolumn{1}{l}{\textbf{}}                                            & \multicolumn{1}{l}{293,800}                                                             & \multicolumn{1}{l}{3.7}                                                 & 0.01                                                                  \\
                                                                                                                & \multicolumn{1}{l}{}                                                     &                                                                                         &                                                                         &                                                                       \\
\multicolumn{1}{c}{\textbf{Employee status}}                                                                    &                                                                          &                                                                                         &                                                                         &                                                                       \\
Wage and salary workers                                                                                         &                                                                          & 277,200                                                                                 & 3.2                                                                     & 0.01                                                                  \\
Self-employed5                                                                                                  &                                                                          & 16,400                                                                                  & 10.7                                                                    & 0.27                                                                  \\
\multicolumn{1}{r}{{\color[HTML]{FFFFFF} no data}}                                                              &                                                                          &                                                                                         &                                                                         &                                                                       \\
\multicolumn{1}{c}{\textbf{Gender}}                                                                             &                                                                          &                                                                                         &                                                                         &                                                                       \\
Men                                                                                                             &                                                                          & 164,800                                                                                 & 6.0                                                                     & 0.03                                                                  \\
Women                                                                                                           &                                                                          & 129,000                                                                                 & 0.7                                                                     & 0.00                                                                  \\
\multicolumn{1}{r}{{\color[HTML]{FFFFFF} no data}}                                                              &                                                                          &                                                                                         &                                                                         &                                                                       \\
\multicolumn{1}{c}{\textbf{Age}}                                                                                &                                                                          &                                                                                         &                                                                         &                                                                       \\
16 to 17 years                                                                                                  &                                                                          & 1,900                                                                                   & 1.3                                                                     & 0.06                                                                  \\
18 to 19 years                                                                                                  &                                                                          & 4,600                                                                                   & 3.0                                                                     & 0.11                                                                  \\
20 to 24 years                                                                                                  &                                                                          & 23,200                                                                                  & 2.6                                                                     & 0.04                                                                  \\
25 to 34 years                                                                                                  &                                                                          & 67,300                                                                                  & 2.8                                                                     & 0.02                                                                  \\
35 to 44 years                                                                                                  &                                                                          & 67,200                                                                                  & 3.1                                                                     & 0.02                                                                  \\
45 to 54 years                                                                                                  &                                                                          & 62,100                                                                                  & 3.5                                                                     & 0.02                                                                  \\
55 to 64 years                                                                                                  &                                                                          & 50,800                                                                                  & 4.6                                                                     & 0.04                                                                  \\
65 years and over                                                                                               &                                                                          & 16,700                                                                                  & 8.8                                                                     & 0.17                                                                  \\
\multicolumn{1}{r}{{\color[HTML]{FFFFFF} no data}}                                                              &                                                                          &                                                                                         &                                                                         &                                                                       \\
\multicolumn{1}{c}{\textbf{Race or ethnic origin6}}                                                             &                                                                          &                                                                                         &                                                                         &                                                                       \\
White (non-Hispanic)                                                                                            &                                                                          & 178,200                                                                                 & 3.5                                                                     & 0.02                                                                  \\
Black or African-American (non-Hispanic)                                                                        &                                                                          & 34,800                                                                                  & 4.2                                                                     & 0.05                                                                  \\
Asian (non-Hispanic)                                                                                            &                                                                          & 19,100                                                                                  & 1.7                                                                     & 0.03                                                                  \\
Hispanic or Latino                                                                                              &                                                                          & 54,000                                                                                  & 4.6                                                                     & 0.04                                                                  \\
                                                                                                                &                                                                          &                                                                                         &                                                                         &                                                                       \\
\multicolumn{1}{c}{\textbf{Occupation7}}                                                                        & \multicolumn{1}{c}{\textbf{Occupation code7}}                            &                                                                                         &                                                                         &                                                                       \\
\textbf{Civilian Occupations}                                                                                   &                                                                          &                                                                                         &                                                                         &                                                                       \\
