% Please add the following required packages to your document preamble:
% \usepackage[table,xcdraw]{xcolor}
% Beamer presentation requires \usepackage{colortbl} instead of \usepackage[table,xcdraw]{xcolor}
\begin{table}[]
\begin{tabular}{crllllll}
\rowcolor[HTML]{44546A} 
{\color[HTML]{FFFFFF} \textbf{Zip Code}} & \multicolumn{1}{c}{\cellcolor[HTML]{44546A}{\color[HTML]{FFFFFF} \textbf{Volume / Loan Amount}}} & \multicolumn{1}{c}{\cellcolor[HTML]{44546A}{\color[HTML]{FFFFFF} \textbf{Property Type}}} & \multicolumn{1}{c}{\cellcolor[HTML]{44546A}{\color[HTML]{FFFFFF} \textbf{Lender}}} & \multicolumn{1}{c}{\cellcolor[HTML]{44546A}{\color[HTML]{FFFFFF} \textbf{Gross Fee}}} & \multicolumn{1}{c}{\cellcolor[HTML]{44546A}{\color[HTML]{FFFFFF} \textbf{Referral Fee}}} & \multicolumn{1}{c}{\cellcolor[HTML]{44546A}{\color[HTML]{FFFFFF} \textbf{Income}}} & \multicolumn{1}{c}{\cellcolor[HTML]{44546A}{\color[HTML]{FFFFFF} \textbf{PC Commission}}} \\
94521                                    & \$472,000                                                                                        & Multifamily                                                                               & GreenPoint                                                                         & \$9,210.00                                                                            & \$1,952.00                                                                               & \$4,379.00                                                                         & \$4,379.00                                                                                \\
94521                                    & \$547,000                                                                                        & Multifamily                                                                               & World Savings                                                                      & \$3,351.25                                                                            & \$710.25                                                                                 & \$2,070.50                                                                         & \$2,070.50                                                                                \\
94577                                    & \$650,000                                                                                        & Multifamily                                                                               & Washington Mutual                                                                  & \$5,600.00                                                                            & \$1,120.00                                                                               & \$2,240.00                                                                         & \$2,240.00                                                                                \\
94705                                    & \$430,000                                                                                        & Multifamily                                                                               & Washington Mutual                                                                  & \$5,000.00                                                                            & \$1,000.00                                                                               & \$2,000.00                                                                         & \$2,000.00                                                                                \\
95991                                    & \$1,349,000                                                                                      & Multifamily                                                                               & Washington Mutual                                                                  & \$7,803.75                                                                            & \$1,560.75                                                                               & \$3,121.50                                                                         & \$3,121.50                                                                                \\
96150                                    & \$1,160,000                                                                                      & Motels                                                                                    & Metro United                                                                       & \$12,325.00                                                                           & \$-                                                                                      & \$6,162.50                                                                         & \$6,162.50                                                                                \\
94501                                    & \$585,000                                                                                        & Multifamily                                                                               & Luther Burbank Savings                                                             & \$7,293.75                                                                            & \$1,458.75                                                                               & \$2,917.50                                                                         & \$2,917.50                                                                                \\
94062                                    & \$720,000                                                                                        & Multifamily                                                                               & Washington Mutual                                                                  & \$3,600.00                                                                            & \$-                                                                                      & \$1,800.00                                                                         & \$1,800.00                                                                                \\
94111                                    & \$1,000,000                                                                                      & Office                                                                                    & Washington Mutual                                                                  & \$8,500.00                                                                            & \$-                                                                                      & \$4,250.00                                                                         & \$4,250.00                                                                                \\
94603                                    & \$488,000                                                                                        & Multifamily                                                                               & Tamalpais Bank                                                                     & \$5,230.00                                                                            & \$-                                                                                      & \$2,615.00                                                                         & \$2,615.00                                                                                \\
94607                                    & \$829,000                                                                                        & Multifamily                                                                               & Greystone                                                                          & \$8,290.00                                                                            & \$-                                                                                      & \$4,145.00                                                                         & \$4,145.00                                                                                \\
