% Please add the following required packages to your document preamble:
% \usepackage[table,xcdraw]{xcolor}
% Beamer presentation requires \usepackage{colortbl} instead of \usepackage[table,xcdraw]{xcolor}
% \usepackage[normalem]{ulem}
% \useunder{\uline}{\ul}{}
\begin{table}[]
\begin{tabular}{llrrrrrrrr}
\textbf{Table 1a: Individual insolvencies, England and Wales, seasonally adjusted, 1 January 2012 to 30 June 2022 {[}p{]}{[}note 1{]}} & \textbf{}                            & \multicolumn{1}{l}{\textbf{}}          & \multicolumn{1}{l}{\textbf{}}                       & \multicolumn{1}{l}{\textbf{}}                   & \multicolumn{1}{l}{\textbf{}}                              & \multicolumn{1}{l}{\textbf{}}                         & \multicolumn{1}{l}{\textbf{}}                      & \multicolumn{1}{l}{\textbf{}}              & \multicolumn{1}{l}{\textbf{}}                      \\
{\color[HTML]{0000EE} {\ul Back to contents}}                                                                                          &                                      & \multicolumn{1}{l}{}                   & \multicolumn{1}{l}{}                                & \multicolumn{1}{l}{}                            & \multicolumn{1}{l}{}                                       & \multicolumn{1}{l}{}                                  & \multicolumn{1}{l}{}                               & \multicolumn{1}{l}{}                       & \multicolumn{1}{l}{}                               \\
This worksheet contains one table. Some cells refer to notes which can be found in the Notes worksheet.                                & {\color[HTML]{0000FF} {\ul }}        & \multicolumn{1}{l}{}                   & \multicolumn{1}{l}{}                                & \multicolumn{1}{l}{}                            & \multicolumn{1}{l}{}                                       & \multicolumn{1}{l}{}                                  & \multicolumn{1}{l}{}                               & \multicolumn{1}{l}{}                       & \multicolumn{1}{l}{}                               \\
Some shorthand is used in this table, {[}r{]} = revised, {[}p{]} = provisional. See Notes worksheet for further details.               & {\color[HTML]{0000FF} {\ul }}        & \multicolumn{1}{l}{}                   & \multicolumn{1}{l}{}                                & \multicolumn{1}{l}{}                            & \multicolumn{1}{l}{}                                       & \multicolumn{1}{l}{}                                  & \multicolumn{1}{l}{}                               & \multicolumn{1}{l}{}                       & \multicolumn{1}{l}{}                               \\
Source: Insolvency Service                                                                                                             & {\color[HTML]{0000FF} {\ul }}        & \multicolumn{1}{l}{}                   & \multicolumn{1}{l}{}                                & \multicolumn{1}{l}{}                            & \multicolumn{1}{l}{}                                       & \multicolumn{1}{l}{}                                  & \multicolumn{1}{l}{}                               & \multicolumn{1}{l}{}                       & \multicolumn{1}{l}{}                               \\
\textbf{Year}                                                                                                                          & \multicolumn{1}{r}{\textbf{Quarter}} & \textbf{Total individual insolvencies} & \multicolumn{1}{l}{{\color[HTML]{FFFFFF} r\_Total}} & \textbf{Bankruptcies  {[}note 2{]}{[}note 3{]}} & \multicolumn{1}{l}{{\color[HTML]{FFFFFF} r\_Bankruptcies}} & \textbf{Debt relief orders {[}note 4{]} {[}note 5{]}} & \multicolumn{1}{l}{{\color[HTML]{FFFFFF} r\_DROs}} & \textbf{Individual voluntary arrangements} & \multicolumn{1}{l}{{\color[HTML]{FFFFFF} r\_IVAs}} \\
{\color[HTML]{C55C10} \textbf{2012}}                                                                                                   & {\color[HTML]{C55C10} \textbf{}}     & {\color[HTML]{C55C10} 109,496}         & {\color[HTML]{C55C10} {[}r{]}}                      & {\color[HTML]{C55C10} 31,776}                   & {\color[HTML]{C55C10} {[}r{]}}                             & {\color[HTML]{C55C10} 31,179}                         & {\color[HTML]{C55C10} }                            & {\color[HTML]{C55C10} 46,541}              & {\color[HTML]{C55C10} }                            \\
{\color[HTML]{C55C10} \textbf{2013}}                                                                                                   & {\color[HTML]{C55C10} \textbf{}}     & {\color[HTML]{C55C10} 100,989}         & {\color[HTML]{C55C10} {[}r{]}}                      & {\color[HTML]{C55C10} 24,565}                   & {\color[HTML]{C55C10} }                                    & {\color[HTML]{C55C10} 27,638}                         & {\color[HTML]{C55C10} {[}r{]}}                     & {\color[HTML]{C55C10} 48,786}              & {\color[HTML]{C55C10} }                            \\
{\color[HTML]{C55C10} \textbf{2014}}                                                                                                   & {\color[HTML]{C55C10} \textbf{}}     & {\color[HTML]{C55C10} 98,143}          & {\color[HTML]{C55C10} }                             & {\color[HTML]{C55C10} 20,339}                   & {\color[HTML]{C55C10} }                                    & {\color[HTML]{C55C10} 26,687}                         & {\color[HTML]{C55C10} }                            & {\color[HTML]{C55C10} 51,117}              & {\color[HTML]{C55C10} }                            \\
{\color[HTML]{C55C10} \textbf{2015}}                                                                                                   & {\color[HTML]{C55C10} \textbf{}}     & {\color[HTML]{C55C10} 80,029}          & {\color[HTML]{C55C10} }                             & {\color[HTML]{C55C10} 15,849}                   & {\color[HTML]{C55C10} }                                    & {\color[HTML]{C55C10} 24,175}                         & {\color[HTML]{C55C10} }                            & {\color[HTML]{C55C10} 40,005}              & {\color[HTML]{C55C10} }                            \\
{\color[HTML]{C55C10} \textbf{2016}}                                                                                                   & {\color[HTML]{C55C10} \textbf{}}     & {\color[HTML]{C55C10} 90,510}          & {\color[HTML]{C55C10} }                             & {\color[HTML]{C55C10} 15,051}                   & {\color[HTML]{C55C10} {[}r{]}}                             & {\color[HTML]{C55C10} 26,195}                         & {\color[HTML]{C55C10} }                            & {\color[HTML]{C55C10} 49,264}              & {\color[HTML]{C55C10} {[}r{]}}                     \\
{\color[HTML]{C55C10} \textbf{2017}}                                                                                                   & {\color[HTML]{C55C10} \textbf{}}     & {\color[HTML]{C55C10} 99,094}          & {\color[HTML]{C55C10} {[}r{]}}                      & {\color[HTML]{C55C10} 15,107}                   & {\color[HTML]{C55C10} }                                    & {\color[HTML]{C55C10} 24,894}                         & {\color[HTML]{C55C10} }                            & {\color[HTML]{C55C10} 59,093}              & {\color[HTML]{C55C10} {[}r{]}}                     \\
{\color[HTML]{C55C10} \textbf{2018}}                                                                                                   & {\color[HTML]{C55C10} \textbf{}}     & {\color[HTML]{C55C10} 115,010}         & {\color[HTML]{C55C10} }                             & {\color[HTML]{C55C10} 16,643}                   & {\color[HTML]{C55C10} {[}r{]}}                             & {\color[HTML]{C55C10} 27,682}                         & {\color[HTML]{C55C10} {[}r{]}}                     & {\color[HTML]{C55C10} 70,685}              & {\color[HTML]{C55C10} }                            \\
{\color[HTML]{C55C10} \textbf{2019}}                                                                                                   & {\color[HTML]{C55C10} \textbf{}}     & {\color[HTML]{C55C10} 122,151}         & {\color[HTML]{C55C10} {[}r{]}}                      & {\color[HTML]{C55C10} 16,743}                   & {\color[HTML]{C55C10} {[}r{]}}                             & {\color[HTML]{C55C10} 27,467}                         & {\color[HTML]{C55C10} }                            & {\color[HTML]{C55C10} 77,941}              & {\color[HTML]{C55C10} {[}r{]}}                     \\
{\color[HTML]{C55C10} \textbf{2020}}                                                                                                   & {\color[HTML]{C55C10} \textbf{}}     & {\color[HTML]{C55C10} 111,574}         & {\color[HTML]{C55C10} {[}r{]}}                      & {\color[HTML]{C55C10} 12,658}                   & {\color[HTML]{C55C10} }                                    & {\color[HTML]{C55C10} 20,473}                         & {\color[HTML]{C55C10} }                            & {\color[HTML]{C55C10} 78,443}              & {\color[HTML]{C55C10} {[}r{]}}                     \\
{\color[HTML]{C55C10} \textbf{2021}}                                                                                                   & {\color[HTML]{C55C10} \textbf{}}     & {\color[HTML]{C55C10} 110,044}         & {\color[HTML]{C55C10} {[}r{]}}                      & {\color[HTML]{C55C10} 8,719}                    & {\color[HTML]{C55C10} {[}r{]}}                             & {\color[HTML]{C55C10} 20,135}                         & {\color[HTML]{C55C10} }                            & {\color[HTML]{C55C10} 81,190}              & {\color[HTML]{C55C10} {[}r{]}}                     \\
\textbf{2012}                                                                                                                          & \textbf{Q1}                          & {\color[HTML]{0000FF} 29,174}          & {\color[HTML]{0000FF} {[}r{]}}                      & {\color[HTML]{0000FF} 8,686}                    & {\color[HTML]{0000FF} {[}r{]}}                             & {\color[HTML]{0000FF} 7,897}                          & {\color[HTML]{0000FF} }                            & {\color[HTML]{0000FF} 12,591}              & {\color[HTML]{0000FF} }                            \\
\textbf{2012}                                                                                                                          & \textbf{Q2}                          & {\color[HTML]{0000FF} 27,303}          & {\color[HTML]{0000FF} {[}r{]}}                      & {\color[HTML]{0000FF} 8,075}                    & {\color[HTML]{0000FF} {[}r{]}}                             & {\color[HTML]{0000FF} 7,956}                          & {\color[HTML]{0000FF} }                            & {\color[HTML]{0000FF} 11,272}              & {\color[HTML]{0000FF} {[}r{]}}                     \\
\textbf{2012}                                                                                                                          & \textbf{Q3}                          & {\color[HTML]{0000FF} 27,216}          & {\color[HTML]{0000FF} {[}r{]}}                      & {\color[HTML]{0000FF} 7,719}                    & {\color[HTML]{0000FF} {[}r{]}}                             & {\color[HTML]{0000FF} 7,777}                          & {\color[HTML]{0000FF} }                            & {\color[HTML]{0000FF} 11,720}              & {\color[HTML]{0000FF} }                            \\
\textbf{2012}                                                                                                                          & \textbf{Q4}                          & {\color[HTML]{0000FF} 25,803}          & {\color[HTML]{0000FF} {[}r{]}}                      & {\color[HTML]{0000FF} 7,296}                    & {\color[HTML]{0000FF} {[}r{]}}                             & {\color[HTML]{0000FF} 7,549}                          & {\color[HTML]{0000FF} }                            & {\color[HTML]{0000FF} 10,958}              & {\color[HTML]{0000FF} {[}r{]}}                     \\
\textbf{2013}                                                                                                                          & \textbf{Q1}                          & {\color[HTML]{0000FF} 25,673}          & {\color[HTML]{0000FF} {[}r{]}}                      & {\color[HTML]{0000FF} 6,451}                    & {\color[HTML]{0000FF} {[}r{]}}                             & {\color[HTML]{0000FF} 7,219}                          & {\color[HTML]{0000FF} }                            & {\color[HTML]{0000FF} 12,003}              & {\color[HTML]{0000FF} {[}r{]}}                     \\
\textbf{2013}                                                                                                                          & \textbf{Q2}                          & {\color[HTML]{0000FF} 25,724}          & {\color[HTML]{0000FF} {[}r{]}}                      & {\color[HTML]{0000FF} 6,373}                    & {\color[HTML]{0000FF} {[}r{]}}                             & {\color[HTML]{0000FF} 7,132}                          & {\color[HTML]{0000FF} }                            & {\color[HTML]{0000FF} 12,219}              & {\color[HTML]{0000FF} {[}r{]}}                     \\
\textbf{2013}                                                                                                                          & \textbf{Q3}                          & {\color[HTML]{0000FF} 24,978}          & {\color[HTML]{0000FF} {[}r{]}}                      & {\color[HTML]{0000FF} 6,038}                    & {\color[HTML]{0000FF} {[}r{]}}                             & {\color[HTML]{0000FF} 6,724}                          & {\color[HTML]{0000FF} {[}r{]}}                     & {\color[HTML]{0000FF} 12,216}              & {\color[HTML]{0000FF} }                            \\
\textbf{2013}                                                                                                                          & \textbf{Q4}                          & {\color[HTML]{0000FF} 24,614}          & {\color[HTML]{0000FF} {[}r{]}}                      & {\color[HTML]{0000FF} 5,703}                    & {\color[HTML]{0000FF} {[}r{]}}                             & {\color[HTML]{0000FF} 6,563}                          & {\color[HTML]{0000FF} }                            & {\color[HTML]{0000FF} 12,348}              & {\color[HTML]{0000FF} {[}r{]}}                     \\
\textbf{2014}                                                                                                                          & \textbf{Q1}                          & {\color[HTML]{0000FF} 25,589}          & {\color[HTML]{0000FF} {[}r{]}}                      & {\color[HTML]{0000FF} 5,429}                    & {\color[HTML]{0000FF} {[}r{]}}                             & {\color[HTML]{0000FF} 6,549}                          & {\color[HTML]{0000FF} }                            & {\color[HTML]{0000FF} 13,611}              & {\color[HTML]{0000FF} {[}r{]}}                     \\
\textbf{2014}                                                                                                                          & \textbf{Q2}                          & {\color[HTML]{0000FF} 26,996}          & {\color[HTML]{0000FF} {[}r{]}}                      & {\color[HTML]{0000FF} 5,471}                    & {\color[HTML]{0000FF} {[}r{]}}                             & {\color[HTML]{0000FF} 7,006}                          & {\color[HTML]{0000FF} }                            & {\color[HTML]{0000FF} 14,519}              & {\color[HTML]{0000FF} {[}r{]}}                     \\
\textbf{2014}                                                                                                                          & \textbf{Q3}                          & {\color[HTML]{0000FF} 22,910}          & {\color[HTML]{0000FF} {[}r{]}}                      & {\color[HTML]{0000FF} 4,908}                    & {\color[HTML]{0000FF} {[}r{]}}                             & {\color[HTML]{0000FF} 6,807}                          & {\color[HTML]{0000FF} }                            & {\color[HTML]{0000FF} 11,195}              & {\color[HTML]{0000FF} {[}r{]}}                     \\
\textbf{2014}                                                                                                                          & \textbf{Q4}                          & {\color[HTML]{0000FF} 22,647}          & {\color[HTML]{0000FF} {[}r{]}}                      & {\color[HTML]{0000FF} 4,530}                    & {\color[HTML]{0000FF} {[}r{]}}                             & {\color[HTML]{0000FF} 6,325}                          & {\color[HTML]{0000FF} }                            & {\color[HTML]{0000FF} 11,792}              & {\color[HTML]{0000FF} {[}r{]}}                     \\
\textbf{2015}                                                                                                                          & \textbf{Q1}                          & {\color[HTML]{0000FF} 20,485}          & {\color[HTML]{0000FF} {[}r{]}}                      & {\color[HTML]{0000FF} 4,198}                    & {\color[HTML]{0000FF} {[}r{]}}                             & {\color[HTML]{0000FF} 6,213}                          & {\color[HTML]{0000FF} }                            & {\color[HTML]{0000FF} 10,074}              & {\color[HTML]{0000FF} {[}r{]}}                     \\
\textbf{2015}                                                                                                                          & \textbf{Q2}                          & {\color[HTML]{0000FF} 18,829}          & {\color[HTML]{0000FF} {[}r{]}}                      & {\color[HTML]{0000FF} 3,984}                    & {\color[HTML]{0000FF} {[}r{]}}                             & {\color[HTML]{0000FF} 5,832}                          & {\color[HTML]{0000FF} }                            & {\color[HTML]{0000FF} 9,013}               & {\color[HTML]{0000FF} {[}r{]}}                     \\
\textbf{2015}                                                                                                                          & \textbf{Q3}                          & {\color[HTML]{0000FF} 19,654}          & {\color[HTML]{0000FF} {[}r{]}}                      & {\color[HTML]{0000FF} 3,877}                    & {\color[HTML]{0000FF} {[}r{]}}                             & {\color[HTML]{0000FF} 5,629}                          & {\color[HTML]{0000FF} }                            & {\color[HTML]{0000FF} 10,148}              & {\color[HTML]{0000FF} {[}r{]}}                     \\
\textbf{2015}                                                                                                                          & \textbf{Q4}                          & {\color[HTML]{0000FF} 21,060}          & {\color[HTML]{0000FF} {[}r{]}}                      & {\color[HTML]{0000FF} 3,790}                    & {\color[HTML]{0000FF} {[}r{]}}                             & {\color[HTML]{0000FF} 6,501}                          & {\color[HTML]{0000FF} }                            & {\color[HTML]{0000FF} 10,769}              & {\color[HTML]{0000FF} {[}r{]}}                     \\
\textbf{2016}                                                                                                                          & \textbf{Q1}                          & {\color[HTML]{0000FF} 20,720}          & {\color[HTML]{0000FF} {[}r{]}}                      & {\color[HTML]{0000FF} 3,612}                    & {\color[HTML]{0000FF} {[}r{]}}                             & {\color[HTML]{0000FF} 6,722}                          & {\color[HTML]{0000FF} }                            & {\color[HTML]{0000FF} 10,386}              & {\color[HTML]{0000FF} {[}r{]}}                     \\
\textbf{2016}                                                                                                                          & \textbf{Q2}                          & {\color[HTML]{0000FF} 23,163}          & {\color[HTML]{0000FF} {[}r{]}}                      & {\color[HTML]{0000FF} 3,668}                    & {\color[HTML]{0000FF} {[}r{]}}                             & {\color[HTML]{0000FF} 6,740}                          & {\color[HTML]{0000FF} }                            & {\color[HTML]{0000FF} 12,755}              & {\color[HTML]{0000FF} {[}r{]}}                     \\
\textbf{2016}                                                                                                                          & \textbf{Q3}                          & {\color[HTML]{0000FF} 23,567}          & {\color[HTML]{0000FF} {[}r{]}}                      & {\color[HTML]{0000FF} 3,906}                    & {\color[HTML]{0000FF} {[}r{]}}                             & {\color[HTML]{0000FF} 6,490}                          & {\color[HTML]{0000FF} }                            & {\color[HTML]{0000FF} 13,171}              & {\color[HTML]{0000FF} {[}r{]}}                     \\
\textbf{2016}                                                                                                                          & \textbf{Q4}                          & {\color[HTML]{0000FF} 23,061}          & {\color[HTML]{0000FF} {[}r{]}}                      & {\color[HTML]{0000FF} 3,865}                    & {\color[HTML]{0000FF} }                                    & {\color[HTML]{0000FF} 6,243}                          & {\color[HTML]{0000FF} }                            & {\color[HTML]{0000FF} 12,953}              & {\color[HTML]{0000FF} {[}r{]}}                     \\
\textbf{2017}                                                                                                                          & \textbf{Q1}                          & {\color[HTML]{0000FF} 25,301}          & {\color[HTML]{0000FF} {[}r{]}}                      & {\color[HTML]{0000FF} 3,815}                    & {\color[HTML]{0000FF} {[}r{]}}                             & {\color[HTML]{0000FF} 6,119}                          & {\color[HTML]{0000FF} }                            & {\color[HTML]{0000FF} 15,367}              & {\color[HTML]{0000FF} {[}r{]}}                     \\
\textbf{2017}                                                                                                                          & \textbf{Q2}                          & {\color[HTML]{0000FF} 22,723}          & {\color[HTML]{0000FF} {[}r{]}}                      & {\color[HTML]{0000FF} 3,744}                    & {\color[HTML]{0000FF} {[}r{]}}                             & {\color[HTML]{0000FF} 6,146}                          & {\color[HTML]{0000FF} }                            & {\color[HTML]{0000FF} 12,833}              & {\color[HTML]{0000FF} {[}r{]}}                     \\
\textbf{2017}                                                                                                                          & \textbf{Q3}                          & {\color[HTML]{0000FF} 25,905}          & {\color[HTML]{0000FF} {[}r{]}}                      & {\color[HTML]{0000FF} 3,733}                    & {\color[HTML]{0000FF} {[}r{]}}                             & {\color[HTML]{0000FF} 6,274}                          & {\color[HTML]{0000FF} }                            & {\color[HTML]{0000FF} 15,898}              & {\color[HTML]{0000FF} {[}r{]}}                     \\
\textbf{2017}                                                                                                                          & \textbf{Q4}                          & {\color[HTML]{0000FF} 25,166}          & {\color[HTML]{0000FF} {[}r{]}}                      & {\color[HTML]{0000FF} 3,816}                    & {\color[HTML]{0000FF} }                                    & {\color[HTML]{0000FF} 6,355}                          & {\color[HTML]{0000FF} }                            & {\color[HTML]{0000FF} 14,995}              & {\color[HTML]{0000FF} {[}r{]}}                     \\
\textbf{2018}                                                                                                                          & \textbf{Q1}                          & {\color[HTML]{0000FF} 27,504}          & {\color[HTML]{0000FF} {[}r{]}}                      & {\color[HTML]{0000FF} 4,122}                    & {\color[HTML]{0000FF} {[}r{]}}                             & {\color[HTML]{0000FF} 6,544}                          & {\color[HTML]{0000FF} }                            & {\color[HTML]{0000FF} 16,838}              & {\color[HTML]{0000FF} {[}r{]}}                     \\
\textbf{2018}                                                                                                                          & \textbf{Q2}                          & {\color[HTML]{0000FF} 28,388}          & {\color[HTML]{0000FF} {[}r{]}}                      & {\color[HTML]{0000FF} 4,064}                    & {\color[HTML]{0000FF} {[}r{]}}                             & {\color[HTML]{0000FF} 7,021}                          & {\color[HTML]{0000FF} }                            & {\color[HTML]{0000FF} 17,303}              & {\color[HTML]{0000FF} {[}r{]}}                     \\
\textbf{2018}                                                                                                                          & \textbf{Q3}                          & {\color[HTML]{0000FF} 25,355}          & {\color[HTML]{0000FF} {[}r{]}}                      & {\color[HTML]{0000FF} 4,240}                    & {\color[HTML]{0000FF} {[}r{]}}                             & {\color[HTML]{0000FF} 6,997}                          & {\color[HTML]{0000FF} }                            & {\color[HTML]{0000FF} 14,118}              & {\color[HTML]{0000FF} {[}r{]}}                     \\
