"Skills for Life Participation and Achievement by Level, Age and Provider Type (2008/09)","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","Participation","","","","","","","Achievement","","","","","","",""
"All Ages","General FE College incl Tertiary","Sixth form college","Special colleges","Other Public Funded","Schools","Private Sector Public Funded","Total","General FE College incl Tertiary","Sixth form college","Special colleges","Other Public Funded","Schools","Private Sector Public Funded","Total",""
"of which EnglishR","485,380","20,300","17,330","109,250","560","332,390","965,200","312,950","15,040","11,550","78,710","410","151,810","570,500",""
"of which mathsR","385,450","23,000","14,080","81,630","610","343,200","848,000","249,260","16,880","9,210","56,020","470","156,810","488,700",""
"of which ESOL (English for Speakers of Other Languages)R","133,400","3,920","6,970","45,450","90","13,150","203,000","99,920","2,730","5,490","33,060","80","5,480","146,700",""
"Total Learners","752,240","37,430","29,130","190,050","1,010","439,930","1,449,800","535,460","29,180","21,170","141,810","800","237,520","965,900",""
"Notes","","","","","","","","","","","","","","",""
"1) For further information on these tables please see the accompanying notes page.","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
