"league","gametime","gamedate","home","positionH","versus","away","positionA"
"BRAZIL>SERIE A","00:00","01/10/2017","PALMEIRAS","4","","SANTOS","2"
"","21:00","01/10/2017","AVAI","15","","ATLETICO GOIANIENSE","20"
"","21:00","01/10/2017","BOTAFOGO","6","","VITORIA","16"
"","21:00","01/10/2017","CRUZEIRO","5","","CORINTHIANS","1"
"","21:00","01/10/2017","GREMIO","3","","FLUMINENSE","11"
"","21:00","01/10/2017","SAO PAULO","17","","SPORT RECIFE","14"
"ARGENTINA>SUPERLIGA ARGENTINA","01:05","01/10/2017","ARGENTINOS JRS","26","","RACING CLUB","14"
"","16:05","01/10/2017","TALLERES CORDOBA","10","","PATRONATO","5"
"","19:05","01/10/2017","SAN MARTIN S.J.","19","","ROSARIO CENTRAL","23"
"","21:05","01/10/2017","INDEPENDIENTE","17","","VELEZ SARSFIELD","11"
"","23:05","01/10/2017","BOCA JUNIORS","1","","CHACARITA JUNIORS","24"
"AUSTRIA>BUNDESLIGA","16:30","01/10/2017","AUSTRIA VIENNA","3","","SCR ALTACH","7"
"","19:00","01/10/2017","RED BULL SALZBURG","2","","WOLFSBERGER AC","8"
"BELARUS>DIVISION 1","13:00","01/10/2017","FC SLUTSK","7","","SHAKHTER SOLIGORSK","1"
"","15:00","01/10/2017","DINAMO MINSK","2","","BATE BORISOV","3"
"","17:00","01/10/2017","TORPEDO ZHODINO","4","","GORODEYA","9"
"BELGIUM>FIRST DIVISION A","14:30","01/10/2017","CLUB BRUGGE","1","","GENT","14"
"","18:00","01/10/2017","ANDERLECHT","7","","STANDARD LIEGE","11"
"","20:00","01/10/2017","ZULTE-WAREGEM","3","","LOKEREN","12"
"COLOMBIA>CLAUSURA","01:00","01/10/2017","ATLETICO NACIONAL","2","","HUILA","14"
"","02:45","01/10/2017","JUNIOR","3","","DEPORTIVO CALI","8"
"","22:15","01/10/2017","JAGUARES","12","","TIGRES FC","11"
"DENMARK>SUPERLIGAEN","12:00","01/10/2017","SILKEBORG","11","","FC NORDSJAELLAND","1"
"","14:00","01/10/2017","FC MIDTJYLLAND","2","","AALBORG","9"
"","16:00","01/10/2017","BRONDBY","5","","SONDERJYSKE","10"
"","18:00","01/10/2017","LYNGBY","12","","FC COPENHAGEN","4"
"ENGLAND>PREMIER LEAGUE","13:00","01/10/2017","ARSENAL","7","","BRIGHTON","14"
"","15:15","01/10/2017","EVERTON","16","","BURNLEY","8"
