"#","Product Code","Variants","Local Price"
"Canada (CAD)","","",""
"6","BA","$5 ","$5 "
"7","BB","$10 ","$10 "
"8","BC","1-Month Premium","$13.99 "
"9","BD","3-Month Premium","$33.99 "
"10","BE","10-Day Premium","$5.99 "
"North America (USD)","","",""
"1","AA","$5","$5 "
"2","AB","$10","$10 "
"3","AC","1-Month Premium","$12.95 "
"4","AD","3-Month Premium","$31.95 "
"5","AE","10-Day Premium","$4.99 "
"Europe (EUR)","","",""
"11","CA","$5 ","€ 5.00"
"12","CB","$10 ","€ 10.00"
"13","CC","1-Month Premium","€ 9.50"
"14","CD","3-Month Premium","€ 23.50"
"15","CE","10-Day Premium","€ 3.75"
"Europe (GBP)","","",""
"16","DA","$5 ","GBP 5"
"17","DB","$10 ","GBP 10"
"18","DC","1-Month Premium","GBP 8.25"
"19","DD","3-Month Premium","GBP 20.25"
"20","DE","10-Day Premium","GBP 3.25"
"Europe (CHF)","","",""
"21","EA","$5 ","CHF 5"
"22","EB","$10 ","CHF 10"
"23","EC","1-Month Premium","CHF 12.50"
"24","ED","3-Month Premium","CHF 30.50"
"25","EE","10-Day Premium","CHF 4.75"
"Europe (DKK)","","",""
"26","FA","$5 ","kr. 30"
"27","FF","$10 ","kr. 60"
"28","FC","1-Month Premium","kr. 71"
"29","FD","3-Month Premium","kr. 175"
"30","FF","10-Day Premium","kr. 27.50"
"Europe (SEK)","","",""
"31","GA","$5 ","40 kr"
"32","GB","$10 ","70 kr"
"33","GC","1-Month Premium","87 kr"
"34","GD","3-Month Premium","214.25 kr"
"35","GE","10-Day Premium","33.50 kr"
"Europe (NOK)","","",""
"36","HA","$5 ","kr 30"
"37","HB","$10 ","kr 60"
"38","HC","1-Month Premium","kr 75.50"
"39","HD","3-Month Premium","kr 186"
"40","HE","10-Day Premium","kr 29"
"Europe (ILS)","","",""
"41","JA","$5 ","₪ 20"
"42","JB","$10 ","₪ 40"
"43","JC","1-Month Premium","₪ 47"
"44","JD","3-Month Premium","₪ 115.50"
"45","JE","10-Day Premium","₪ 18"
"Middle East (SAR)","","",""
"46","KA","$5 ","ر.س.‏ 20 "
"47","KB","$10 ","ر.س.‏ 40 "
"48","KC","1-Month Premium","ر.س.‏ 50 "
"49","KD","3-Month Premium","ر.س.‏ 120 "
"50","KE","10-Day Premium","ر.س.‏ 20 "
"Middle East (AED)","","",""
"51","LA","$5 ","د.إ.‏ 20 "
"52","LB","$10 ","د.إ.‏ 40 "
"53","LC","1-Month Premium","د.إ.‏ 50 "
"54","LD","3-Month Premium","د.إ.‏ 120 "
"55","LE","10-Day Premium","د.إ.‏ 20 "
"Japan (JPY)","","",""
"56","MA","$5 ","¥650"
"57","MB","$10 ","¥1,150"
"58","MC","1-Month Premium","¥1,500"
"59","MD","3-Month Premium","¥3,400"
"60","MF","10-Day Premium","¥650"
"Asia Pacific (TWD)","","",""
"61","NA","$5 ","NT$150"
"62","NB","$10 ","NT$290"
"63","NC","1-Month Premium","NT$380"
"64","ND","3-Month Premium","NT$930"
"65","NE","10-Day Premium","NT$150"
"Asia Pacific (KRW)","","",""
"66","OA","$5 ","₩5,300"
"67","OB","$10 ","₩11,000"
"68","OC","1-Month Premium","₩13,700"
"69","OD","3-Month Premium","₩33,700"
"70","OE","10-Day Premium","₩5,300"
"Asia Pacific (HKD)","","",""
"71","PA","$5 ","HK$40"
"72","PB","$10 ","HK$80"
"73","PC","1-Month Premium","HK$100"
"74","PD","3-Month Premium","HK$250"
"75","PE","10-Day Premium","HK$40"
"Australia (AUD)","","",""
"76","QA","$5 ","$5.50"
"77","QB","$10 ","$10.50"
"78","QC","1-Month Premium","$15.00"
"79","QD","3-Month Premium","$36.00"
"80","QE","10-Day Premium","$6.00"
"New Zealand (NZD)","","",""
"81","RA","$5 ","$6.50 "
"82","RB","$10 ","$13 "
"83","RC","1-Month Premium","$19 "
"84","RD","3-Month Premium","$46 "
"85","RE","10-Day Premium","$7.50 "
"Philippines (PHP)","","",""
"86","SA","$5 ","Php250"
"87","SB","$10 ","Php500"
"88","SC","1-Month Premium","Php650"
"89","SD","3-Month Premium","Php1,550"
"90","SE","10-Day Premium","Php250"
"FREE TRIAL","","",""
"91","TF","7-Day Free Trial","-"
"92","TG","14-Day Free Trial","-"
"93","TH","30-Day Premium","-"
