"HOUSEHOLD DATA
ANNUAL AVERAGES 
22. Persons at work in nonagricultural industries by age, sex, race, Hispanic or Latino ethnicity, marital status, and usual full- or part-time status","","","","","","","",""
"[Numbers in thousands]","","","","","","","",""
"","","","","","","","",""
"Characteristic","2023","","","","","","",""
"","Total
at
work","Worked 1 to 34 hours","","","","Worked
35 hours
or more","Average hours",""
"","","Total","For
economic
reasons","For noneconomic
reasons","","","Total
at
work","Persons who
usually work
full time"
"","","","","Usually work full time","Usually work part time","","",""
"","","","","","","","",""
"AGE AND SEX","","","","","","","",""
"Total, 16 years and over","152987","34282","3996","8832","21453","118705","38.5","41.9"
"16 to 19 years","5338","3869","252","148","3469","1469","24","38.7"
"16 to 17 years","2027","1780","32","33","1715","247","18.5","37.9"
"18 to 19 years","3311","2088","219","115","1754","1223","27.4","38.9"
"20 years and over","147649","30413","3745","8684","17984","117236","39","41.9"
"20 to 24 years","14133","4867","681","659","3527","9266","34.7","40.3"
"25 years and over","133516","25546","3063","8026","14457","107970","39.4","42"
"25 to 54 years","98532","16505","2373","5955","8177","82026","40","42"
"55 years and over","34984","9041","690","2070","6280","25944","37.8","42.1"
"","","","","","","","",""
"Men, 16 years and over","81391","14081","2149","4385","7548","67310","40.3","42.7"
"16 to 19 years","2640","1758","127","81","1550","882","25.7","39.3"
"16 to 17 years","950","810","17","18","775","140","19.4","38.6"
"18 to 19 years","1690","948","111","62","775","742","29.3","39.4"
"20 years and over","78751","12323","2021","4304","5998","66428","40.7","42.8"
"20 to 24 years","7146","2031","360","330","1341","5115","36.5","40.9"
"25 years and over","71605","10292","1662","3974","4657","61313","41.2","42.9"
"25 to 54 years","52886","6417","1303","2930","2185","46469","41.7","42.9"
"55 years and over","18719","3875","359","1044","2472","14844","39.6","43"
"","","","","","","","",""
"Women, 16 years and over","71596","20201","1848","4447","13906","51395","36.4","40.8"
"16 to 19 years","2698","2110","124","67","1919","587","22.3","37.9"
"16 to 17 years","1077","970","16","15","940","107","17.6","37"
"18 to 19 years","1621","1140","109","52","979","481","25.5","38.1"
"20 years and over","68898","18090","1723","4380","11986","50808","37","40.8"
"20 to 24 years","6987","2837","322","329","2186","4151","32.9","39.5"
"25 years and over","61911","15254","1402","4052","9800","46657","37.4","40.9"
"25 to 54 years","45646","10088","1071","3026","5992","35558","38.1","40.9"
"55 years and over","16265","5165","331","1026","3808","11100","35.7","41"
"","","","","","","","",""
"RACE AND HISPANIC OR LATINO ETHNICITY","","","","","","","",""
"White, 16 years and over","116643","26736","2968","6855","16914","89907","38.4","42"
"Men","63096","10937","1604","3471","5861","52159","40.4","42.9"
"Women","53548","15799","1364","3384","11052","37748","36.1","40.7"
"Black or African American, 16 years and over","19859","3887","566","1030","2292","15972","39","41.7"
"Men","9594","1619","302","444","873","7975","40","42.4"
"Women","10265","2268","264","586","1419","7997","37.9","41"
"Asian, 16 years and over","10696","2121","225","539","1357","8575","38.4","41.4"
"Men","5672","878","112","277","488","4794","39.8","41.9"
"Women","5024","1243","112","262","869","3781","36.8","40.8"
"Hispanic or Latino ethnicity, 16 years and over","28861","6508","1344","1469","3694","22353","37.9","41"
"Men","16256","2785","769","771","1245","13471","39.5","41.6"
"Women","12604","3723","575","698","2450","8882","35.8","40.1"
"","","","","","","","",""
"MARITAL STATUS","","","","","","","",""
"Men, 16 years and over","","","","","","","",""
"Married, spouse present(1)","43723","5679","717","2433","2529","38044","41.8","43.3"
"Widowed, divorced, or separated(2)","9363","1628","281","539","809","7735","40.6","42.9"
"Never married","28306","6775","1151","1413","4210","21531","37.8","41.6"
"Women, 16 years and over","","","","","","","",""
"Married, spouse present(1)","34755","8982","605","2192","6185","25773","36.9","40.8"
"Widowed, divorced, or separated(2)","12439","3227","361","863","2003","9211","37.6","41.4"
"Never married","24402","7991","881","1392","5718","16411","35.1","40.4"
"","","","","","","","",""
"Footnotes:","","","","","","","",""
"(1) Beginning with data for January 2020, refers to persons in both opposite-sex and same-sex married couples. Prior to January 2020, referred to persons in opposite-sex married couples only.","","","","","","","",""
"(2) Separated includes persons who are married, spouse absent.","","","","","","","",""
"NOTE:  Full time is 35 hours or more per week; part time is less than 35 hours. Estimates for the above race groups (White, Black or African American, and Asian) do not sum to totals because data are not presented for all races.  Persons whose ethnicity is identified as Hispanic or Latino may be of any race.  Updated population controls are introduced annually with the release of January data.","","","","","","","",""
