"Product, country code and name 1/","","","2013","2014","2015","2016","2017","2018","Jan-Oct 18","Jan-Oct 19"
"Whole, frozen","5700","China (Mainland)","47,334","53,771","51,795","48,966","40,456","49,836","38,474","33,709"
"","5830","China (Taiwan)","31,134","28,657","22,695","19,119","17,610","19,888","15,988","20,632"
"","5520","Vietnam","488","4,267","6,713","2,664","3,035","2,994","2,463","2,714"
"","5490","Thailand","858","2,190","1,363","1,473","1,329","1,150","945","1,615"
"","2250","Panama","256","404","286","180","154","136","97","292"
"","5650","Philippines","259","10","3","749","58","","",""
"","2010","Mexico","","36","250","224","32","","",""
"","","Other countries","598","251","322","533","261","570","489","906"
"","","Total
 ","80,927","89,585","83,428","73,908","62,934","74,573","58,455","59,868"
"Fillets, fresh","2150","Honduras","64,380","78,245","66,120","53,880","44,931","43,742","37,540","34,505"
"","3010","Colombia","30,981","33,186","44,409","42,944","48,117","50,911","43,849","31,954"
"","2230","Costa Rica","49,630","40,364","36,787","31,524","30,117","29,227","24,307","25,873"
"","2010","Mexico","12,172","23,801","16,187","10,566","16,233","7,332","6,792","7,838"
"","3310","Ecuador","29,954","14,364","17,156","11,340","6,694","4,213","3,771","3,080"
"","3510","Brazil","503","420","891","5,780","3,965","2,900","2,633","2,910"
"","5460","Myanmar (Burma)","","","2,225","2,216","2,850","2,372","2,159","1,100"
"","","Other countries","11,201","6,099","5,325","3,634","2,659","8,582","6,344","1,285"
"","","Total
 ","198,822","196,479","189,099","161,883","155,566","149,277","127,395","108,546"
"Total","5700","China (Mainland)","692,266","768,585","632,923","478,586","426,497","445,662","333,011","273,477"
"","5600","Indonesia","81,652","78,325","74,415","52,777","47,465","43,564","36,130","42,583"
"","2150","Honduras","64,757","81,515","72,441","55,076","46,256","47,523","40,114","44,091"
"","3010","Colombia","31,016","33,288","44,414","42,944","48,150","51,195","43,962","32,653"
"","2230","Costa Rica","51,265","42,295","37,988","32,372","30,938","31,146","25,752","27,664"
"","5830","China (Taiwan)","42,189","37,928","37,382","31,532","27,608","29,426","22,837","29,773"
"","2010","Mexico","12,463","28,973","32,506","20,667","19,438","15,512","13,616","19,825"
"","","Other countries","58,893","43,471","48,657","40,876","28,182","22,848","19,781","17,503"
"","","Total
 ","1,034,501","1,114,381","980,727","754,830","674,535","686,876","535,203","487,569"
"Fillets, frozen","5700","China (Mainland)","644,347","714,279","580,599","429,384","386,008","395,826","294,537","239,768"
"","5600","Indonesia","81,604","78,325","74,415","52,777","47,465","39,170","33,663","42,576"
"","5830","China (Taiwan)","8,896","7,726","14,687","12,401","9,927","9,061","6,372","8,993"
"","2010","Mexico","290","5,136","16,069","9,877","3,173","8,181","6,824","11,987"
"","5490","Thailand","9,323","9,366","7,434","5,528","2,033","","","14"
"","2150","Honduras","376","3,270","6,321","1,196","1,325","3,782","2,574","9,586"
"","5570","Malaysia","811","2,299","1,844","3,629","1,714","2,468","1,818","1,586"
"","","Other countries","9,104","7,914","6,830","4,248","4,390","4,538","3,564","4,645"
"","","Total
 ","754,752","828,316","708,200","519,038","456,035","463,026","349,352","319,155"
"1/ Countries are ranked by the sum of their trade for all full years shown. The last two columns contain data for the previous and current year to date.
Source: U.S. Department of Commerce, Bureau of the Census.","","","","","","","","","",""
"Date run: 12/6/2019 9:49:43 AM","","","","","","","","","",""
