"DBN","School Name","Progress Score","Progress Grade","Credit accumulation per year 0-11","Peer 0% of Range","Peer 100% of Range","Peer Percent of Range","City 0% of Range","City 100% of Range","City Percent of Range","Credit accumulation per year 11-22","Peer 0% of Range","Peer 100% of Range","Peer Percent of Range","City 0% of Range","City 100% of Range","City Percent of Range","Credit accumulation per year 22-33","Peer 0% of Range","Peer 100% of Range","Peer Percent of Range","City 0% of Range","City 100% of Range","City Percent of Range","Credit accumulation per year 33-38","Peer 0% of Range","Peer 100% of Range","Peer Percent of Range","City 0% of Range","City 100% of Range","City Percent of Range","Average change in Attendance","Peer 0% of Range","Peer 100% of Range","Peer Percent of Range","City 0% of Range","City 100% of Range","City Percent of Range","Average Completion Rate of Remaining Regents","Peer 0% of Range","Peer 100% of Range","Peer Percent of Range","City 0% of Range","City 100% of Range","City Percent of Range","Weighted Regents Pass Rate - English","Peer 0% of Range","Peer 100% of Range","Peer Percent of Range","City 0% of Range","City 100% of Range","City Percent of Range","Weighted Regents Pass Rate - Math","Peer 0% of Range","Peer 100% of Range","Peer Percent of Range","City 0% of Range","City 100% of Range","City Percent of Range","Weighted Regents Pass Rate - Science","Peer 0% of Range","Peer 100% of Range","Peer Percent of Range","City 0% of Range","City 100% of Range","City Percent of Range","Weighted Regents Pass Rate - Global History","Peer 0% of Range","Peer 100% of Range","Peer Percent of Range","City 0% of Range","City 100% of Range","City Percent of Range","Weighted Regents Pass Rate - US History","Peer 0% of Range","Peer 100% of Range","Peer Percent of Range","City 0% of Range","City 100% of Range","City Percent of Range"
"01M458","Forsyth Satellite Academy","25.0","D","4.55","2.00","11.64","26.5%","1.76","11.48","28.7%","7.40","3.04","12.48","46.2%","3.01","12.25","47.5%","8.83","5.65","13.75","39.3%","5.82","13.34","40.0%",".","5.78","13.32",".","5.76","12.98",".","2.6%","-10.9%","8.5%","69.6%","-11.7%","9.9%","66.2%",".","3.7%","43.3%",".","1.4%","43.0%",".","0.77","0.42","1.98","22.4%","0.41","1.91","24.0%",".","0.20","2.12",".","0.08","2.26",".",".","0.55","2.47",".","0.47","2.55",".",".","0.25","2.39",".","0.20","2.48",".",".","0.52","1.82",".","0.49","1.89","."
"01M515","Lower East Side Preparatory High School","33.8","B","7.99","2.74","11.78","58.1%","1.76","11.48","64.1%","10.86","3.22","12.68","80.8%","3.01","12.25","85.0%","10.35","5.39","14.13","56.8%","5.82","13.34","60.2%","13.53","5.20","13.84","96.4%","5.76","12.98","100.0%","-3.2%","-10.9%","9.3%","38.1%","-11.7%","9.9%","39.4%","57.1%","4.3%","47.5%","100.0%","1.4%","43.0%","100.0%","1.64","0.42","2.08","73.5%","0.41","1.91","82.0%","1.38","0.20","2.22","58.4%","0.08","2.26","59.6%","1.37","0.61","2.31","44.7%","0.47","2.55","43.3%","1.34","0.22","2.40","51.4%","0.20","2.48","50.0%","1.26","0.54","1.86","54.5%","0.49","1.89","55.0%"
"01M650","Cascades High School","36.5","B",".","2.98","11.96",".","1.76","11.48",".","10.16","3.13","12.95","71.6%","3.01","12.25","77.4%","10.67","5.17","14.15","61.2%","5.82","13.34","64.5%","11.42","5.01","13.97","71.5%","5.76","12.98","78.4%","-4.9%","-11.2%","9.4%","30.6%","-11.7%","9.9%","31.5%","52.0%","4.9%","49.7%","100.0%","1.4%","43.0%","100.0%","1.55","0.43","2.17","64.4%","0.41","1.91","76.0%","1.81","0.21","2.29","76.9%","0.08","2.26","79.4%","2.47","0.59","2.35","100.0%","0.47","2.55","96.2%","2.08","0.22","2.48","82.3%","0.20","2.48","82.5%","1.53","0.60","1.88","72.7%","0.49","1.89","74.3%"
"02M313","James Baldwin School, The: A School for Expeditionary Learning","23.9","D","7.58","2.86","11.84","52.6%","1.76","11.48","59.9%","7.75","2.95","12.81","48.7%","3.01","12.25","51.3%","9.61","5.00","13.90","51.8%","5.82","13.34","50.4%","11.97","4.80","13.94","78.4%","5.76","12.98","86.0%","-9.5%","-11.2%","8.8%","8.5%","-11.7%","9.9%","10.2%",".","4.0%","50.6%",".","1.4%","43.0%",".","1.66","0.40","2.20","70.0%","0.41","1.91","83.3%",".","0.15","2.33",".","0.08","2.26",".",".","0.54","2.38",".","0.47","2.55",".",".","0.17","2.49",".","0.20","2.48",".",".","0.59","1.87",".","0.49","1.89","."
"02M394","EMMA LAZARUS HIGH SCHOOL",".",".",".","3.04","11.86",".","1.76","11.48",".","11.35","3.36","12.70","85.5%","3.01","12.25","90.3%","13.31","4.93","13.87","93.7%","5.82","13.34","99.6%","14.25","4.88","13.98","100.0%","5.76","12.98","100.0%","-2.7%","-11.6%","9.0%","43.2%","-11.7%","9.9%","41.7%","55.6%","4.0%","50.6%","100.0%","1.4%","43.0%","100.0%","2.68","0.40","2.22","100.0%","0.41","1.91","100.0%","1.78","0.15","2.33","74.8%","0.08","2.26","78.0%","1.82","0.54","2.38","69.6%","0.47","2.55","64.9%","2.06","0.17","2.49","81.5%","0.20","2.48","81.6%","1.78","0.59","1.87","93.0%","0.49","1.89","92.1%"
"02M432","MURRAY HILL ACADEMY",".",".","10.62","2.53","11.93","86.1%","1.76","11.48","91.2%","11.60","3.04","12.78","87.9%","3.01","12.25","93.0%",".","5.19","14.07",".","5.82","13.34",".",".","5.13","13.85",".","5.76","12.98",".","-2.9%","-11.3%","9.1%","41.2%","-11.7%","9.9%","40.7%","44.3%","3.7%","48.7%","90.2%","1.4%","43.0%","100.0%","1.16","0.42","2.12","43.5%","0.41","1.91","50.0%","1.32","0.20","2.24","54.9%","0.08","2.26","56.9%","1.59","0.61","2.33","57.0%","0.47","2.55","53.8%","0.19","0.19","2.43","0.0%","0.20","2.48","0.0%","0.95","0.58","1.84","29.4%","0.49","1.89","32.9%"
"02M544","Independence High School","22.8","D","4.98","1.78","11.54","32.8%","1.76","11.48","33.1%","7.00","2.74","12.32","44.5%","3.01","12.25","43.2%","7.93","5.56","13.60","29.5%","5.82","13.34","28.1%","9.80","5.62","13.14","55.6%","5.76","12.98","56.0%","-5.1%","-11.2%","8.6%","30.8%","-11.7%","9.9%","30.6%","21.2%","3.6%","42.0%","45.8%","1.4%","43.0%","47.6%","1.19","0.41","1.97","50.0%","0.41","1.91","52.0%","1.23","0.17","2.11","54.6%","0.08","2.26","52.8%","1.98","0.51","2.47","75.0%","0.47","2.55","72.6%","1.07","0.24","2.40","38.4%","0.20","2.48","38.2%","0.93","0.51","1.83","31.8%","0.49","1.89","31.4%"
"02M550","Liberty High School Academy for Newcomers","37.4","A","11.74","2.78","11.76","99.8%","1.76","11.48","100.0%","12.24","3.29","12.55","96.7%","3.01","12.25","99.9%","13.80","5.40","14.02","97.4%","5.82","13.34","100.0%","13.44","5.27","13.69","97.0%","5.76","12.98","100.0%","-4.1%","-10.6%","9.6%","32.2%","-11.7%","9.9%","35.2%","35.1%","4.4%","46.8%","72.4%","1.4%","43.0%","81.0%","1.52","0.44","2.08","65.9%","0.41","1.91","74.0%","1.86","0.19","2.19","83.5%","0.08","2.26","81.7%","1.26","0.55","2.45","37.4%","0.47","2.55","38.0%","1.20","0.22","2.44","44.1%","0.20","2.48","43.9%","1.33","0.55","1.85","60.0%","0.49","1.89","60.0%"
"02M560","High School M560 - City As School","15.4","F","7.04","2.90","11.88","46.1%","1.76","11.48","54.3%","7.17","3.02","12.82","42.3%","3.01","12.25","45.0%","6.64","5.04","13.98","17.9%","5.82","13.34","10.9%","6.74","4.85","13.95","20.8%","5.76","12.98","13.6%","-6.3%","-11.3%","8.7%","25.0%","-11.7%","9.9%","25.0%",".","4.4%","50.8%",".","1.4%","43.0%",".","1.18","0.42","2.18","43.2%","0.41","1.91","51.3%",".","0.17","2.31",".","0.08","2.26",".",".","0.56","2.36",".","0.47","2.55",".",".","0.18","2.52",".","0.20","2.48",".",".","0.58","1.90",".","0.49","1.89","."
"02M565","Urban Academy Laboratory High School","32.6","B","7.46","2.50","12.66","48.8%","1.76","11.48","58.6%","6.93","2.98","13.18","38.7%","3.01","12.25","42.4%","8.54","5.07","13.75","40.0%","5.82","13.34","36.2%",".","4.93","13.95",".","5.76","12.98",".","7.5%","-11.3%","8.9%","93.1%","-11.7%","9.9%","88.9%",".","5.1%","51.3%",".","1.4%","43.0%",".","1.11","0.45","2.19","37.9%","0.41","1.91","46.7%",".","0.16","2.36",".","0.08","2.26",".",".","0.55","2.39",".","0.47","2.55",".",".","0.22","2.52",".","0.20","2.48",".",".","0.59","1.89",".","0.49","1.89","."
"02M570","Satellite Academy High School","49.1","A","11.32","1.64","9.92","100.0%","1.76","11.48","98.4%","12.15","3.35","11.05","100.0%","3.01","12.25","98.9%","13.20","6.32","12.68","100.0%","5.82","13.34","98.1%","14.41","6.72","11.74","100.0%","5.76","12.98","100.0%","5.6%","-12.5%","10.3%","79.4%","-11.7%","9.9%","80.1%",".","2.9%","33.5%",".","1.4%","43.0%",".","1.46","0.47","1.63","85.3%","0.41","1.91","70.0%",".","0.00","2.22",".","0.08","2.26",".",".","0.38","2.70",".","0.47","2.55",".",".","0.18","2.48",".","0.20","2.48",".",".","0.42","1.90",".","0.49","1.89","."
"02M575","Manhattan Comprehensive Night and Day High School","34.4","B","9.69","2.49","11.77","77.6%","1.76","11.48","81.6%","9.21","2.97","12.55","65.1%","3.01","12.25","67.1%","8.81","5.44","13.90","39.8%","5.82","13.34","39.8%","10.14","5.34","13.46","59.1%","5.76","12.98","60.7%","-3.5%","-10.6%","9.2%","35.9%","-11.7%","9.9%","38.0%","35.2%","5.0%","45.0%","75.5%","1.4%","43.0%","81.3%","2.26","0.44","2.00","100.0%","0.41","1.91","100.0%","1.79","0.20","2.18","80.3%","0.08","2.26","78.4%","1.79","0.55","2.45","65.3%","0.47","2.55","63.5%","1.90","0.21","2.39","77.5%","0.20","2.48","74.6%","1.59","0.55","1.83","81.3%","0.49","1.89","78.6%"
"02M586","Harvey Milk High School","33.8","B",".","1.93","11.33",".","1.76","11.48",".","8.91","2.88","12.36","63.6%","3.01","12.25","63.9%","7.45","5.61","13.69","22.8%","5.82","13.34","21.7%",".","5.65","13.17",".","5.76","12.98",".","5.3%","-11.4%","8.6%","83.5%","-11.7%","9.9%","78.7%","27.2%","2.9%","41.7%","62.6%","1.4%","43.0%","62.0%","1.25","0.39","1.95","55.1%","0.41","1.91","56.0%","1.57","0.17","2.11","72.2%","0.08","2.26","68.3%",".","0.49","2.51",".","0.47","2.55",".","2.06","0.26","2.38","84.9%","0.20","2.48","81.6%",".","0.50","1.84",".","0.49","1.89","."
"02M605","Humanities Preparatory Academy","32.7","B","10.49","2.45","12.81","77.6%","1.76","11.48","89.8%","10.29","2.86","13.34","70.9%","3.01","12.25","78.8%","9.14","4.94","13.84","47.2%","5.82","13.34","44.1%","10.26","4.75","14.09","59.0%","5.76","12.98","62.3%","-1.8%","-11.4%","8.8%","47.5%","-11.7%","9.9%","45.8%",".","6.2%","51.0%",".","1.4%","43.0%",".","1.47","0.48","2.18","58.2%","0.41","1.91","70.7%",".","0.19","2.29",".","0.08","2.26",".",".","0.57","2.41",".","0.47","2.55",".",".","0.23","2.43",".","0.20","2.48",".",".","0.60","1.84",".","0.49","1.89","."
"03M404","INNOVATION DIPLOMA PLUS","19.9","F","4.32","2.03","11.59","24.0%","1.76","11.48","26.3%","6.61","3.05","12.43","38.0%","3.01","12.25","39.0%","8.99","5.66","13.74","41.2%","5.82","13.34","42.2%","8.79","5.77","13.29","40.2%","5.76","12.98","42.0%","-5.7%","-10.9%","8.7%","26.5%","-11.7%","9.9%","27.8%","19.5%","3.6%","43.0%","40.4%","1.4%","43.0%","43.5%","0.98","0.43","1.97","35.7%","0.41","1.91","38.0%","1.60","0.20","2.10","73.7%","0.08","2.26","69.7%","0.83","0.53","2.47","15.5%","0.47","2.55","17.3%","1.01","0.26","2.38","35.4%","0.20","2.48","35.5%","0.92","0.50","1.82","31.8%","0.49","1.89","30.7%"
"03M505","Edward A. Reynolds West Side High School","19.9","F",".","1.67","9.79",".","1.76","11.48",".","6.30","3.62","10.90","36.8%","3.01","12.25","35.6%","7.09","6.37","12.45","11.8%","5.82","13.34","16.9%","8.17","6.72","11.64","29.5%","5.76","12.98","33.4%","-9.4%","-13.7%","10.3%","17.9%","-11.7%","9.9%","10.6%","24.7%","1.5%","33.7%","72.0%","1.4%","43.0%","56.0%","0.89","0.44","1.64","37.5%","0.41","1.91","32.0%","1.12","0.00","2.30","48.7%","0.08","2.26","47.7%","1.68","0.37","2.67","57.0%","0.47","2.55","58.2%","1.79","0.17","2.53","68.6%","0.20","2.48","69.7%","1.32","0.42","1.94","59.2%","0.49","1.89","59.3%"
"05M285","Harlem Renaissance High School","37.7","A","7.64","1.57","9.79","73.8%","1.76","11.48","60.5%","8.61","3.25","11.03","68.9%","3.01","12.25","60.6%","10.59","6.36","12.32","71.0%","5.82","13.34","63.4%","12.36","6.75","11.53","100.0%","5.76","12.98","91.4%","-6.8%","-13.1%","10.3%","26.9%","-11.7%","9.9%","22.7%","36.7%","2.0%","33.4%","100.0%","1.4%","43.0%","84.9%","1.69","0.44","1.66","100.0%","0.41","1.91","85.3%","1.39","0.00","2.26","61.5%","0.08","2.26","60.1%","2.51","0.35","2.79","88.5%","0.47","2.55","98.1%","2.15","0.18","2.58","82.1%","0.20","2.48","85.5%","1.91","0.43","1.93","98.7%","0.49","1.89","100.0%"
"06M423","High School for Excellence and Innovation",".",".","9.70","1.75","9.85","98.1%","1.76","11.48","81.7%","11.83","3.60","10.98","100.0%","3.01","12.25","95.5%","14.97","6.32","12.64","100.0%","5.82","13.34","100.0%",".","6.52","11.70",".","5.76","12.98",".","-10.4%","-13.7%","10.7%","13.5%","-11.7%","9.9%","6.0%","28.3%","0.5%","34.9%","80.8%","1.4%","43.0%","64.7%","1.89","0.44","1.66","100.0%","0.41","1.91","98.7%","1.17","0.00","2.34","50.0%","0.08","2.26","50.0%","2.92","0.32","2.72","100.0%","0.47","2.55","100.0%","3.40","0.17","2.59","100.0%","0.20","2.48","100.0%","0.95","0.40","1.98","34.8%","0.49","1.89","32.9%"
