"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Future Reserves 2020 Strength","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Table 19 - Strength of Future Reserves 2020 by Ethnicity and Nationality ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Source: Defence Statistics (Tri Service)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Glossary of terms","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Return to Contents ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","1 Apr 12","","1 Oct 12","","1 Apr 13","","1 Oct 13","","1 Apr 14","","1 Oct 14","","1 Apr 15","","1 Oct 15","","1 Apr 16","","1 Oct 16","","","","","","","","","","",""
"","","","","","Number ","%","Number","%","Number ","% ","Number ","% ","Number ","%","Number ","%","Number ","%","Number ","%","Number ","%","Number ","%","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"All Services ","","","","","..","","29 760","","29 390","","28 350","","28 150","","28 470","","30 810","","33 280","","34 760","","35 540","","","","","","","","","","",""
"","Black, Asian and Minority Ethnic","","","","..","..","1 380","4.7","1 380","4.8","1 350","4.8","1 360","4.9","1 400","5.0","1 490","4.9","1 650","5.1","1 790","5.2","1 870","5.3","","","","","","","","","",""
"","","UK","","","..","..","1 070","77.9","1 070","77.9","1 050","78.1","1 050","77.7","1 090","77.8","1 190","79.9","1 300","79.0","1 400","78.4","1 480","79.3","","","","","","","","","",""
"","","Non - UK","","","..","..","0 300","22.1","0 300","22.1","0 300","21.9","0 300","22.3","0 310","22.2","0 300","20.1","0 350","21.0","0 390","21.6","0 380","20.7","","","","","","","","","",""
"","White","","","","..","..","27 850","95.3","27 540","95.2","26 740","95.2","26 460","95.1","26 720","95.0","28 850","95.1","31 050","94.9","32 470","94.8","33 220","94.7","","","","","","","","","",""
"","","UK","","","..","..","27 520","99.2","27 220","99.2","26 430","99.3","26 180","99.3","26 450","99.3","28 590","99.4","30 760","99.4","32 170","99.4","32 880","99.4","","","","","","","","","",""
"","","Non - UK","","","..","..","0 210","0.8","0 210","0.8","0 190","0.7","0 190","0.7","0 190","0.7","0 180","0.6","0 190","0.6","0 200","0.6","0 210","0.6","","","","","","","","","",""
"","Unknown","","","","..","..","0 530","*","0 460","*","0 260","*","0 330","*","0 340","*","0 470","*","0 580","*","0 490","*","0 450","*","","","","","","","","","",""
"","","UK","","","..","..","0 430","98.4","0 390","98.7","0 220","99.1","0 260","97.8","0 290","98.3","0 400","98.8","0 470","98.3","0 410","98.3","0 390","99.0","","","","","","","","","",""
"","","Non - UK","","","..","..","0 010","1.6","~","-","~","-","0 010","2.2","~","-","~","-","0 010","1.7","0 010","1.7","~","-","","","","","","","","","",""
"","Officers","","","","..","","5 270","","5 340","","5 360","","5 480","","5 580","","5 740","","6 040","","6 280","","6 450","","","","","","","","","","",""
"","Black, Asian and Minority Ethnic","","","","..","..","0 180","3.4","0 190","3.6","0 190","3.5","0 200","3.6","0 200","3.6","0 200","3.6","0 220","3.7","0 230","3.7","0 230","3.7","","","","","","","","","",""
"","","UK","","","..","..","0 160","87.6","0 170","88.8","0 170","89.8","0 170","88.2","0 170","86.9","0 180","89.2","0 200","90.5","0 210","90.7","0 210","90.5","","","","","","","","","",""
"","","Non - UK","","","..","..","0 020","12.4","0 020","11.2","0 020","10.2","0 020","11.8","0 030","13.1","0 020","10.8","0 020","9.5","0 020","9.3","0 020","9.5","","","","","","","","","",""
"","White","","","","..","..","4 980","96.6","5 060","96.4","5 100","96.5","5 200","96.4","5 290","96.4","5 430","96.4","5 710","96.3","5 940","96.3","6 100","96.3","","","","","","","","","",""
"","","UK","","","..","..","4 940","99.2","5 010","99.2","5 050","99.2","5 160","99.2","5 240","99.1","5 390","99.2","5 660","99.1","5 890","99.2","6 050","99.1","","","","","","","","","",""
"","","Non - UK","","","..","..","0 040","0.8","0 040","0.8","0 040","0.8","0 040","0.8","0 050","0.9","0 040","0.8","0 050","0.9","0 050","0.8","0 050","0.9","","","","","","","","","",""
"","Unknown","","","","..","..","0 110","*","0 090","*","0 080","*","0 080","*","0 090","*","0 100","*","0 110","*","0 100","*","0 110","*","","","","","","","","","",""
"","","UK","","","..","..","0 100","100.0","0 090","100.0","0 080","100.0","0 080","100.0","0 090","100.0","0 100","100.0","0 100","99.0","0 100","99.0","0 100","100.0","","","","","","","","","",""
"","","Non - UK","","","..","..","-","-","-","-","-","-","-","-","-","-","-","-","~","-","~","-","-","-","","","","","","","","","",""
"","Other Ranks","","","","..","","24 490","","24 050","","22 990","","22 660","","22 890","","25 080","","27 230","","28 480","","29 090","","","","","","","","","","",""
"","Black, Asian and Minority Ethnic","","","","..","..","1 200","5.0","1 200","5.1","1 170","5.1","1 160","5.2","1 200","5.3","1 290","5.2","1 430","5.3","1 560","5.6","1 640","5.7","","","","","","","","","",""
"","","UK","","","..","..","0 920","76.4","0 910","76.2","0 890","76.2","0 880","75.9","0 920","76.3","1 010","78.4","1 100","77.3","1 190","76.6","1 270","77.7","","","","","","","","","",""
"","","Non - UK","","","..","..","0 280","23.6","0 280","23.8","0 280","23.8","0 280","24.1","0 280","23.7","0 280","21.6","0 320","22.7","0 360","23.4","0 360","22.3","","","","","","","","","",""
"","White","","","","..","..","22 860","95.0","22 480","94.9","21 650","94.9","21 260","94.8","21 440","94.7","23 420","94.8","25 340","94.7","26 530","94.4","27 110","94.3","","","","","","","","","",""
"","","UK","","","..","..","22 580","99.3","22 220","99.3","21 380","99.3","21 020","99.3","21 210","99.3","23 210","99.4","25 100","99.4","26 270","99.4","26 830","99.4","","","","","","","","","",""
"","","Non - UK","","","..","..","0 170","0.7","0 160","0.7","0 150","0.7","0 150","0.7","0 140","0.7","0 140","0.6","0 140","0.6","0 150","0.6","0 160","0.6","","","","","","","","","",""
"","Unknown","","","","..","..","0 420","*","0 370","*","0 180","*","0 250","*","0 250","*","0 370","*","0 460","*","0 390","*","0 340","*","","","","","","","","","",""
"","","UK","","","..","..","0 330","97.9","0 290","98.3","0 140","98.6","0 180","96.8","0 210","97.7","0 300","98.4","0 370","98.1","0 310","98.1","0 290","98.6","","","","","","","","","",""
"","","Non - UK","","","..","..","0 010","2.1","~","-","~","-","0 010","3.2","~","-","~","-","0 010","1.9","0 010","1.9","~","-","","","","","","","","","",""
"Maritime Reserve","","","","","..","","2 570","","2 610","","2 600","","2 850","","2 970","","3 160","","3 430","","3 540","","3 480","","","","","","","","","","",""
"","Black, Asian and Minority Ethnic","","","","..","..","0 070","2.9","0 060","2.7","0 070","2.7","0 090","3.1","0 080","2.8","0 090","2.8","0 100","2.9","0 100","3.0","0 090","2.8","","","","","","","","","",""
"","","UK","","","..","..","0 060","93.9","0 060","92.2","0 060","92.8","0 080","95.3","0 080","94.0","0 080","95.3","0 090","93.7","0 100","96.0","0 090","95.6","","","","","","","","","",""
"","","Non - UK","","","..","..","~","-","~","-","~","-","~","-","~","-","~","-","0 010","6.3","~","-","~","-","","","","","","","","","",""
"","White","","","","..","..","2 260","97.1","2 360","97.3","2 510","97.3","2 710","96.9","2 840","97.2","2 970","97.2","3 170","97.1","3 280","97.0","3 240","97.2","","","","","","","","","",""
"","","UK","","","..","..","2 240","99.6","2 340","99.6","2 490","99.6","2 680","99.6","2 810","99.6","2 960","99.6","3 140","99.5","3 230","99.4","3 190","99.4","","","","","","","","","",""
"","","Non - UK","","","..","..","0 010","0.4","0 010","0.4","0 010","0.4","0 010","0.4","0 010","0.4","0 010","0.4","0 020","0.5","0 020","0.6","0 020","0.6","","","","","","","","","",""
"","Unknown","","","","..","..","0 240","*","0 190","*","0 020","*","0 050","*","0 050","*","0 100","*","0 160","*","0 160","*","0 140","*","","","","","","","","","",""
"","","UK","","","..","..","0 180","97.9","0 150","98.1","0 020","100.0","0 040","97.4","0 040","100.0","0 080","100.0","0 110","98.2","0 110","99.1","0 120","100.0","","","","","","","","","",""
"","","Non - UK","","","..","..","~","-","~","-","-","-","~","-","-","-","-","-","~","-","~","-","-","-","","","","","","","","","",""
"","Officers","","","","..","","0 810","","0 820","","0 830","","0 840","","0 880","","0 900","","0 990","","1 040","","1 090","","","","","","","","","","",""
"","Black, Asian and Minority Ethnic","","","","..","..","0 020","2.9","0 020","2.9","0 020","2.8","0 030","3.1","0 030","3.0","0 030","3.0","0 030","2.9","0 030","2.9","0 030","2.6","","","","","","","","","",""
"","","UK","","","..","..","0 020","95.7","0 020","95.7","0 020","95.7","0 020","96.2","0 020","96.2","0 030","96.3","0 030","96.4","0 030","96.6","0 030","96.4","","","","","","","","","",""
"","","Non - UK","","","..","..","~","-","~","-","~","-","~","-","~","-","~","-","~","-","~","-","~","-","","","","","","","","","",""
"","White","","","","..","..","0 770","97.1","0 780","97.1","0 800","97.2","0 820","96.9","0 850","97.0","0 870","97.0","0 940","97.1","1 000","97.1","1 040","97.4","","","","","","","","","",""
"","","UK","","","..","..","0 760","100.0","0 780","100.0","0 800","100.0","0 820","100.0","0 850","100.0","0 870","99.8","0 940","99.8","0 990","99.8","1 040","99.8","","","","","","","","","",""
"","","Non - UK","","","..","..","-","-","-","-","-","-","-","-","-","-","~","-","~","-","~","-","~","-","","","","","","","","","",""
"","Unknown","","","","..","..","0 020","*","0 010","*","~","*","~","*","~","*","0 010","*","0 020","*","0 020","*","0 020","*","","","","","","","","","",""
"","","UK","","","..","..","0 020","100.0","0 010","100.0","~","-","~","-","~","-","~","-","0 010","100.0","0 020","100.0","0 020","100.0","","","","","","","","","",""
"","","Non - UK","","","..","..","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","","","","","","","","","",""
"","Other Ranks","","","","..","","1 760","","1 790","","1 780","","2 000","","2 090","","2 250","","2 440","","2 500","","2 380","","","","","","","","","","",""
"","Black, Asian and Minority Ethnic","","","","..","..","0 040","2.9","0 040","2.6","0 050","2.7","0 060","3.1","0 060","2.8","0 060","2.7","0 070","2.9","0 070","3.0","0 060","2.8","","","","","","","","","",""
"","","UK","","","..","..","0 040","93.0","0 040","90.2","0 040","91.3","0 060","95.0","0 050","93.0","0 060","94.9","0 060","92.5","0 070","95.7","0 060","95.2","","","","","","","","","",""
"","","Non - UK","","","..","..","~","-","~","-","~","-","~","-","~","-","~","-","~","-","~","-","~","-","","","","","","","","","",""
"","White","","","","..","..","1 490","97.1","1 580","97.4","1 710","97.3","1 900","96.9","1 990","97.2","2 100","97.3","2 220","97.1","2 290","97.0","2 200","97.2","","","","","","","","","",""
"","","UK","","","..","..","1 480","99.4","1 560","99.4","1 690","99.4","1 870","99.4","1 970","99.4","2 090","99.5","2 200","99.4","2 240","99.2","2 150","99.2","","","","","","","","","",""
"","","Non - UK","","","..","..","0 010","0.6","0 010","0.6","0 010","0.6","0 010","0.6","0 010","0.6","0 010","0.5","0 010","0.6","0 020","0.8","0 020","0.8","","","","","","","","","",""
"","Unknown","","","","..","..","0 220","*","0 170","*","0 020","*","0 050","*","0 040","*","0 090","*","0 150","*","0 140","*","0 120","*","","","","","","","","","",""
"","","UK","","","..","..","0 170","97.7","0 140","97.9","0 020","100.0","0 030","97.1","0 040","100.0","0 080","100.0","0 100","98.0","0 090","98.9","0 100","100.0","","","","","","","","","",""
"","","Non - UK","","","..","..","~","-","~","-","-","-","~","-","-","-","-","-","~","-","~","-","-","-","","","","","","","","","",""
"Army Reserve","","","","","25 980","","25 680","","25 240","","24 180","","23 580","","23 650","","25 440","","27 420","","28 670","","29 410","","","","","","","","","","",""
"","Black, Asian and Minority Ethnic","","","","1 260","4.9","1 270","5.0","1 270","5.1","1 230","5.1","1 210","5.2","1 250","5.3","1 320","5.3","1 470","5.4","1 600","5.6","1 670","5.7","","","","","","","","","",""
