"Consequence of Failure Justification","","",""
"","Ranking","Qualitative","Quantitative"
"Environmental
Impact","5","Catastrophic leak","x≥50,000"
"","4","Major leak","5,000≤x<50,000"
"","3","Localised leak","500≤x<5,000"
"","2","Minor leak","50≤x<500"
"","1","Slight leak","x<50"
"","0","Negligible","0"
"Asset Impact","5","Very High","x≥100"
"","4","High","75≤x<100"
"","3","Medium","45≤x<75"
"","2","Low","6≤x<45"
"","1","Very Low","x<6"
"","0","Negligible","0"
"People Safety","5","Catastrophic","x≥10"
"","4","Severe","7≤x<10"
"","3","Major","4≤x<7"
"","2","Moderate","2≤x<4"
"","1","Minor","x<2"
"","0","Insignificant","0"
