"Currency","Product Name","Product Code","Local Price"
"","Canada","","CAD"
"CAD","$5 Load Card","BA","$5"
"CAD","$10 Load Card","BB","$10"
"CAD","1-Month Premium Subscription","BC","$13.99"
"CAD","3-Month Premium Subscription","BD","$33.99"
"CAD","10-Day Premium Subscription","BE","$5.99"
"","North America","","USD"
"USD","$5 Load Card","AA","$5"
"USD","$10 Load Card","AB","$10"
"USD","1-Month Premium Subscription","AC","$12.95"
"USD","3-Month Premium Subscription","AD","$31.95"
"USD","10-Day Premium Subscription","AE","$4.99"
"","Europe 1","","EUR"
"EUR","$5 Load Card","CA","€ 5"
"EUR","$10 Load Card","CB","€ 10"
"EUR","1-Month Premium Subscription","CC","€ 9.50"
"EUR","3-Month Premium Subscription","CD","€ 23.50"
"EUR","10-Day Premium Subscription","CE","€ 3.75"
"","Europe 2","","GBP"
"GBP","$5 Load Card","DA","GBP 5"
"GBP","$10 Load Card","DB","GBP 10"
"GBP","1-Month Premium Subscription","DC","GBP 8.25"
"GBP","3-Month Premium Subscription","DD","GBP 20.25"
"GBP","10-Day Premium Subscription","DE","GBP 3.25"
"","Europe 3","","CHF"
"CHF","$5 Load Card","EA"," #,##0"
"CHF","$10 Load Card","EB"," #,##0"
"CHF","1-Month Premium Subscription","EC"," #,##0.00"
"CHF","3-Month Premium Subscription","ED"," #,##0.00"
"CHF","10-Day Premium Subscription","EE"," #,##0.00"
"","Europe 4","","DKK"
"DKK","$5 Load Card","FA","[$30kk] #,##0.00"
"DKK","$10 Load Card","FB","[$28kk] #,##0.00"
"DKK","1-Month Premium Subscription","FC","[$11kk] #,##0.00"
"DKK","3-Month Premium Subscription","FD","[$23kk] #,##0.00"
"DKK","10-Day Premium Subscription","FE","[$27kk] #,##0.00"
"","Europe 5","","SEK"
"SEK","$5 Load Card","GA","[$001900k] #,##0.00"
"SEK","$10 Load Card","GB","[$001900k] #,##0.00"
"SEK","1-Month Premium Subscription","GC","[$001900k] #,##0.00"
"SEK","3-Month Premium Subscription","GD","[$001900k] #,##0.00"
"SEK","10-Day Premium Subscription","GE","[$001900k] #,##0.00"
"","Europe 6","","NOK"
"NOK","$5 Load Card","HA","NOK 30.00"
"NOK","$10 Load Card","HB","NOK 60.00"
"NOK","1-Month Premium Subscription","HC","NOK 75.50"
"NOK","3-Month Premium Subscription","HD","NOK 186.00"
"NOK","10-Day Premium Subscription","HE","NOK 29.00"
"","Europe 7","","ILS"
"ILS","$5 Load Card","JA","[$00Saturday00] #,##0.00"
"ILS","$10 Load Card","JB","[$00Friday00] #,##0.00"
"ILS","1-Month Premium Subscription","JC","[$00Friday00] #,##0.00"
"ILS","3-Month Premium Subscription","JD","[$00Tuesday00] #,##0.00"
"ILS","10-Day Premium Subscription","JE","[$00Thursday00] #,##0.00"
"","Middle East 1","","SAR"
"SAR","$5 Load Card","KA","[$00amSat, 20 Jan 1900 00:00:00 +0000] #,##0"
"SAR","$10 Load Card","KB","[$00amFri, 09 Feb 1900 00:00:00 +0000] #,##0"
"SAR","1-Month Premium Subscription","KC","[$00amMon, 19 Feb 1900 00:00:00 +0000] #,##0"
"SAR","3-Month Premium Subscription","KD","[$00amSun, 29 Apr 1900 00:00:00 +0000] #,##0"
"SAR","10-Day Premium Subscription","KE","[$00amSat, 20 Jan 1900 00:00:00 +0000] #,##0"
"","Middle East 2","","AED"
"AED","$5 Load Card","LA","[$am190020] #,##0"
"AED","$10 Load Card","LB","[$am19009] #,##0"
"AED","1-Month Premium Subscription","LC","[$am190019] #,##0"
"AED","3-Month Premium Subscription","LD","[$am190029] #,##0"
"AED","10-Day Premium Subscription","LE","[$am190020] #,##0"
"","Japan ","","JPY"
"JPY","$5 Load Card","MA","[$11p01] #,##0"
"JPY","$10 Load Card","MF","[$26p02] #,##0"
"JPY","1-Month Premium Subscription","MG","[$31p03] #,##0"
"JPY","3-Month Premium Subscription","MH","[$4p08] #,##0"
"JPY","10-Day Premium Subscription","MI","[$14p01] #,##0"
"","Asia Pacific 1","","TWD"
"TWD","$5 Load Card","NA","[$31229] #,##0"
"TWD","$10 Load Card","NB","[$31216] #,##0"
"TWD","1-Month Premium Subscription","NC","[$31114] #,##0"
"TWD","3-Month Premium Subscription","ND","[$31518] #,##0"
"TWD","10-Day Premium Subscription","NE","[$31229] #,##0"
"TWD","1-Month Lite","NF","[$3046] #,##0"
"TWD","30 Day Free Trial - Lite","NG","[$3141] #,##0"
"","Asia Pacific 2","","KRW"
"KRW","$5 Load Card","OA","KRW 5,300"
"KRW","$10 Load Card","OB","KRW 11,000"
"KRW","1-Month Premium Subscription","OC","KRW 13,700"
"KRW","3-Month Premium Subscription","OD","KRW 33,700"
"KRW","10-Day Premium Subscription","OE","KRW 5,300"
"","Asia Pacific 3","","HKD"
"HKD","$5 Load Card","PA","[$0k9] #,##0"
"HKD","$10 Load Card","PB","[$0k20] #,##0"
"HKD","1-Month Premium Subscription","PC","[$0k9] #,##0"
"HKD","3-Month Premium Subscription","PD","[$0k6] #,##0"
"HKD","10-Day Premium Subscription","PE","[$0k9] #,##0"
"","Asia Pacific 4","","SGD"
"SGD","$5 Load Card","UA","[$00126] #,##0"
"SGD","$10 Load Card","UB","[$001212] #,##0"
"SGD","1-Month Premium Subscription","UC","[$001216] #,##0"
"SGD","3-Month Premium Subscription","UD","[$00129] #,##0"
"SGD","10-Day Premium Subscription","UE","[$00126] #,##0"
"","Asia Pacific 5","","MYR"
"MYR","$5 Load Card","VA","[$100Mon, 15 Jan 1900 00:00:00 +0000] #,##0"
"MYR","$10 Load Card","VB","[$100Tue, 30 Jan 1900 00:00:00 +0000] #,##0"
