"Table 4f: Average Weekly Expenditure on all Goods and on Fuel, Light and Power (£/wk) - UK figures","","","","","",""
"","","","","","",""
"","","","","","",""
"","Contemporary prices","","2009 prices","","% on fuel, light & power",""
"","","","","","",""
"Year","All goods (£)","Fuel, light & power (£)","All goods (£)","Fuel, light & power (£)","",""
"1970","28.57 ","1.79 ","330.02","20.68","6.3%",""
"1971","30.99 ","1.85 ","326.24","19.48","6.0%",""
"1972","35.06 ","2.06 ","345.27","20.29","5.9%",""
"1973","39.43 ","2.17 ","355.54","19.57","5.5%",""
"1974","46.13 ","2.42 ","358.47","18.81","5.2%",""
"1975","54.58 ","2.99 ","341.05","18.68","5.5%",""
"1976","61.70 ","3.53 ","331.29","18.95","5.7%",""
"1977","71.84 ","4.38 ","333.02","20.30","6.1%",""
"1978","80.26 ","4.76 ","343.03","20.34","5.9%",""
"1979","94.17 ","5.25 ","354.93","19.79","5.6%",""
"1980","110.60 ","6.15 ","353.82","19.67","5.6%",""
"1981","125.41 ","7.46 ","358.29","21.31","5.9%",""
"1982","133.92 ","8.35 ","352.45","21.98","6.2%",""
"1983","142.59 ","9.22 ","358.91","23.21","6.5%",""
"1984","151.92 ","9.42 ","363.96","22.57","6.2%",""
"1985","162.50 ","9.95 ","367.09","22.48","6.1%",""
"1986","178.10 ","10.43 ","389.16","22.79","5.9%",""
"1987","188.62 ","10.55 ","395.57","22.13","5.6%",""
"1988","204.41 ","10.48 ","408.63","20.95","5.1%",""
"1989","224.32 ","10.58 ","416.12","19.63","4.7%",""
"1990","247.16 ","11.11 ","418.86","18.83","4.5%",""
"1991","259.04 ","12.25 ","414.66","19.61","4.7%",""
"1992","271.83 ","13.02 ","419.43","20.09","4.8%",""
"1993","276.68 ","13.24 ","420.23","20.11","4.8%",""
"1994","283.58 ","12.95 ","420.55","19.20","4.6%",""
"1995","289.86 ","12.92 ","415.45","18.52","4.5%",""
"1996","309.07 ","13.35 ","432.54","18.68","4.3%",""
"1997","328.78 ","12.66 ","446.10","17.18","3.9%",""
"1998","346.58 ","11.78 ","454.66","15.45","3.4%",""
"1999","353.47 ","11.39 ","456.69","14.72","3.2%",""
"2000","379.61 ","11.92 ","476.36","14.96","3.1%",""
"2001","397.20 ","11.70 ","489.80","14.43","2.9%",""
"2002","406.20 ","11.70 ","492.65","14.19","2.9%",""
"2003","441.25 ","12.20 ","520.02","14.38","2.8%",""
"2004","457.90 ","12.70 ","524.33","14.54","2.8%",""
"2005","465.43 ","13.99 ","518.16","15.57","3.0%",""
"2006","455.90 ","15.90 ","491.80","17.15","3.5%",""
"2007","459.20 ","17.20 ","475.10","17.80","3.7%",""
"2008","470.99 ","18.90 ","468.61","18.80","4.0%",""
"","","","","","",""
"Sources: ","","","","","",""
"Family Expenditure Survey (pre 2001)/ Expenditure and Food Survey (2001- 2007)/ONS: Living Costs and Food Survey (2008 onwards)","","","","","",""
"http://www.statistics.gov.uk/downloads/theme_social/Family-Spending-2008/FamilySpending2009.pdf","","","","","",""
"","","","","","",""
"Notes:","","","","","",""
"1) UK weekly expenditure figures have been deflated to 2009 prices using the Retail Price Index.","","","","","",""
"2) Percentage of expenditure on 'Fuel, light and power' has been calculated by dividing 'Fuel, light and power' figures by 'All goods' (£/week).","","","","","",""
"3) Family Expenditure Survey merged into Expenditure and Food Survey in 2001, and is known as Living Costs and Food Survey from 2008 onwards. ","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
