"Worker Characteristics","Total fatal injuries (number)","Event or exposure(1)","","","","",""
"","","Transportation incidents(2)","Violence and other injuries by persons or animals(3)","Contact with objects and equipment","Falls, slips, trips","Exposure to harmful substances or environments","Fires and explosions"
"","","","","","","",""
"Total","5486","2066","849","738","865","839","107"
"","","","","","","",""
"Employee status","","","","","","",""
"Wage and salary(4)","4601","1775","692","570","713","746","86"
"Self-employed(5)","885","291","157","168","152","93","21"
"","","","","","","",""
"Gender","","","","","","",""
"Women","445","180","102","17","61","73","06"
"Men","5041","1886","747","721","804","766","101"
"","","","","","","",""
"Age","","","","","","",""
"Under 16 years","06","–","–","–","–","–","–"
"16 to 17 years","13","03","–","–","–","–","–"
"18 to 19 years","77","33","17","07","–","11","–"
"20 to 24 years","323","126","69","43","30","47","07"
"25 to 34 years","962","344","176","121","90","205","23"
"35 to 44 years","1058","385","162","127","136","227","–"
"45 to 54 years","1111","408","184","150","153","187","22"
"55 to 64 years","1175","455","161","152","251","126","24"
"65 years and over","761","310","74","133","196","34","11"
"","","","","","","",""
"Race or ethnic origin(6)","","","","","","",""
"White, non-Hispanic","3167","1228","431","453","481","480","78"
"Black or African-American, non-Hispanic","734","278","199","76","57","111","–"
"Hispanic or Latino","1248","439","133","169","286","204","16"
"American Indian or Alaska Native, non-Hispanic","35","17","05","04","–","06","–"
"Asian, non-Hispanic","169","51","60","17","23","–","–"
"Native Hawaiian or Pacific Islander, non-Hispanic","09","–","–","–","–","04","–"
