"","Income-based tax support for R&D and Innovation","","",""
"","Combined unit of measure: Percentage of GDP","","",""
"","","","",""
"","Reference area","","",""
"","Time period: 2018","","",""
"","Non-OECD economies","","",""
"","·  Malta","","0.001500",""
"","Time period: 2019","","",""
"","Korea","","0.000021",""
"","Non-OECD economies","","",""
"","·  Argentina","","0.000023",""
"","Time period: 2021","","",""
"","Australia","","0.000000",""
"","Austria","","0.000000",""
"","Belgium","","0.125600",""
"","Canada","","0.000300",""
"","Chile","","0.000000",""
"","Colombia","","0.000000",""
"","Costa Rica","","0.000000",""
"","Czechia","","O ..",""
"","Denmark","","0.000000",""
"","Estonia","","0.000000",""
"","Finland","","0.000000",""
"","France","","0.022200",""
"","Germany","","0.000000",""
"","Greece","","0.002600",""
"","Hungary","","0.012900",""
"","Iceland","","0.000000",""
"","Ireland","","0.003800",""
"","Israel","","0.226600",""
"","Italy","","0.041400",""
"","Japan","","0.000000",""
"","Latvia","","0.000000",""
"","Lithuania","","E   0.041400",""
"","Luxembourg","","0.005700",""
"","Mexico","","0.000000",""
"","Netherlands","","E   0.217000",""
"","New Zealand","","0.000000",""
"","Norway","","0.000000",""
"","Poland","","0.018100",""
"","Portugal","","E   0.003000",""
"","Slovak Republic","","0.011800",""
"","Slovenia","","0.000000",""
"","Spain","","0.007000",""
"","Sweden","","0.000000",""
"","Switzerland","","O ..",""
"","Türkiye","","O ..",""
"","United Kingdom","","0.058100",""
"","United States","","E   0.099700",""
"","Non-OECD economies","","",""
"","·  Brazil","","0.000000",""
"","·  Bulgaria","","0.000000",""
"","·  China (People’s Republic of)","","O ..",""
"","·  Croatia","","0.000000",""
"","·  Cyprus","","0.720300",""
"","·  Peru","","0.000000",""
"","·  Romania","","0.016500",""
"","·  South Africa","","0.000000",""
"","·  Thailand","","O ..",""
"","","","",""
"","© Terms & conditions ","","","Income-based tax support for R&D and Innovation"
