"Risk
ID","Item
Description","Function","Tech. Class","Novel Aspects","Failure
Mode","Failure 
Effects
(Local, WEC, System)","Failure
Cause(s)","Initial Mode
 of
Operation
","Risk Reduction 
Design","Preventative
Detection","Post Failure
Detection","Post Failure
Repair
Strategy 
(automated, manual)"
"310-1","Motor Drive","Convert Motor Generator Voltages to DC voltage for transmission and storage.","2","Marine application, loading","Short or Open Circuit","Loss of Power Production, PTO Controlled Shutdown may or may not be possible","Corrosion Induced Short Circuit","Normal","Marine Rated system for corrosion protection, controlled nacelle environment","Visual Inspection, SCADA Detection of Flooding","SCADA Diagnosis","In-Situ Inspection, Repair or Replacement"
"310-2","Motor Drive","Convert Motor Generator Voltages to DC voltage for transmission and storage.","2","Marine application, loading","Short or Open Circuit","Loss of Power Production, PTO Controlled Shutdown may or may not be possible","Improper Installation or Manufacturing defect","Normal","V&V (QA/QC)","Visual Inspection","SCADA Diagnosis","In-Situ Inspection, Repair or Replacement of faulty component"
"310-3","Motor Drive","Convert Motor Generator Voltages to DC voltage for transmission and storage.","2","Marine application, loading","Short or Open Circuit","Loss of Power Production, PTO Controlled Shutdown may or may not be possible","Vibration or Buoy Motion induced failure","Normal","V&V (QA/QC), Proper selection of bus attachment system","Visual Inspection","SCADA Diagnosis and visual inspection","In-Situ Inspection, Repair or Replacement of faulty component or mounting"
"310-4","Motor Drive","Convert Motor Generator Voltages to DC voltage for transmission and storage.","2","Marine application, loading","Short Circuit","Loss of Power Production, PTO Controlled Shutdown may or may not be possible","Flooding Induced Failure (contact with water not corrosion)","Normal","System level isolation from water ingress, Marine rated Components, System level seperation of equipment.","Visual Inspection, SCADA Detection of Flooding","SCADA Diagnosis and visual inspection","Removal of Bouy from Water for dry repair or dry dock overhaul"
"330-1","Energy Storage","Power smoothing for continuous power flow over umbilical to subsea battery, and to support local payload power needs","2","Marine application, loading","Faulted Energy Storage","Loss of Power smoothing, Reduced Damping, Reduction in power production to the battery","Corrosion induced failure short/open circuit","Normal","Marine Rated system for corrosion protection, controlled nacelle environment","Visual Inspection, SCADA Detection of Flooding","SCADA Diagnosis","In-Situ Inspection, Repair or Replacement"
"330-2","Energy Storage","Power smoothing for continuous power flow over umbilical to subsea battery, and to support local payload power needs","2","Marine application, loading","Faulted Energy Storage","Loss of Power smoothing, Reduced Damping, Reduction in power production to the battery","Improper Installation or Manufacturing defect","Normal","V&V (QA/QC)","Visual Inspection","SCADA Diagnosis","In-Situ Inspection, Repair or Replacement of faulty component"
"330-3","Energy Storage","Power smoothing for continuous power flow over umbilical to subsea battery, and to support local payload power needs","2","Marine application, loading","Faulted Energy Storage","Loss of Power smoothing, Reduced Damping, Reduction in power production to the battery","Vibration or Buoy Motion induced failure","Normal","V&V (QA/QC), Proper selection of bus attachment system","Visual Inspection","SCADA Diagnosis and visual inspection","In-Situ Inspection, Repair or Replacement of faulty component or mounting"
"330-4","Energy Storage","Power smoothing for continuous power flow over umbilical to subsea battery, and to support local payload power needs","2","Marine application, loading","Faulted Energy Storage","Loss of Power smoothing, Reduced Damping, Reduction in power production to the battery","Flooding Induced Failure (contact with water not corrosion)","Normal","System level isolation from water ingress, Marine rated Components, System level seperation of equipment.","Visual Inspection, SCADA Detection of Flooding","SCADA Diagnosis and visual inspection","Removal of Bouy from Water for dry repair or dry dock overhaul"
"330-5","Energy Storage","Power smoothing for continuous power flow over umbilical to subsea battery, and to support local payload power needs","2","Marine application, loading","Fire/Smoke","Loss of Power smoothing, Reduced Damping, Reduction in power production to the battery","Fire/Smoke induced failure ","Normal","Safety and Emergency system smoke alarm, overcurrent protection","Visual Inspection, SCADA Detection of Fire","SCADA Diagnosis and visual inspection","In-Situ Inspection, In-Situ Repair or Replacement of faulty component or Removal of Bouy from Water for dry repair or dry dock overhaul"
"330-5","Energy Storage","Power smoothing for continuous power flow over umbilical to subsea battery, and to support local payload power needs","2","Marine application, loading","Faulted Energy Storage","Loss of Power smoothing, Reduced Damping, Reduction in power production to the battery","Failure of Capacitor internally","Normal","temperature monitoring, charge control. V&V (QA/QC)","Visual Inspection, SCADA Detection","SCADA Diagnosis and visual inspection","In-Situ Inspection, Repair of faulty component"
