"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Outpatient survey: national scores","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","2011-12","","","","","","","","",""
"","","","","","","2002-03","","2004-05","","2009-10","","","2009-10 and 2011-12","","2011-12","","95% confidence","","","","","","","","",""
"","","","","","","","","","","","","","adjusted","","","","interval","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Access & waiting12","","","","","68.2","","69.0","","72.5","","","73.3","","74.9","S","0.17","","","","","","","","",""
"","Safe, high quality, coordinated care","","","","","83.0","","82.2","","83.2","","","83.2","","83.6","S","0.18","","","","","","","","",""
"","Better information, more choice","","","","","77.2","","77.3","","79.1","","","79.1","","78.6","S","0.35","","","","","","","","",""
"","Building closer relationships","","","","","86.4","","86.5","","87.3","","","87.3","","87.7","S","0.18","","","","","","","","",""
"","Clean, friendly, comfortable place to be","","","","","69.7","","68.5","","70.9","","","70.9","","71.3","S","0.20","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Overall patient experience score2","","","","","76.9","","76.7","","78.6","","","78.8","","79.2","S","0.18","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Source: National Patient Survey Programme","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Further details of the methodology can be found in the accompanying methodological issues paper at: ","","","","","","","","","","","","","","","","","","","","","","","","",""
"","https://www.gov.uk/health-statistics-notes-and-guidance-patient-experience","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Results marked with an Sshow a statistically significant change from 2009-10 to 2011-12","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Notes:","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1. The scoring regime used for the question about length of wait for an appointment (question A1 in 2002-03 and question 1 in 2004-05) has been adjusted from that published by the contractor appointed to run the NHS Survey Advice Centre, to allow comparison across years.","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2. The 2009-10 score is adjusted to allow for direct comparison with 2011-12.","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
