"Table 4b: Bankruptcies by employment status, England and Wales, not seasonally adjusted, 1 January 2012 to 30 June 2022 [p][note 2][note 3][note 9]","","","","","","","","","","","","",""
"Back to contents","","","","","","","","","","","","",""
"This worksheet contains one table. Some cells refer to notes which can be found in the Notes worksheet.","","","","","","","","","","","","",""
"Some shorthand is used in this table, [x] = not yet available, [r] = revised, [z] = not applicable, [p] = provisional. See Notes worksheet for further details.","","","","","","","","","","","","",""
"Source: Insolvency Service","","","","","","","","","","","","",""
"Year","Quarter","Total Bankruptcies","r_total_bankruptcies","Self-employed (or Trader) bankruptcies (no.) [note 11]","r_self_emp","Self-employed (or Trader) bankruptcies (%)","r_self_emp_perc","Other individuals (no.) [note 11]","r_other","Other individuals (%)","r_other_perc","",""
"2012","","31,776","[r]","7,608","[r]","24%","","24,168","","76%","","",""
"2013","","24,565","","6,287","","26%","","18,278","","74%","","",""
"2014","","20,339","","5,188","","26%","","15,151","","74%","","",""
"2015","","15,849","","4,095","","26%","","11,754","","74%","","",""
"2016","","15,051","[r]","3,833","[r]","25%","","11,218","","75%","","",""
"2017","","15,107","","3,601","","24%","","11,506","","76%","","",""
"2018","","16,643","[r]","3,894","[r]","23%","","12,749","","77%","","",""
"2019","","16,743","[r]","3,540","","21%","","13,203","[r]","79%","","",""
"2020","","12,658","","2,234","","18%","","10,424","","82%","","",""
"2021","","8,719","[r]","1,399","[r]","16%","","7,320","[r]","84%","","",""
"2012","Q1","9,125","[r]","2,174","[r]","24%","","6,951","","76%","","",""
"2012","Q2","8,092","","1,925","","24%","","6,167","","76%","","",""
"2012","Q3","7,639","","1,791","","23%","","5,848","","77%","","",""
"2012","Q4","6,920","","1,718","","25%","","5,202","","75%","","",""
"2013","Q1","6,674","","1,715","","26%","","4,959","","74%","","",""
"2013","Q2","6,477","","1,662","","26%","","4,815","","74%","","",""
"2013","Q3","6,009","","1,544","","26%","","4,465","","74%","","",""
"2013","Q4","5,405","","1,366","","25%","","4,039","","75%","","",""
"2014","Q1","5,684","","1,515","","27%","","4,169","","73%","","",""
"2014","Q2","5,472","","1,431","","26%","","4,041","","74%","","",""
"2014","Q3","4,905","","1,202","","25%","","3,703","","75%","","",""
"2014","Q4","4,278","","1,040","","24%","","3,238","","76%","","",""
"2015","Q1","4,410","","1,165","","26%","","3,245","","74%","","",""
"2015","Q2","3,972","","965","","24%","","3,007","","76%","","",""
"2015","Q3","3,896","","969","","25%","","2,927","","75%","","",""
"2015","Q4","3,571","","996","","28%","","2,575","","72%","","",""
"2016","Q1","3,780","","1,043","","28%","","2,737","","72%","","",""
"2016","Q2","3,709","[r]","926","[r]","25%","","2,783","","75%","","",""
"2016","Q3","3,936","","947","","24%","","2,989","","76%","","",""
"2016","Q4","3,626","","917","","25%","","2,709","","75%","","",""
"2017","Q1","4,082","","977","","24%","","3,105","","76%","","",""
"2017","Q2","3,722","","905","","24%","","2,817","","76%","","",""
"2017","Q3","3,738","","849","","23%","","2,889","","77%","","",""
"2017","Q4","3,565","","870","","24%","","2,695","","76%","","",""
"2018","Q1","4,384","","1,057","","24%","","3,327","","76%","","",""
"2018","Q2","4,108","","958","","23%","","3,150","","77%","","",""
"2018","Q3","4,209","[r]","991","","24%","","3,218","[r]","76%","","",""
"2018","Q4","3,942","","888","[r]","23%","","3,054","[r]","77%","","",""
"2019","Q1","4,469","","964","","22%","","3,505","","78%","","",""
"2019","Q2","4,235","","940","","22%","","3,295","","78%","","",""
"2019","Q3","4,178","","886","","21%","","3,292","","79%","","",""
"2019","Q4","3,861","[r]","750","","19%","","3,111","[r]","81%","","",""
"2020","Q1","4,585","","911","","20%","","3,674","","80%","","",""
"2020","Q2","2,442","","367","","15%","","2,075","","85%","","",""
"2020","Q3","2,786","","455","","16%","","2,331","","84%","","",""
"2020","Q4","2,845","","501","","18%","","2,344","","82%","","",""
"2021","Q1","2,801","","418","[r]","15%","","2,383","[r]","85%","","",""
"2021","Q2","2,307","","349","[r]","15%","","1,958","[r]","85%","","",""
"2021","Q3","1,889","[r]","312","[r]","17%","[r]","1,577","","83%","[r]","",""
"2021","Q4","1,722","[r]","320","","19%","","1,402","[r]","81%","","",""
"2022","Q1","1,842","[r]","323","","18%","","1,519","","82%","","",""
"2022","Q2","1,614","","[x]","","[x]","","[x]","","[x]","","",""
"Percentage change, latest quarter (2022 Q1) compared with:","","","","","","","","","","","","",""
"2021","Q1","-34%","","-23%","","[z]","","-36%","","[z]","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
