"Code","Description","YTD","Jan-14","Feb-14","Mar-14","Apr-14","May-14","Jun-14","Jul-14","Aug-14","Sep-14","Oct-14","Nov-14","Dec-14","Total"
"Sales","Internal",""," $ 80.00 "," $ 50.00 "," $ 80.00 "," $ 50.00 "," $ 50.00 "," $ 80.00 "," $ 50.00 "," $ 50.00 "," $ 80.00 "," $ 50.00 "," $ 50.00 "," $ 80.00 "," $ 750.00 "
"","External",""," $ 30.00 "," $ 60.00 "," $ 30.00 "," $ 60.00 "," $ 60.00 "," $ 30.00 "," $ 60.00 "," $ 60.00 "," $ 30.00 "," $ 60.00 "," $ 60.00 "," $ 30.00 "," $ 570.00 "
"","TOTAL",""," $ 110.00 "," $ 110.00 "," $ 110.00 "," $ 110.00 "," $ 110.00 "," $ 110.00 "," $ 110.00 "," $ 110.00 "," $ 110.00 "," $ 110.00 "," $ 110.00 "," $ 110.00 "," $ 1,320.00 "
"","","","","","","","","","","","","","","",""
"Costs","Internal",""," $ 5.00 "," $ 5.00 "," $ 5.00 "," $ 5.00 "," $ 5.00 "," $ 5.00 "," $ 5.00 "," $ 5.00 "," $ 5.00 "," $ 5.00 "," $ 5.00 "," $ 5.00 "," $ 60.00 "
"","External",""," $ 20.00 "," $ 5.00 "," $ 20.00 "," $ 5.00 "," $ 5.00 "," $ 20.00 "," $ 5.00 "," $ 5.00 "," $ 20.00 "," $ 5.00 "," $ 5.00 "," $ 20.00 "," $ 135.00 "
"","TOTAL",""," $ 25.00 "," $ 10.00 "," $ 25.00 "," $ 10.00 "," $ 10.00 "," $ 25.00 "," $ 10.00 "," $ 10.00 "," $ 25.00 "," $ 10.00 "," $ 10.00 "," $ 25.00 "," $ 195.00 "
"","","","","","","","","","","","","","","",""
"GP","Gross Profit",""," $ 85.00 "," $ 100.00 "," $ 85.00 "," $ 100.00 "," $ 100.00 "," $ 85.00 "," $ 100.00 "," $ 100.00 "," $ 85.00 "," $ 100.00 "," $ 100.00 "," $ 85.00 "," $ 1,125.00 "
"","","","","","","","","","","","","","","",""
"Other Expenses","Royalties","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Interest Income","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Salary",""," $ 23.00 "," $ 10.00 "," $ 23.00 "," $ 10.00 "," $ 10.00 "," $ 23.00 "," $ 10.00 "," $ 10.00 "," $ 23.00 "," $ 10.00 "," $ 10.00 "," $ 23.00 "," $ 185.00 "
"","Transport",""," $ 50.00 "," $ 20.00 "," $ 50.00 "," $ 20.00 "," $ 20.00 "," $ 50.00 "," $ 20.00 "," $ 20.00 "," $ 50.00 "," $ 20.00 "," $ 20.00 "," $ 50.00 "," $ 390.00 "
"","Repairs & Maintenance",""," $ 10.00 "," $ 10.00 "," $ 10.00 "," $ 10.00 "," $ 10.00 "," $ 10.00 "," $ 10.00 "," $ 10.00 "," $ 10.00 "," $ 10.00 "," $ 10.00 "," $ 10.00 "," $ 120.00 "
"","","","","","","","","","","","","","","",""
"Income","Net Profit before Tax",""," $ 2.00 "," $ 60.00 "," $ 2.00 "," $ 60.00 "," $ 60.00 "," $ 2.00 "," $ 60.00 "," $ 60.00 "," $ 2.00 "," $ 60.00 "," $ 60.00 "," $ 2.00 "," $ 430.00 "
