"Table 5. Median usual weekly earnings of wage and salary workers, by hours usually worked, 2016 annual averages","","","","","","","","","",""
"","","","","","","","","","",""
"Hours of work","Total","","","Women","","","Men","","","Women's
earnings
as a
percentage
of men's"
"","Number
of
workers
(thousands)","Median
weekly
earnings","Standard
error
of
median","Number
of
workers
(thousands)","Median
weekly
earnings","Standard
error
of
median","Number
of
workers
(thousands)","Median
weekly
earnings","Standard
error
of
median",""
"","","","","","","","","","",""
"Total, 16 years and older","136101","715","2","65512","616","2","70589","821","3","75"
"0 to 34 hours","22690","254","1","14888","258","1","7801","247","2","104.5"
"0 to 4 hours","545","61","2","365","61","3","179","62","4","98.4"
"5 to 9 hours","1191","90","2","786","93","3","406","84","4","110.7"
"10 to 14 hours","1987","117","1","1346","118","1","641","115","2","102.6"
"15 to 19 hours","2724","168","1","1770","172","2","954","163","2","105.5"
"20 to 24 hours","6692","229","2","4343","239","2","2349","217","2","110.1"
"25 to 29 hours","3485","284","3","2326","286","3","1159","279","4","102.5"
"30 to 34 hours","6064","362","3","3951","374","4","2113","339","5","110.3"
"35 hours and over","106045","838","3","47166","755","2","58879","919","3","82.2"
"35 to 39 hours","8148","527","5","5386","544","6","2762","495","8","109.9"
"40 hours","76021","774","2","34944","732","2","41077","823","4","88.9"
"41 hours and over","21876","1250","5","6836","1129","8","15040","1332","9","84.8"
"41 to 44 hours","1130","943","21","436","857","24","694","1003","29","85.4"
"45 to 48 hours","6141","1098","14","2171","996","-15","3970","1152","10","86.5"
"49 to 59 hours","9834","1351","9","3057","1214","18","6777","1409","14","86.2"
"60 hours and over","4772","1412","18","1172","1226","33","3600","1474","22","83.2"
"Hours vary","7366","493","7","3457","380","6","3909","656","16","57.9"
"Usually less than 35 hours","2142","221","4","1371","222","5","772","220","7","100.9"
"Usually 35 or more hours","5046","697","13","1995","521","14","3051","817","16","63.8"
"","","","","","","","","","",""
"Note: Data are for the sole or principal job of full-time and part-time workers. Estimates for the ""hours vary"" groups do not sum to totals because data are not presented for a small number of multiple jobholders whose usual number of hours on the principal job is not identifiable.
Source: U.S. Bureau of Labor Statistics.","","","","","","","","","",""
