"Table 15: Scientific procedures (toxicology) by species of animal and type of toxicological test: safety testing of pharmaceuticals","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Great Britain 2011","","","","","","","","","","Number of procedures","","","","","","","","","","","","","","","",""
"Species of animal","Type of toxicological test or procedure","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Acute lethal
toxicity","Acute lethal
concentration","Acute limit setting","Acute non - lethal clinical sign","Subacute limit-setting or dose ranging","Subacute toxicity","Subchronic and chronic","Carcinogenicity","Genetic toxicology (includes mutagenicity)","Teratogenicity","","","","","","","","","","","","","","","",""
"  Mouse","  78,461 ","0","  1,158 ","  11,406 ","  3,246 ","  3,228 ","  1,489 ","  990 ","  1,048 ","  355 ","","","","","","","","","","","","","","","",""
"  Rat","-","0","  220 ","  2,217 ","  6,449 ","  11,287 ","  8,205 ","  1,512 ","  4,051 ","  2,621 ","","","","","","","","","","","","","","","",""
"  All other rodents","-","0","-","  38 ","-","  40 ","  96 ","-","-","-","","","","","","","","","","","","","","","",""
"  Rabbit","-","0","-","  8 ","  59 ","  102 ","  64 ","-","-","  1,562 ","","","","","","","","","","","","","","","",""
"  Cat","-","0","-","  2 ","-","-","-","-","-","-","","","","","","","","","","","","","","","",""
"  Dog","-","0","-","  87 ","  383 ","  778 ","  776 ","-","-","-","","","","","","","","","","","","","","","",""
"  Ferret","-","0","-","-","-","-","-","-","-","-","","","","","","","","","","","","","","","",""
"  Other carnivore","-","0","-","-","-","-","-","-","-","-","","","","","","","","","","","","","","","",""
"  Horse and other equids","0","0","-","-","  32 ","-","-","-","-","-","","","","","","","","","","","","","","","",""
"  Pigs, sheep & all other ungulates","-","0","-","  22 ","  48 ","  59 ","  134 ","-","-","-","","","","","","","","","","","","","","","",""
"  New World monkey","-","0","-","-","  11 ","  2 ","-","-","-","-","","","","","","","","","","","","","","","",""
"  Old World monkey","-","0","-","  7 ","  121 ","  476 ","  228 ","-","-","-","","","","","","","","","","","","","","","",""
"  All other mammals","0","0","-","-","-","-","-","-","-","-","","","","","","","","","","","","","","","",""
"  Bird","-","0","-","-","-","  534 ","-","-","-","-","","","","","","","","","","","","","","","",""
"  Reptile / Amphibian","0","0","-","-","-","-","-","-","-","-","","","","","","","","","","","","","","","",""
"  Fish","-","0","  457 ","-","  1,126 ","  4,033 ","  3,030 ","-","-","-","","","","","","","","","","","","","","","",""
"  Total","  78,461 ","0","  1,835 ","  13,787 ","  11,475 ","  20,539 ","  14,022 ","  2,502 ","  5,099 ","  4,538 ","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
