"Diagnostic group","","","All ages","Under 3","3–5","6–12","13–17"
"Number","","","","","","",""
"","","All recipients under age 18","1,078,977","80,475","137,298","459,417","401,787"
"Congenital anomalies","","","54,461","12,850","12,565","19,432","9,614"
"Endocrine, nutritional, and metabolic diseases","","","7,061","803","1,274","2,668","2,316"
"Infectious and parasitic diseases","","","2,304","80","183","843","1,198"
"Injuries","","","5,701","568","938","2,143","2,052"
"Mental disorders","","","","","","",""
"","Retardation","","192,912","1,338","9,321","69,352","112,901"
"","Other","","524,425","6,855","57,135","255,973","204,462"
"Neoplasms","","","10,972","753","2,527","4,815","2,877"
"Diseases of the—","","","","","","",""
"","Blood and blood-forming organs","","12,647","755","1,940","5,553","4,399"
"","Circulatory system","","5,184","1,167","1,289","1,589","1,139"
"","Digestive system","","6,623","2,063","1,975","1,742","843"
"","Genitourinary system","","2,995","290","471","1,114","1,120"
"","Musculoskeletal system and connective tissue","","7,826","623","1,094","2,882","3,227"
"","Nervous system and sense organs","","92,889","6,306","14,611","39,978","31,994"
"","Respiratory system","","28,240","3,010","7,694","11,931","5,605"
"","Skin and subcutaneous tissue","","1,312","136","299","578","299"
"Other","","","96,492","39,088","20,004","28,293","9,107"
"Unknown","","","26,933","3,790","3,978","10,531","8,634"
"Percent","","","","","","",""
"","","All recipients under age 18","100.0","100.0","100.0","100.0","100.0"
"Congenital anomalies","","","5.0","16.0","9.2","4.2","2.4"
"Endocrine, nutritional, and metabolic diseases","","","0.7","1.0","0.9","0.6","0.6"
"Infectious and parasitic diseases","","","0.2","0.1","0.1","0.2","0.3"
"Injuries","","","0.5","0.7","0.7","0.5","0.5"
"Mental disorders","","","","","","",""
"","Retardation","","17.9","1.7","6.8","15.1","28.1"
"","Other","","48.6","8.5","41.6","55.7","50.9"
"Neoplasms","","","1.0","0.9","1.8","1.0","0.7"
"Diseases of the—","","","","","","",""
"","Blood and blood-forming organs","","1.2","0.9","1.4","1.2","1.1"
"","Circulatory system","","0.5","1.5","0.9","0.3","0.3"
"","Digestive system","","0.6","2.6","1.4","0.4","0.2"
"","Genitourinary system","","0.3","0.4","0.3","0.2","0.3"
"","Musculoskeletal system and connective tissue","","0.7","0.8","0.8","0.6","0.8"
"","Nervous system and sense organs","","8.6","7.8","10.6","8.7","8.0"
"","Respiratory system","","2.6","3.7","5.6","2.6","1.4"
"","Skin and subcutaneous tissue","","0.1","0.2","0.2","0.1","0.1"
"Other","","","8.9","48.6","14.6","6.2","2.3"
"Unknown","","","2.5","4.7","2.9","2.3","2.1"
"","","","","","","",""
