"ABC COMPANY","","","","","","","","","","","","","","",""
"EMPLOYEE SCHEDULE  (B BUILDING)","","","","","","","","","","","","","","",""
"PLEASE SAVE & CLOSE WHEN DONE","","","","","","","","","","","","","","",""
"Staff","amamam 03","","amamam 04","","amamam 05","","amamam 06","","amamam 07","","amamam 08","","amamam 09","","Total Hours Worked"
"A","8:30 AM","12:30 PM","8:30 AM","12:30 PM","8:30 AM","12:30 PM","8:30 AM","12:30 PM","","","","","","","16.000000001863"
"","4 ","","4 ","","4 ","","4 ","","0 ","","0 ","","0 ","",""
"","","","","","","","","","","","","","","",""
"B","9:00 AM","4:30 PM","","","9:00 AM","4:30 PM","","","9:00 AM","4:30 PM","","","","","21"
"","7 ","","0 ","","7 ","","0 ","","7 ","","0 ","","0 ","",""
"","","","","","","","","","","","","","","",""
"C","9:00 AM","3:00 PM","9:00 AM","3:00 PM","9:00 AM","3:00 PM","9:00 AM","3:00 PM","","","","","","","24"
"","6 ","","6 ","","6 ","","6 ","","0 ","","0 ","","0 ","",""
"","","","","","","","","","","","","","","",""
"D","9:00 AM","5:00 PM","9:00 AM","5:00 PM","9:00 AM","5:00 PM","9:00 AM","5:00 PM","9:00 AM","5:00 PM","","","","","37.500000001164"
"","8 ","","8 ","","8 ","","8 ","","8 ","","0 ","","0 ","",""
"","","","","","","","","","","","","","","",""
"E","8:30 AM","2:30 PM","8:30 AM","2:30 PM","8:30 AM","2:30 PM","8:30 AM","2:30 PM","","","","","","","24"
"","6 ","","6 ","","6 ","","6 ","","0 ","","0 ","","0 ","",""
"","","","","","","","","","","","","","","",""
"F","9:00 AM","4:30 PM","","","9:00 AM","4:30 PM","9:00 AM","4:30 PM","9:00 AM","4:30 PM","","","","","28"
"","7 ","","0 ","","7 ","","7 ","","7 ","","0 ","","0 ","",""
"","","","","","","","","","","","","","","",""
"G","8:00 AM","4:00 PM","","","8:00 AM","4:00 PM","","","8:00 AM","4:00 PM","","","","","22.499999998603"
"","7 ","","0 ","","7 ","","0 ","","7 ","","0 ","","0 ","",""
"","","","","","","","","","","","","","","",""
"H","9:00 AM","4:00 PM","9:00 AM","4:00 PM","9:00 AM","4:00 PM","9:00 AM","4:00 PM","","","","","","","25.999999999069"
"","6 ","","6 ","","6 ","","6 ","","0 ","","0 ","","0 ","",""
"","","","","","","","","","","","","","","",""
"I","9:00 AM","3:00 PM","9:00 AM","2:00 PM","9:00 AM","1:00 PM","9:00 AM","2:00 PM","9:00 AM","2:00 PM","","","","","25.000000000466"
"","6 ","","5 ","","4 ","","5 ","","5 ","","0 ","","0 ","",""
"","","","","","","","","","","","","","","",""
"J","9:00 AM","5:30 PM","","","9:00 AM","5:30 PM","","","9:00 AM","5:30 PM","","","","","23.999999999302"
"","8 ","","0 ","","8 ","","0 ","","8 ","","0 ","","0 ","",""
"","","","","","","","","","","","","","","",""
"K","9:00 AM","4:00 PM","9:00 AM","4:00 PM","9:00 AM","4:00 PM","9:00 AM","4:00 PM","","","","","","","25.999999999069"
"","6 ","","6 ","","6 ","","6 ","","0 ","","0 ","","0 ","",""
"","","","","","","","","","","","","","","",""
"L","","","9:00 AM","4:00 PM","9:00 AM","4:00 PM","9:00 AM","4:00 PM","","","","","","","19.499999999302"
"","0 ","","6 ","","6 ","","6 ","","0 ","","0 ","","0 ","",""
"","","","","","","","","","","","","","","",""
"M","9:00 AM","5:00 PM","9:00 AM","5:00 PM","9:00 AM","5:00 PM","9:00 AM","5:00 PM","","","","","","","30.000000000931"
"","8 ","","8 ","","8 ","","8 ","","0 ","","0 ","","0 ","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","0"
"","0","","0","","0","","0","","0","","0","","0","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","0"
"","0","","0","","0","","0","","0","","0","","0","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","0"
"","0","","0","","0","","0","","0","","0","","0","",""
"","","","","","","","","","","","","","","",""
"PLEASE SAVE & CLOSE WHEN DONE","","","","","","","","","","","","","","",""
