"Family Planning","","","","","","",""
"","% Decrease","","","","","",""
"Family Planning","24%","","","","","",""
"","","","","","","",""
"Current Scenario: Disruption Applied to All FP Use (Modern and Traditional Methods)","","","","","","",""
"","Coverage Rate (%)","","","","","Pregnancies",""
"","2019 Pre-COVID","2020 With COVID","2021 WITHOUT Mitigation","2021 WITH Mitigation","","",""
"Contraceptive Use","65.7%","50.0%","50.0%","66.2%","","WITHOUT Mitigation",""
"FP - Pills","50.3%","38.3%","38.3%","50.7%","","2019","1,062,260"
"FP - Condoms","0.0%","0.0%","0.0%","0.0%","","2020","1,563,365"
"FP - Injectables","0.0%","0.0%","0.0%","0.0%","","2021","1,571,882"
"FP - Implants","0.0%","0.0%","0.0%","0.0%","","",""
"FP - IUD","4.4%","3.3%","3.3%","4.4%","","WITH Mitigations",""
"FP - Female Sterilization","0.0%","0.0%","0.0%","0.0%","","2019","1,062,260"
"FP - Male Sterilization","0.0%","0.0%","0.0%","0.0%","","2020","1,563,365"
"FP - Traditional Methods + Other","11.0%","8.4%","8.4%","11.1%","","2021","1,054,493"
