"Baked Caprese Chicken","",""
"1.00","clove","garlic"
"0.50","cup","balsamic vinegar"
"2.00","tablespoon","honey"
"4.00","tablespoon","butter"
"1.00","teaspoon","salt"
"0.50","teaspoon","black pepper"
"0.25","teaspoon","red pepper flakes"
"0.25","teaspoon","garlic powder"
"0.50","teaspoon","dried basil"
"1.00","clove","garlic"
"4.00","ounces","mozzarella"
"1.00","pint","cherry tomatoes"
"10.00","leaves","basil"
"","",""
"Turkey Tacos","",""
"1.00","package","taco shells"
"1.00","package","ground turkey"
"1.00","head","lettuce"
"2.00","cup","shredded cheese"
"1.00","pint","cherry tomatoes"
"1.00","package","taco seasoning"
