"","","","Intervention - Number of Visits and Contacts with Health Care Providers","","","",""
"HIDDEN","","","","","","HIDDEN COLUMN",""
"x","Int#","LiST#","Intervention","Number of Visits per FP User per Year","Number of Health Workers involved in each Visit","Number of Health Worker Contacts",""
"x","1","7","FP - Pills","12","1","12",""
"x","2","1","FP - Condoms","12","1","12",""
"x","3","4","FP - Injectables","4","1","4",""
"x","4","5","FP - Implants","1","1","1",""
"x","5","6","FP - IUD","1","1","1",""
"x","6","2","FP - Female Sterilization","1","2","2",""
"","7","3","FP - Male Sterilization","1","2","2",""
"","8","8","FP - Traditional Methods","0","0","0",""
"x","Int#","LiST#","Intervention","Number of Visits per Pregnant Woman","Number of Health Workers involved in each Visit","Number of Health Worker Contacts",""
"x","100","100","ANTENATAL CARE","8","1","8",""
"x","11","16","TT - Tetanus toxoid vaccination","2","1","2",""
"x","12","17","IPTp - Intermittent preventive treatment of malaria during pregnancy","3","1","3",""
"x","13","18","Syphilis detection and treatment","2","1","2",""
"","14","19","Calcium supplementation","4","1","4",""
"x","15","20","Iron supplementation in pregnancy","4","1","4",""
"x","16","21","Multiple micronutrient supplementation in pregnancy","4","1","4",""
"x","17","22","Balanced energy supplementation","4","1","4",""
"x","18","23","Hypertensive disorder case management","4","1","4",""
"x","19","24","Diabetes case management","4","1","4",""
"x","20","25","Malaria case management","2","1","2",""
"x","21","26","MgSO4 management of pre-eclampsia","1","2","2",""
"x","Int#","LiST#","Intervention","Hospital Stay in Days","Avg. No of Health Workers Seen per Day","Number of Health Worker Contacts",""
"x","200","200","FACILITY-BASED DELIVERY","2","2","4",""
"x","23","28","Clean birth environment","","","",""
"x","24","32","Manual removal of placenta","2","2","4",""
"x","25","33","MgSO4 management of eclampsia","5","2","10",""
"x","26","34","Antibiotics for preterm or prolonged PROM","3","2","6",""
"x","27","35","Parenteral administration of antibiotics","5","2","10",""
"x","28","36","Assisted vaginal delivery","2","2","4",""
"x","29","38","Active management of third stage of labor (AMTSL)","","2","0",""
"x","30","39","Removal of retained products of conception","2","2","4",""
"x","31","40","Induction of labor for pregnancies lasting 41+ weeks","1","1","1",""
"x","32","41","Antenatal corticosteroids for preterm labor","2","2","4",""
"x","33","65","Maternal sepsis case management","5","2","10",""
"x","34","10","Safe abortion services","1","2","2",""
"x","35","11","Post abortion case management","3","2","6",""
"x","36","42","Cesarean delivery","7","3","21",""
"x","37","43","Blood transfusion","5","2","10",""
"","38","12","Ectopic pregnancy case management","5","2","10",""
"x","39","29","Immediate drying and additional stimulation","","2","0",""
"x","40","30","Thermal protection","","2","0",""
"x","41","31","Clean cord care","","1","0",""
"x","42","37","Neonatal resuscitation","","","",""
"","","","Case management of premature babies","","","",""
"x","43","66","Kangaroo-Mother Care (KMC)","","1","0",""
"","44","67","Full supportive care of prematurity","14","2","28",""
"","","","Case management of neonatal sepsis/pneumonia","","","",""
"x","45","68","Oral antibiotics","","1","0",""
"x","46","69","Injectable antibiotics","","1","0",""
"","47","70","Full supportive care","14","4","56",""
"x","Int#","LiST#","Intervention","Number of Visits per Woman","Number of Health Workers involved in each Visit","Number of Health Worker Contacts",""
"x","48","44","Early Initiation of Breastfeeding","2","1","2",""
"x","49","45","Complementary feeding - Education only","4","1","4",""
"x","50","46","Complementary feeding - Supplementary feeding + Education","4","1","4",""
"x","Int#","LiST#","Intervention","Number of Visits per Child ","Number of Health Workers involved in each Visit","Number of Health Worker Contacts per Case/Episode",""
"x","300","300","AVERAGE NUMBER OF VACCINATION VISITS PER CHILD IN FiRST LIFE-YEAR","6","1","6",""
"x","51","55","BCG - Single dose","1","1","1",""
"x","52","56","Polio - Three doses","3","1","3",""
"","","","Pentavalent","","","",""
"x","53","57","DPT - Three doses","3","1","3",""
"x","54","58","Hib - Three doses","3","1","3",""
"x","55","59","HepB - Three doses","3","1","3",""
"x","56","60","Pneumococcal - Three doses","3","1","3",""
"x","57","61","Rotavirus - Two doses","2","1","2",""
"x","58","62","Meningococcal A - Single dose","1","1","1",""
"x","59","63","Malaria vaccine - Three doses","3","1","3",""
"x","60","64","Measles - Single dose","1","1","1",""
"x","Int#","LiST#","Intervention","Number of Visits per Patient per Case/Episode","Number of Health Workers involved in each Visit","Number of Health Worker Contacts per Case/Episode",""
"x","400","400","AVERAGE NUMBER OF SICK/WELL CHILD VISITS PER YEAR","3","1","3",""
"x","61","47","Vitamin A supplementation","2","1","2",""
"x","62","48","Zinc supplementation","2","1","2",""
"x","63","71","ORS - Oral Rehydration Solution","1","1","1",""
"x","64","72","Antibiotics for treatment of dysentery","1","1","1",""
"x","65","73","Zinc for treatment of diarrhea","1","1","1",""
"x","66","74","Oral antibiotics for pneumonia","1","1","1",""
"x","67","75","Vitamin A for treatment of measles","1","1","1",""
"x","68","76","ACTs - Artemisinin compounds for treatment of malaria","2","1","2",""
"","69","77","SAM - treatment for severe acute malnutrition","4","1","4",""
"","70","78","MAM - treatment for moderate acute malnutrition","4","1","4",""
"","Int#","LiST#","Intervention","Number of Visits per Patient per Case/Episode","Number of Health Workers involved in each Visit","Number of Health Worker Contacts per Case/Episode",""
"","71","54","ITN/IRS - Households protected from malaria","1","1","1",""
