"","Landings into","","","","","","","","","","Total landings","","","","Uptake of quota","","","","","",""," ","","","","",""
"Stock","Scotland","","","England, Wales & N.I.","","","Abroad","","","","by UK vessels","","","U.K","in past week","","so far in:","","","","","UK","","","","",""
"","","","%","","","%","","","%","","","","%","Quota","","","2021","2022","","","","Quota","","","","",""
"","2021","2022","change","2021","2022","change","2021","2022","change","","2021","2022","change","2022","Tonnes","%","%","%","","","","2016","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Deep Sea","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tusk IV","79.5","72.8","-8.4","0.2","0.3","60.5","9.0","4.8","-46.3","","88.6","72.3","-18.4","103","0.0","0.0","82.8","70.0","","","","107","","","","",""
"Ling IV","3139.0","2954.5","-5.9","328.0","315.0","-4.0","103.6","62.5","-39.7","","3570.6","2475.0","-30.7","2836","0.0","0.0","142.0","87.3","","","","2515","","","","",""
"Tusk V,VI,VII","138.5","123.9","-10.6","1.4","1.1","-22.5","0.4","0.0","-91.0","","140.3","130.6","-6.9","715","0.0","0.0","53.0","18.3","","","","265","","","","",""
"Ling VI-X,XII,XIV","2171.7","1701.8","-21.6","366.9","226.4","-38.3","33.7","37.0","9.8","","2572.3","2822.2","9.7","4744","0.0","0.0","66.0","59.5","","","","3896","","","","",""
"Black Scabbardfish V-VII,XII","33.9","4.9","-85.6","0.0","0.0","-100.0","0.0","0.0","-","","33.9","4.9","-85.6","122","0.0","0.0","17.5","4.0","","","","194","","","","",""
"Greater Silver Smelt V-VII","0.0","0.0","-","0.0","0.0","-","17.7","5.5","-68.8","","17.7","5.5","-68.8","656","0.0","0.0","6.7","0.8","","","","265","","","","",""
"Roundnose/Roughead Grenadier Vb,VI,VII","11.1","16.0","43.9","0.0","0.0","-","0.0","0.0","-","","11.1","16.0","44.1","124","0.0","0.0","5.1","12.9","","","","216","","","","",""
"Blue Ling Vb,VI,VII","1761.9","2123.1","20.5","0.0","0.0","-","27.8","0.0","-100.0","","1789.7","2123.1","18.6","2378","0.0","0.0","182.8","89.3","","","","979","","","","",""
"Greater Silver Smelt I,II","165.2","0.0","-100.0","0.0","0.0","-","8.8","0.0","-100.0","","174.0","0.0","-100.0","0","0.0","-","#DIV/0!","-","","","","","","","","",""
"Deep sea Shark V-IX","0.0","0.0","-","0.0","0.0","-","0.0","0.0","-","","0.0","0.0","-","0","0.0","-","0.0","-","","","","0","","","","",""
"Deep sea Shark XII","165.2","0.0","-100.0","0.0","0.0","-","8.8","0.0","-100.0","","174.0","0.0","-100.0","0","0.0","-","#DIV/0!","-","","","","","","","","",""
"Alfonsino III-XII","165.2","0.0","-100.0","0.0","0.0","-","8.8","0.9","-90.3","","174.0","0.9","-99.5","0","0.0","-","#DIV/0!","-","","","","","","","","",""
"Roundnose Grenadier VIII-XIV","0.0","0.0","-","0.0","0.0","-","0.0","0.0","-","","0.0","0.0","-","10","0.0","0.0","0.0","0.0","","","","","","","","",""
"Orange roughy I, II, III, IV, V, VIII, IX, X, XII, XIV ","165.2","0.0","-100.0","0.0","0.0","-","8.8","0.0","-100.0","","174.0","0.0","-100.0","0","0.0","-","#DIV/0!","-","","","","","","","","",""
"Forkbeard I-IV","165.2","1.6","-99.1","0.0","0.0","-","8.8","0.1","-98.3","","174.0","1.7","-99.0","0","0.0","-","#DIV/0!","-","","","","","","","","",""
"Forkbeard V,VI,VII","93.6","67.0","-28.5","0.0","0.0","-","1.3","2.1","57.8","","95.0","69.1","-27.3","0","0.0","-","9.7","-","","","","980","","","","",""
"Forkbeard X,XII","0.0","0.0","-","0","0.0","-","0.0","0.0","-","","0.0","0.0","-","0","0.0","-","0.0","-","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021 landings are for the nearest comparable week last year (assuming an average delay of 2 weeks in notification of landings) therefore","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"comparisons will be approximate, and should be treated accordingly.","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
