"WP ID","Class","Method","1 - Fine","2 - Wandered","3 - Golden","4 - Live","5 - Peered","6 - Shrunk","7 - Scratching","8 - Standing","9 - Surprised","10 - Changed","11 - Spring","12 - Thought","13 - Fall","14 - Visit","15 - Hand","16 - Look","TOTAL"
"103","3","Blended","0","3","4","-1","2","4","3","2","1","2","1","4","","","","","25"
"104","5","CAI","3","0","3","1","4","3","4","1","3","1","4","2","","","","","29"
"105","1","Blended","2","2","4","4","3","4","4","4","4","3","3","2","","","","","39"
"107","3","Blended","","","","","","","","","","","","","","","","",""
"109","1","Blended","2","0","0","2","-2","0","2","2","","","","","0","0","0","2","8"
"110","6","Blended","1","0","0","0","1","1","0","0","","","","","0","0","0","2","5"
"111","1","Blended","1","1","1","-1","-1","-1","1","1","","","","","1","0","1","1","5"
"112","3","Blended","1","1","4","0","0","1","3","2","","","","","3","2","0","2","19"
"115","5","CAI","3","2","3","3","3","2","3","3","3","3","3","3","","","","","34"
"117","5","CAI","2","3","2","2","2","2","2","2","2","2","2","2","","","","","25"
"130","3","Blended","2","1","3","1","3","3","4","2","1","3","3","4","","","","","30"
"133","1","Blended","2","3","4","2","3","2","4","2","1","2","3","2","","","","","30"
"134","2","CAI","1","2","4","1","1","3","2","1","1","1","1","0","","","","","18"
"135","1","Blended","1","3","3","1","2","3","4","4","3","2","0","3","","","","","29"
"136","1","Blended","1","3","4","3","3","4","3","3","2","2","3","3","","","","","34"
"137","2","CAI","","","","","","","","","","","","","","","","","23"
"138","1","Blended","0","2","2","2","4","2","4","2","1","3","4","4","","","","","30"
"142","1","Blended","2","3","2","1","3","4","4","1","1","4","3","3","","","","","31"
"143","3","Blended","2","1","4","2","1","3","3","0","2","1","2","1","","","","","22"
"144","1","Blended","","","","","","","","","","","","","","","","","20"
"146","3","Blended","0","0","0","0","0","0","0","0","","","","","0","0","2","0","2"
"147","5","CAI","1","2","3","1","3","2","3","3","4","3","2","2","","","","","29"
"149","6","Blended","","","","","","","","","","","","","","","","",""
"150","1","Blended","2","2","3","0","2","2","3","2","2","2","0","2","","","","","22"
"151","3","Blended","","","","","","","","","","","","","","","","",""
"153","6","Blended","1","2","1","1","0","2","-1","0","","","","","1","1","1","-1","8"
"155","6","Blended","","","","","","","","","","","","","","","","",""
"157","2","CAI","2","0","2","0","2","3","3","1","1","2","2","4","","","","","22"
"158","2","CAI","3","2","2","4","2","2","3","2","3","2","2","2","","","","","29"
"159","2","CAI","0","2","2","2","1","2","2","0","0","2","2","2","","","","","17"
"160","2","CAI","1","2","3","2","3","2","3","2","1","2","3","2","","","","","26"
"161","2","CAI","0","0","4","2","3","4","4","2","","","","","4","4","1","4","32"
"163","2","CAI","1","1","3","1","-1","3","3","3","3","3","2","2","","","","","24"
"164","5","CAI","-1","1","4","1","1","0","3","1","","","","","0","2","3","2","17"
"168","3","Blended","2","3","3","2","2","2","4","3","1","4","2","2","","","","","30"
"170","4","CAI","","","","","","","","","","","","","","","","",""
"171","4","CAI","1","-2","1","1","-1","1","1","0","","","","","0","0","1","0","3"
"172","4","CAI","","","","","","","","","","","","","","","","",""
"173","4","CAI","2","3","3","2","0","0","2","1","0","2","-1","2","","","","","16"
"174","4","CAI","","","","","","","","","","","","","","","","",""
"175","4","CAI","","","","","","","","","","","","","","","","",""
"","","AVG","1.3225806451613","1.5483870967742","2.6129032258065","1.3548387096774","1.5806451612903","2.0967741935484","2.6774193548387","1.6774193548387","1.8181818181818","2.3181818181818","2.0909090909091","2.4090909090909","1","1","1","1.3333333333333",""
"","","CAI","1","0.94736842105263","2.0526315789474","1.2105263157895","1.2105263157895","1.5263157894737","2","1.1578947368421","1.1052631578947","1.2105263157895","1.1578947368421","1.2105263157895","0.21052631578947","0.31578947368421","0.26315789473684","0.31578947368421",""
"","","Blended","1","1.3636363636364","1.9090909090909","0.86363636363636","1.1818181818182","1.6363636363636","2.0454545454545","1.3636363636364","0.86363636363636","1.2727272727273","1.0909090909091","1.3636363636364","0.22727272727273","0.13636363636364","0.18181818181818","0.27272727272727",""
