"Category","Item","Unit","Unit Cost","Tax 5%","Taxable Amt/Unit"
"Flashing","Step flashing","LF","8.14","0.13","2.60"
"","Aluminum sidewall/endwall flashing - mill finish","LF","5.27","0.21","4.20"
"","Counterflashing - Apron flashing","LF","7.68","0.10","2.00"
"","R&R Chimney flashing - small (24"" x 24"")","EA","242.28","2.44","48.80"
"","R&R Chimney flashing - average (32"" x 36"")","EA","308.02","4.45","89.00"
"","R&R Chimney flashing - large (32"" x 60"")","EA","408.56","6.46","129.20"
"","Detach & Reset Skylight - Dome style fixed, 4 - 9 sf*","EA","113.08","0.00","0.00"
"","Detach & Reset Skylight - Dome Style fixed, 9.1 - 15.5 sf*","EA","148.53","0.00","0.00"
"","R&R Skylight cladding - preformed aluminum (Velux Style)*","LF","16.86","0.63","12.60"
"Underlayment","Roofing felt - 15 lb.","SQ","25.97","0.54","10.80"
"","Roofing felt - 30 lb.","SQ","31.46","0.98","19.60"
"","Roofing felt - synthetic underlayment","SQ","34.42","1.13","22.60"
"","Ice & water shield","SF","1.65","0.03","0.60"
"","Asphalt starter - universal starter course","LF","1.63","0.04","0.80"
"","Asphalt starter - laminated double layer starter","LF","3.89","0.15","3.00"
"Edge/Valley Metal","Drip Edge","LF","1.84","0.05","1.00"
"","Rake Edge","LF","1.84","0.05","1.00"
"","Gravel stop","LF","1.64","0.05","1.00"
"","Valley metal","LF","4.34","0.13","2.60"
"","Valley metal - painted","LF","4.65","0.16","3.20"
"","Valley metal - (W) profile","LF","5.02","0.19","3.80"
"","Valley metal - (W) profile - painted","LF","6.61","0.31","6.20"
