"","Mon","","","Tue","","","Wed","","","Thu","","","Fri","","","Sat","","","Sun",""
"","11/2","","","11/3","","","11/4","","","11/5","","","11/6","","","11/7","","","11/8",""
"RECVD","COMP","INCOMP","RECVD","COMP","INCOMP","RECVD","COMP","INCOMP","RECVD","COMP","INCOMP","RECVD","COMP","INCOMP","RECVD","COMP","INCOMP","RECVD","COMP","INCOMP"
"15000","15000","0","452403","450000","2403","4","4","0","85","85","0","1000","995","5","15000","15000","0","452402","450000","2402"
"13264","13264","0","56","50","6","52","52","0","6","6","0","123","120","3","13264","13264","0","56","50","6"
"163242","163242","0","421","421","0","1","1","0","25","25","0","146","146","0","163242","163242","0","421","421","0"
"","","0","41","41","0","4","3","1","74","74","0","","","0","","","0","41","41","0"
"","","0","1","1","0","25","25","0","87","87","0","","","0","","","0","1","1","0"
"","","0","","","0","47","47","0","572748","572748","0","","","0","","","0","","","0"
"","","0","","","0","52","52","0","52","52","0","","","0","","","0","","","0"
"","","0","","","0","1","0","1","87452","87452","0","","","0","","","0","","","0"
