"Sponge Type","Organism","Test Material","Log10 Recovery (Inoculation Control)","Standard Deviation of Log10 Recovery (Inoculation Control)","Log10 Recovery (Test Sample)","Standard Deviation of Log10 Recovery (Test Sample)"
"3M","Escherichia coli","ABS Plastic","7.7913592434444","0.015788812344875","4.7276205004394","0.56108541833747"
"","","Glass","7.7478498178752","0.017063962397608","5.4735844071513","0.58828676918149"
"","","Stainless Steel","7.8586225218418","0.0026186728799695","5.8302735864156","0.78107343848304"
"","Serratia marcescens","ABS Plastic","7.734137875821","0.024714375020966","5.5751855902935","0.27524219405754"
"","","Glass","7.734137875821","0.024714375020966","5.398788791228","0.41096847768011"
"","","Stainless Steel","7.734137875821","0.024714375020966","4.9940976666016","0.49157896059006"
"","Yersinia ruckeri"," Stainless Steel","7.7459990160891","0.017904956280413","3.7268956599751","0.34597022475479"
"","","ABS Plastic","7.7459990160891","0.017904956280413","3.8491109888651","0.26319540628732"
"","","Glass","7.7459990160891","0.017904956280413","3.8075603533351","0.12267428473151"
"LabPlas","Escherichia coli","ABS Plastic","7.8437157121394","0.058321430466287","5.763583851262","0.29423487300706"
"","","Glass","7.6808975419655","0.055288372286931","6.1920608108699","0.30667391240698"
"","","Stainless Steel","7.6308307617314","0.034238529650061","4.8358716506462","0.29500847481369"
"","Serratia marcescens","ABS Plastic","7.0677803416207","0.021813140001353","3.3805260868212","0.068049618691059"
"","","Glass","7.0677803416207","0.021813140001353","4.0155141756081","0.41565956229593"
"","","Stainless Steel","7.0677803416207","0.021813140001353","3.9912496914535","0.16242910091717"
"","Yersinia ruckeri","ABS Plastic","7.569018642921","0.050609534831053","5.2978179427817","0.036860188587585"
"","","Glass","7.569018642921","0.050609534831053","5.4780161974767","0.078173664598412"
"","","Stainless Steel","7.569018642921","0.050609534831053","5.2008982396074","0.35303918585616"
"Solar Cult","Escherichia coli","ABS Plastic","7.7555971511134","0.099111457966879","6.2561876940838","0.10049202408377"
"","","Glass","7.7563158187764","0.033297509919806","5.7573990658023","0.12417592864692"
"","","Stainless Steel","7.7737471845354","0.025685483184618","6.0667390812675","0.23432149728628"
"","Serratia marcescens"," ABS Plastic","7.7279333359379","0.070756231318302","6.6076096344422","0.16014477707148"
"",""," Glass","7.7279333359379","0.070756231318302","6.368879770696","0.12961979624897"
"",""," Stainless Steel","7.7279333359379","0.070756231318302","6.151358604637","0.073791986605413"
"","Yersinia ruckeri","ABS Plastic","7.5142009064726","0.027209882820257","6.2842907793361","0.052542504745604"
"","","Glass","7.5142009064726","0.027209882820257","6.2987629643108","0.17951806381921"
"","","Stainless Steel","7.5142009064726","0.027209882820257","6.3682794225482","0.053075897541946"
