"MNCH Interventions as grouped in LiST Model","","","",""
"","","","Int# in LiST","Int#"
"Family Planning","","FP - Condoms","1","2"
"","","FP - Female Sterilization","2","6"
"","","FP - Male Sterilization","3","7"
"","","FP - Injectables","4","3"
"","","FP - Implants","5","4"
"","","FP - IUD","6","5"
"","","FP - Pills","7","1"
"","","FP - Traditional Methods","8","8"
"Periconceptual","","Folic acid fortification","9","Not Incl."
"","","Safe abortion services","10","34"
"","","Post abortion case management","11","35"
"","","Ectopic pregnancy case management","12","38"
"","","Iron fortification","13","Not Incl."
"Antenatal Care","","Antenatal care (at least 1 visit)","14","9"
"","","Antenatal care (at least 4 visits)","15","10"
"","","TT - Tetanus toxoid vaccination","16","11"
"","","IPTp - Intermittent preventive treatment of malaria during pregnancy","17","12"
"","","Syphilis detection and treatment","18","13"
"","","Calcium supplementation","19","14"
"","","Iron supplementation in pregnancy","20","15"
"","","Multiple micronutrient supplementation in pregnancy","21","16"
"","","Balanced energy supplementation","22","17"
"","","Hypertensive disorder case management","23","18"
"","","Diabetes case management","24","19"
"","","Malaria case management","25","20"
"","","MgSO4 management of pre-eclampsia","26","21"
"Delivery Care","","Health Facility Delivery","27","22"
"","","Clean birth environment","28","23"
"","","Immediate drying and additional stimulation","29","39"
"","","Thermal protection","30","40"
"","","Clean cord care","31","41"
"","","Manual removal of placenta","32","24"
"","","Parenteral administration of anti-convulsants","33","25"
"","","Antibiotics for preterm or prolonged PROM","34","26"
"","","Parenteral administration of antibiotics","35","27"
"","","Assisted vaginal delivery","36","28"
"","","Neonatal resuscitation","37","42"
"","","Parenteral administration of uterotonics","38","29"
"","","Removal of retained products of conception","39","30"
"","","Induction of labor for pregnancies lasting 41+ weeks","40","31"
"","","Antenatal corticosteroids for preterm labor","41","32"
"","","Cesarean delivery","42","36"
"","","Blood transfusion","43","37"
"Breastfeeding","","Breastfeeding","44","48"
"Preventive Interventions","Feeding and Supplements","Complementary feeding - Education only","45","49"
"","","Complementary feeding - Supplementary feeding + Education","46","50"
"","","Vitamin A supplementation","47","61"
"","","Zinc supplementation","48","62"
"","WASH","Basic sanitation","49","Not
Incl."
"","","Point-of-use filtered water","50",""
"","","Piped water","51",""
"","","Hand washing with soap","52",""
"","","Hygienic disposal of children's stools","53",""
"","Other","ITN/IRS - Households protected from malaria","54","71"
"Vaccines","","BCG - Single dose","55","51"
"","","Polio - Three doses","56","52"
"","","Pentavalent","",""
"","","DPT - Three doses","57","53"
"","","Hib - Three doses","58","54"
"","","HepB - Three doses","59","55"
"","","Pneumococcal - Three doses","60","56"
"","","Rotavirus - Two doses","61","57"
"","","Meningococcal A - Single dose","62","58"
"","","Malaria vaccine - Three doses","63","59"
"","","Measles - Single dose","64","60"
"Curative Interventions","Maternal","Maternal sepsis case management","65","33"
"","Neonatal","Case management of premature babies","",""
"","","Kangaroo-Mother Care (KMC)","66","43"
"","","Full supportive care of prematurity","67","44"
"","","Case management of neonatal sepsis/pneumonia","",""
"","","Oral antibiotics for neonatal sepsis","68","45"
"","","Injectable antibiotics for neonatal sepsis","69","46"
"","","Full supportive care for neonatal sepsis/pneumonia","70","47"
"","Diarrhea","ORS - Oral Rehydration Solution","71","63"
"","","Antibiotics for treatment of dysentery","72","64"
"","","Zinc for treatment of diarrhea","73","65"
"","Other infectious diseases","Oral antibiotics for pneumonia","74","66"
"","","Vitamin A for treatment of measles","75","67"
"","","ACTs - Artemisinin compounds for treatment of malaria","76","68"
"","Malnutrition","SAM - treatment for severe acute malnutrition","77","69"
"","","MAM - treatment for moderate acute malnutrition","78","70"
