"Hours of work","2023","","","","",""
"","Persons at work","","","Percent distribution","",""
"","All
industries","Agriculture
and related
industries","Nonagricultural
industries","All
industries","Agriculture
and related
industries","Nonagricultural
industries"
"","","","","","",""
"Total, persons at work","155167","2179","152987","100","100","100"
"1 to 34 hours","34869","587","34282","22.5","26.9","22.4"
"1 to 4 hours","1613","42","1571","1","1.9","1"
"5 to 14 hours","5475","134","5341","3.5","6.2","3.5"
"15 to 29 hours","17082","269","16813","11","12.4","11"
"30 to 34 hours","10699","142","10557","6.9","6.5","6.9"
"35 hours and over","120298","1592","118705","77.5","73.1","77.6"
"35 to 39 hours","9390","97","9293","6.1","4.4","6.1"
"40 hours","76549","737","75812","49.3","33.8","49.6"
"41 hours and over","34359","758","33600","22.1","34.8","22"
"41 to 48 hours","12184","141","12043","7.9","6.5","7.9"
"49 to 59 hours","13453","247","13205","8.7","11.3","8.6"
"60 hours and over","8722","370","8352","5.6","17","5.5"
"","","","","","",""
"Average hours, total at work","38.5","41","38.5","–","–","–"
"Average hours, persons who usually work full time","41.9","46.7","41.9","–","–","–"
