"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","February","","","","March","","","","January","",""
"","","Actual","Budget","Variance","","Actual","Budget","Variance","","Actual","Budget","Variance"
"","","","","","","","","","","","",""
"Product 1","","","","","","","","","","23,432.00 ","31,233.00 ","7,801.00 "
"Product 2","","49,887.10 ","44,737.88 ","-5,149.23 ","","49,887.10 ","44,737.88 ","-5,149.23 ","","49,887.10 ","44,737.88 ","-5,149.23 "
"Product 3","","","","","","","","","","5,322.00 ","4,789.00 ",""
"Product 4","","498.79 ","0.00 ","-498.79 ","","755.30 ","0.00 ","-755.30 ","","2,074.90 ","0.00 ","-2,074.90 "
"Product 5","","-5,347.35 ","0.00 ","5,347.35 ","","0.00 ","0.00 ","0.00 ","","5,347.35 ","0.00 ","-5,347.35 "
"Product 6","","0.00 ","0.00 ","0.00 ","","0.00 ","0.00 ","0.00 ","","56.49 ","0.00 ","-56.49 "
"Product 7","","-2,500.00 ","0.00 ","2,500.00 ","","0.00 ","0.00 ","0.00 ","","2,500.00 ","4,700.00 ","-2,500.00 "
"Product 8","","13,214.28 ","10,723.70 ","-2,490.58 ","","9,441.59 ","10,723.70 ","1,282.11 ","","9,442.47 ","10,723.70 ","1,281.23 "
"Product 9","","147.35 ","0.00 ","-147.35 ","","147.35 ","0.00 ","-147.35 ","","147.35 ","0.00 ","-147.35 "
"Product 10","","983.27 ","1,208.33 ","225.06 ","","983.27 ","1,208.33 ","225.06 ","","983.27 ","1,208.33 ","225.06 "
"","","","","","","","","","","","",""
