"","Interductal segment length (µm)","","","","",""
"","Mouse #2","","Mouse #3","","Mouse #1",""
"Age (months)","3","6","3","6","3","6"
"","1376","1267","333","390","633","552"
"","739","822","1628","1932","2102","1163"
"","333","380","671","781","1056","961"
"","949","871","931","593","2387","2063"
"","1352","1500","746","829","1563","2372"
"","691","1249","439","555","876","789"
"","1260","1231","178","199","1713","1782"
"","","","155","183","463","382"
"","","","1221","1325","1260","1129"
"","","","985","1095","",""
