"Ripley cluster analysis used for Figure 4b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Distance (μm)","Ripley L(r) (μm) - cycling","","","","","","","","","","","","","","","Ripley L(r) (μm) - ovariectomy														","","","","","","","","","","","","","","","","","","","","","","","",""
"2.5","3.05803571","0.8013564","-0.868101","0.896295","-4.278398","1.908016","1.068045","0.147907","3.03128","4.963218","1.068045","2.991669","1.163698","3.046928","1.027469","0.896295","-3.124505","-3.107017","-1.658083","-4.004904","","","","","-2.70636","0.6972","-1.101204","-2.507519","-0.525962","-1.147697","-2.963712","-1.159759","-1.252729","-0.010261","-1.483345","-2.592618","-3.526696","0.774455","","-5.835228"
"7.5","8.93690476","5.7473137","-4.806702","5.538098","-1.663591","3.4794","5.131458","3.725993","6.380132","8.067108","5.131458","7.74166","4.801131","9.343438","2.113017","5.538098","-4.234329","-3.841151","-0.660821","-4.61735","-10.21877","","","-5.649044","-7.753053","3.777468","-0.58366","-4.333269","-4.0644","0.934005","-5.790293","-4.150578","2.004675","-1.683949","-3.173447","-4.366902","-1.521975","0.566811","8.638525","-4.95565"
"12.5","14.0171958","13.1497046","-4.811854","11.82228","5.449052","5.061694","8.787175","6.599427","9.985371","13.59447","8.787175","10.61344","8.633782","15.62543","3.536448","11.82228","-9.758372","-2.795433","3.203472","-5.640912","","-16.12251","","-2.05839","-8.509788","7.463624","0.799815","-2.269839","-2.649902","4.538097","-7.922164","-3.124807","6.007132","-0.037266","-3.245108","-4.048927","0.528991","-0.749528","12.88679","-8.799055"
"17.5","17.9910714","17.4820375","-4.065655","14.48526","7.338371","6.3634","10.41245","7.41777","10.75721","14.29157","10.41245","13.9233","12.24534","19.45279","3.80282","14.48526","-7.474409","-1.724487","3.498682","-4.011221","-13.55308","-8.715114","-25.39879","0.8937","-2.705115","11.13438","1.379043","-1.971847","-1.22263","8.799292","-9.543232","-1.573194","5.520432","1.584571","-4.637909","-3.282844","0.306122","-1.778164","","-7.284554"
"22.5","21.3962585","23.7518866","-2.545817","18.3806","8.256409","4.631431","9.324469","8.634789","8.290585","14.63257","9.324469","15.6336","14.90669","22.3582","4.278171","18.3806","-2.68853","0.843779","4.647872","0.411259","-7.297236","","-17.89468","-1.431571","0.86208","14.53958","2.607873","-0.331289","-0.408077","12.63282","-12.77591","0.971376","5.182001","4.782215","-4.158606","-3.559654","-2.430577","-0.405947","","-7.902655"
"27.5","25.1084656","29.439671","1.658598","22.99201","8.830709","4.696485","8.970171","7.696816","8.112456","14.37844","8.970171","14.71779","17.73769","25.19618","4.708229","22.99201","-3.860683","1.577752","4.143829","1.3468","-3.999799","-6.329438","-8.612896","-4.131675","2.180421","17.86803","3.77123","2.881026","0.913918","15.30687","-12.94853","1.060772","-4.114331","6.047835","-3.853826","-4.939922","0.835608","-0.426828","-11.52801","-10.47621"
"32.5","32.5902778","32.0038068","3.222076","25.09854","11.39511","7.372931","7.639206","7.965531","10.19102","13.73572","7.639206","14.54038","20.43469","29.59694","5.416244","25.09854","-1.167946","0.591344","5.00408","3.481292","-4.966716","-11.35136","-8.14412","","6.219117","21.22992","5.213352","5.203043","1.561796","18.36039","-14.60966","0.619813","-5.449441","8.731354","-4.445303","-4.280175","4.707644","-0.115048","","-14.90215"
