"Category","Date","Description","Unit of Measure","QTY ON HAND","Reorder Level","Status"
"ADHESIVES","12/11/2012","1"" BLUE TAPE","","1","5",""
"","12/11/2012","1"" FOAM TAPE","","1","5",""
"","12/11/2012","2"" FOAM TAPE","","1","10",""
"","12/11/2012","2"" GREEN MASKING TAPE","","9","5",""
"","12/11/2012","3/4"" FOAM TAPE","","1","10",""
"","12/11/2012","3/4"" GREEN MASKING TAPE","","17","5",""
"","12/11/2012","4"" BLACK TAPE","","0","",""
"","12/11/2012","4"" BLUE TAPE","","5","",""
"","12/11/2012","4"" BROWN TAPE","","4","",""
"","12/11/2012","4"" GREEN TAPE","","3","",""
"","12/11/2012","4"" RED TAPE","","8","",""
"","12/11/2012","4"" WHITE TAPE","","7","",""
"","12/11/2012","4"" YELLOW TAPE","","1","",""
"","12/11/2012","ADHESIVE REMOVER","","12","",""
"","12/11/2012","ALUMINUM TAPE","","16","",""
"","12/11/2012","CONSTRUCTION ADHESIVE","","4","",""
"","12/11/2012","DUCT TAPE","","15","",""
"","12/11/2012","ELECTRICAL TAPE","","8","",""
"","12/11/2012","FIRE BLOCK SEALANT","","1","",""
"","12/11/2012","LATEX CAULK","","2","",""
"","12/11/2012","RED SHEATHING TAPE","","11","",""
"","12/11/2012","SAFETY-WALK EDGE SEALING COMPOUND","","1","",""
"","12/11/2012","SCOTCH WELD","","12","",""
"","12/11/2012","SIKAFLEX 291 BLACK","","36","",""
"","12/11/2012","SIKAFLEX 291 White","","27","",""
"","12/11/2012","SIKASIL-GP","","8","",""
"","12/11/2012","SUPER 77 SPRAY GLUE","","15","",""
"","12/11/2012","ULTRA BLUE GASKET MAKER","","1","",""
"FASTENERS","12/11/2012","4"" CABLE TIES","100/PKG","18","",""
"","12/11/2012","8"" CABLE TIES","100/PKG","7","",""
"","12/11/2012","11"" CABLE TIES","100/PKG","5","",""
"","12/11/2012","14 1/2"" CABLE TIES","100/PKG","6","",""
"","12/11/2012","3/8 NYLON WASHER","100/PKG","11","",""
"","12/11/2012","5/16 NYLON WASHER","100/PKG","16","",""
"","12/11/2012","1/8 ALUMINUM COUPLER","","47","",""
"","12/11/2012","1/4 ALUMINUM COUPLER","","32","",""
"","12/11/2012","3/8 ALUMINUM COUPLER","","20","",""
"","12/11/2012","1/2 ALUMINUM COUPLER","","47","",""
"","12/11/2012","3/4 ALUMINUM COUPLER","","29","",""
"","12/11/2012","3"" HOSE CLAMP","","0","",""
"","12/11/2012","1"" ALUMINUM COUPLER","","0","",""
"","12/11/2012","1 1/2"" ALUMINUM COUPLER","","20","",""
"","12/11/2012","2"" ALUMINUM COUPLER","","5","",""
"","12/11/2012","2 1/2"" ALUMINUM COUPLER","","1","",""
"","12/11/2012","NYLON CABLE CLAMPS","25","112","",""
"","12/11/2012","1/4 HOSE BARBS","","21","",""
"","12/11/2012","6"" S.S EXHAUST CLAMPS","","12","",""
"","12/11/2012","3/8"" BARBS","","13","",""
"","12/11/2012","1/2""  BARBS","","0","",""
"","12/11/2012","3/4""  BARBS","","28","",""
"","12/11/2012","1"" BARBS","","17","",""
"","12/11/2012","1 1/2"" BARBS","","7","",""
"","12/11/2012","2"" BARBS","","7","",""
"","12/11/2012","2 1/2"" BARBS","","15","",""
"","12/11/2012","#8 NYLON WASHERS","100/PKG","5","",""
"","12/11/2012","#10 NYLON WASHERS","100/PKG","8","",""
"","12/11/2012","#10 NYLON WASHERS","400/PKG","0","",""
"","12/11/2012","STAINLESS STEEL CUSHION CLAMP","10","0","",""
"","12/11/2012","1/2 NYLON WASHER","100/PKG","2","",""
"","12/11/2012","1 1/4 BARBS","","13","",""
"","12/11/2012","GREY SNAP CAPS","100/PKG","11","",""
"","12/11/2012","BLACK SNAP CAPS","100/PKG","16","",""
"","12/11/2012","CLEVIS PIN/HAIR PIN","","9","",""
"HARDWARE","12/11/2012","DECK CLEATS","","0","",""
"","12/11/2012","DECK TIE DOWNS","","0","",""
"","12/11/2012","DOOR STOPS","","9","",""
"","12/11/2012","S.S HANDLES","","15","",""
"","12/11/2012","SMALL ALUMINUM HANDLES","","6","",""
"","12/11/2012","MEDIUM ALUMINUM HANDLES","","7","",""
"","12/11/2012","LARGE ALUMINUM HANDLES","","7","",""
"","12/11/2012","ANTENNA MOUNT","","4","",""
"","12/11/2012","SEAT BOX LATCHES","","0","",""
"","12/11/2012","BLACK SLAM LATCHES","","7","",""
"","12/11/2012","WHITE SLAM LATCHES","","20","",""
"","12/11/2012","4"" S/S CLEATS","","9","",""
"","12/11/2012","SEA CHEST LATCHES","","3","",""
"","12/11/2012","GAS SHOCK ENDS LARGE","","27","",""
"","12/11/2012","GAS SHOCK ENDS SMALL","","12","",""
"","12/11/2012","HATCH HINGES","","16","",""
"","12/11/2012","WASHER KITS","","6","",""
"","12/11/2012","WATER THRU HULL","","7","",""
"","12/11/2012","WASTE THRU HULL","","3","",""
"","12/11/2012","GAS THU HULL","","2","",""
"","12/11/2012","BLACK BUMPERS","","6","",""
"","12/11/2012","HAND RAIL CAPS","","16","",""
"","12/11/2012","LIFE RING HOLDER","","8","",""
"","12/11/2012","LIFE RING HOLDER RAIL MOUNT","","3","",""
"","12/11/2012","HATCH SPRINGS","","10","",""
"","12/11/2012","ENGINE HATCH SPRINGS","","16","",""
"","12/11/2012","MOUNTING CLIP ASSY","","12","",""
"LUBRICANT","12/11/2012","AIR TOOL OIL","472ML","2","",""
"","12/11/2012","COOL TOOL CUTTING FLUID","12.5OZ","1","",""
