"Ki67/CC3 fraction per organoid","",""
"Wild-type organoids","Brca1;Trp53 confetti organoids",""
"WT","TYPE1","TYPE2"
"1.56","1.91","3.81"
"0.37","5.89","2.60"
"0.25","0.42","0.28"
"1.33","2.20","1.16"
"0.25","3.94","3.53"
"0.62","3.39","3.08"
"1.01","5.38","7.47"
"0.77","2.06","1.04"
"0.49","4.66","2.94"
"1.62","1.65","2.60"
"0.44","1.27","0.62"
"0.56","1.37","3.11"
"0.24","2.07","7.12"
"0.35","0.58","4.04"
"1.36","0.80","33.47"
"1.86","0.22","2.64"
"6.25","1.73","0.76"
"0.53","18.24","0.71"
"0.20","0.93","1.92"
"0.68","3.31","8.55"
"1.42","1.57","1.83"
"1.05","1.57","0.72"
"1.18","5.76","3.35"
"0.72","1.43","2.24"
"7.17","2.98","2.65"
"2.36","1.83","0.44"
"0.94","1.76","1.73"
"0.54","4.55","2.21"
"0.66","2.45","0.94"
"0.78","2.56","0.82"
"1.92","","1.79"
"0.34","","3.68"
"0.44","","4.05"
"","","0.99"
"","","2.24"
"","","2.86"
"","","1.12"
"","","0.15"
"","","0.44"
"","","0.45"
"","","2.45"
"","","0.62"
"","","0.50"
"","","0.93"
"","","2.19"
"","","1.75"
"","","0.57"
"","","1.31"
"","","1.42"
"","","0.69"
"","","5.00"
"","","0.81"
"","","1.56"
"","","2.09"
"","","1.55"
"","","0.93"
"","","2.43"
"","","0.87"
"","","3.55"
"","","9.35"
"","","23.95"
"","","4.24"
"","","1.02"
"","","0.99"
"","","1.08"
"","","2.44"
"","","1.16"
"","","1.15"
"","","1.84"
"","","0.97"
"","","0.26"
"","","0.21"
"","","0.34"
"","","0.61"
