"2. Business Size","","","","","","","","","","",""
"Source: UK overseas trade in goods statistics from HM Revenue & Customs, and Inter-Departmental Business Register from the Office for National Statistics","","","","","","","","","","",""
"This worksheet contains one table.","","","","","","","","","","",""
"","","","","","","","","","","",""
"Flow","Year","Country","Zone","Business size
(No. of employees)","Age (Years)","Industry group","Value (£)","Business count","Employee count","",""
"Import","2023","Belgium","EU","0","All","All","9,284,337","174","0","",""
"Import","2023","Belgium","EU","1 to 9","All","All","1,530,276,369","6,007","24,879","",""
"Import","2023","Belgium","EU","10 to 49","All","All","2,717,234,643","5,953","142,177","",""
"Import","2023","Belgium","EU","50 to 249","All","All","4,209,238,316","3,927","442,653","",""
"Import","2023","Belgium","EU","250 +","All","All","13,962,239,615","2,105","5,110,816","",""
"Import","2023","Belgium","EU","Unknown","All","All","5,841,966,746","1,492","not applicable","",""
"Import","2023","Czechia","EU","0","All","All","1,142,190","58","0","",""
"Import","2023","Czechia","EU","1 to 9","All","All","426,830,352","2,285","9,064","",""
"Import","2023","Czechia","EU","10 to 49","All","All","659,140,003","2,314","55,884","",""
"Import","2023","Czechia","EU","50 to 249","All","All","1,546,523,245","1,631","183,460","",""
"Import","2023","Czechia","EU","250 +","All","All","2,193,823,707","1,075","3,427,842","",""
"Import","2023","Czechia","EU","Unknown","All","All","656,027,986","551","not applicable","",""
"Import","2023","Denmark","EU","0","All","All","3,244,476","138","0","",""
"Import","2023","Denmark","EU","1 to 9","All","All","402,462,239","4,799","19,730","",""
"Import","2023","Denmark","EU","10 to 49","All","All","775,839,794","4,377","104,021","",""
"Import","2023","Denmark","EU","50 to 249","All","All","1,264,846,708","2,698","303,780","",""
"Import","2023","Denmark","EU","250 +","All","All","2,425,747,163","1,637","4,202,871","",""
"Import","2023","Denmark","EU","Unknown","All","All","820,380,011","1,011","not applicable","",""
"Import","2023","EU","EU","0","All","All","273,065,057","3,826","0","",""
"Import","2023","EU","EU","1 to 9","All","All","21,693,319,480","74,858","270,214","",""
"Import","2023","EU","EU","10 to 49","All","All","33,292,913,004","38,437","854,674","",""
"Import","2023","EU","EU","50 to 249","All","All","55,875,664,826","13,997","1,459,174","",""
"Import","2023","EU","EU","250 +","All","All","155,278,241,665","5,058","9,664,399","",""
"Import","2023","EU","EU","Unknown","All","All","59,672,928,999","19,774","not applicable","",""
"Import","2023","France","EU","0","All","All","77,825,902","594","0","",""
"Import","2023","France","EU","1 to 9","All","All","3,688,344,507","15,956","64,349","",""
"Import","2023","France","EU","10 to 49","All","All","3,976,754,193","12,555","296,032","",""
"Import","2023","France","EU","50 to 249","All","All","6,952,148,204","6,900","745,579","",""
"Import","2023","France","EU","250 +","All","All","18,974,801,828","2,956","6,478,762","",""
