"Animal","Genotype","Group","Treatment","Time Centre (s)","Latency Centre (s)",""
"C1","WT","Control","Vehicle","40.3","39.1",""
"C2","WT","Control","Vehicle","11","1.7",""
"C3","WT","Control","Vehicle","58.4","0",""
"C4","WT","Control","Vehicle","22","0",""
"C5","WT","Control","Vehicle","35","0",""
"C6","WT","Control","Vehicle","29.5","0",""
"C7","WT","Control","Vehicle","51.9","0",""
"C8","WT","Control","Vehicle","32","0",""
"C9","WT","Control","Vehicle","43.3","2",""
"C10","WT","Control","Vehicle","49","0",""
"average","","","","37.24","4.28",""
"stdv","","","","14.376771388443","12.258856209107",""
"sterror","","","","4.5463342987021","3.8765907129275",""
"","","","","","",""
"C11","WT","Control","Fluoxetine","30","0",""
"C12","WT","Control","Fluoxetine","34.5","35.5",""
"C13","WT","Control","Fluoxetine","25.5","0",""
"C14","WT","Control","Fluoxetine","32.1","0",""
"C15","WT","Control","Fluoxetine","39.5","9.8",""
"C16","WT","Control","Fluoxetine","30.2","0.8",""
"C17","WT","Control","Fluoxetine","23.5","2",""
"C18","WT","Control","Fluoxetine","32","0",""
"C19","WT","Control","Fluoxetine","36.3","0",""
"C20","WT","Control","Fluoxetine","25.7","25.8",""
"average","","","","30.93","7.39",""
"stdv","","","","5.0660196955357","12.825534426812",""
"sterror","","","","1.6020160909166","4.0557900997627",""
"","","","","","",""
"351","WT","Stress","Vehicle","27.6","20.1",""
"191","WT","Stress","Vehicle","15.5","68.7",""
"251","WT","Stress","Vehicle","19","52.7",""
"361","WT","Stress","Vehicle","27.4","12",""
"541","WT","Stress","Vehicle","17.9","56",""
"852","WT","Stress","Vehicle","7.3","30.5",""
"4163","WT","Stress","Vehicle","13.9","16",""
"4213","WT","Stress","Vehicle","33.3","19",""
"4223","WT","Stress","Vehicle","17","17.2",""
"4303","WT","Stress","Vehicle","34.5","15.8",""
"4323","WT","Stress","Vehicle","17.1","69.4",""
"E1","WT","Stress","Vehicle","23.8","0",""
"E2","WT","Stress","Vehicle","9.9","0",""
"E3","WT","Stress","Vehicle","27","0",""
"E4","WT","Stress","Vehicle","27.8","0",""
"E5","WT","Stress","Vehicle","30.6","0",""
"average","","","","21.85","23.5875",""
"stdv","","","","8.2668817176329","24.74962289275",""
"sterror","","","","2.0667204294082","6.1874057231875",""
"","","","","","",""
"211","WT","Stress","Fluoxetine","10.7","20",""
"291","WT","Stress","Fluoxetine","10","11.2",""
"111","WT","Stress","Fluoxetine","13.9","17.4",""
"11","WT","Stress","Fluoxetine","18.2","46",""
"672","WT","Stress","Fluoxetine","12.5","17.6",""
"4333","WT","Stress","Fluoxetine","12.3","47.9",""
"4353","WT","Stress","Fluoxetine","8.1","33.8",""
"4383","WT","Stress","Fluoxetine","14.3","94.6",""
"4393","WT","Stress","Fluoxetine","24.4","4.9",""
"E6","WT","Stress","Fluoxetine","32.2","0",""
"E7","WT","Stress","Fluoxetine","41.6","0",""
"E8","WT","Stress","Fluoxetine","22.9","0",""
"E9","WT","Stress","Fluoxetine","26.4","13.2",""
"E10","WT","Stress","Fluoxetine","3.2","41.1",""
"average","","","","17.907142857143","24.835714285714",""
"stdv","","","","10.457346647267","26.153470343131",""
"sterror","","","","2.7948434520572","6.9898089642248",""
"","","","","","",""
"411","FGF2KO","Stress","Vehicle","7","213.5",""
"131","FGF2KO","Stress","Vehicle","17.3","22.1",""
"141","FGF2KO","Stress","Vehicle","9.7","27.4",""
"151","FGF2KO","Stress","Vehicle","19.4","58",""
"802","FGF2KO","Stress","Vehicle","15.6","27.8",""
"812","FGF2KO","Stress","Vehicle","13.5","28",""
"4043","FGF2KO","Stress","Vehicle","6.7","32.1",""
"4113","FGF2KO","Stress","Vehicle","25.4","51.8",""
"average","","","","14.325","57.5875",""
"stdv","","","","6.4670041639961","64.282133432015",""
"sterror","","","","2.2864312491616","22.727166229458",""
"","","","","","",""
"121","FGF2KO","Stress","Fluoxetine","10.4","72",""
"201","FGF2KO","Stress","Fluoxetine","19.6","14",""
"181","FGF2KO","Stress","Fluoxetine","21.3","8.8",""
"391","FGF2KO","Stress","Fluoxetine","10.4","66.9",""
"702","FGF2KO","Stress","Fluoxetine","10.7","17.9",""
"642","FGF2KO","Stress","Fluoxetine","13.1","51",""
"4153","FGF2KO","Stress","Fluoxetine","26.4","44.3",""
"4313","FGF2KO","Stress","Fluoxetine","7.8","54",""
"4783","FGF2KO","Stress","Fluoxetine","24.1","49.7",""
"average","","","","15.977777777778","42.066666666667",""
"stdv","","","","6.9035820009937","23.12087801101",""
"sterror","","","","2.3011940003312","7.7069593370033",""
