"Number of unemployed and unemployment rate, 2011-2016","","","","",""
"Year","Month","Unemployment rate","Year","Month","Number of unemployed"
"2011","1","7.0","2011","1","652949"
"","2","7.0","","2","647648"
"","3","6.8","","3","637639"
"","4","7.3","","4","670525"
"","5","7.2","","5","660055"
"","6","7.2","","6","661755"
"","7","7.1","","7","653441"
"","8","7.2","","8","661672"
"","9","7.3","","9","660774"
"","10","7.1","","10","653580"
"","11","7.2","","11","657768"
"","12","7.3","","12","672938"
"2012","1","7.0","2012","1","645672"
"","2","7.0","","2","642032"
"","3","7.0","","3","647158"
"","4","6.7","","4","620168"
"","5","7","","5","641149"
"","6","6.7","","6","617559"
"","7","6.9","","7","640835"
"","8","6.7","","8","615198"
"","9","6.9","","9","637389"
"","10","6.7","","10","619705"
"","11","6.7","","11","622128"
"","12","6.8","","12","631611"
"2013","1","6.8","2013","1","630221"
"","2","6.9","","2","639387"
"","3","6.9","","3","633237"
"","4","7.3","","4","673177"
"","5","7","","5","651017"
"","6","7.4","","6","676320"
"","7","7.0","","7","642227"
"","8","7.1","","8","655393"
"","9","7.1","","9","656511"
"","10","7.1","","10","652068"
"","11","7.1","","11","650476"
"","12","7","","12","650440"
"2014","1","6.9","2014","1","638358"
"","2","6.8","","2","624294"
"","3","7.0","","3","644482"
"","4","6.8","","4","619903"
"","5","6.8","","5","625397"
"","6","6.9","","6","631513"
"","7","6.9","","7","643197"
"","8","6.9","","8","639330"
"","9","6.8","","9","636932"
"","10","6.8","","10","624367"
"","11","6.9","","11","643260"
"","12","6.6","","12","609623"
"2015","1","7.2","2015","1","630211"
"","2","6.8","","2","625974"
"","3","6.7","","3","612593"
"","4","6.8","","4","632881"
"","5","6.8","","5","621971"
"","6","6.7","","6","617347"
"","7","6.8","","7","624298"
"","8","6.8","","8","630086"
"","9","6.9","","9","630251"
"","10","6.6","","10","613021"
"","11","6.6","","11","606698"
"","12","6.7","","12","616001"
