"End Use","Source of Water","Norovirus","","Adenovirus7,8","","Cryptosporidium","","Giardia","","Campylobacter","","Salmonella",""
"","","LRTINF","LRTDALY","LRTINF","LRTDALY ","LRTINF","LRTDALY","LRTINF","LRTDALY","LRTINF","LRTDALY","LRTINF","LRTDALY"
"Unrestricted access landscape irrigation","Untreated municipal wastewater","10.0","8.5","7.0","NSD","6.5","6.0","5.5","4.5","6.5","4.0","5.5","5.5"
"","Untreated onsite wastewater","10.5","8.5","NSD","NSD","7.0","6.5","6.0","5.0","7.5","5.5","3.5","3.5"
"","Graywater","8.5","6.5","NSD","NSD","4.5","4.0","3.5","2.5","5.5","3.0","1.5","1.5"
"","Stormwater (10% wastewater)","9.0","7.5","6*","NSD","5.5","5.0","4.5","3.5","5.5","3.0","4.5","4.5"
"","Roof runoff","n/a","n/a","n/a","n/a","NSD","NSD","1.5","0.5","5.0","2.5","3.5","3.5"
"Potable use","Untreated municipal wastewater","14.5","12.5","11.5","NSD","10.5","10.0","9.5","8.5","11.0","7.5","9.5","9.5"
"","Untreated onsite wastewater","14.5","12.5","","","11.5","11.0","10.0","9.0","12.0","9.5","7.7","8.0"
"","Graywater","13.0","11.0","","","9.0","8.5","8.0","7.0","9.5","7.5","5.5","5.5"
"","Stormwater (10% wastewater)","13.5","11.5","","","9.5","9.0","8.5","7.5","10.0","6.5","8.5","8.5"
"","Roof runoff","n/a","n/a","","","NSD","NSD","5.5","4.5","9.0","6.5","8.0","8.0"
"Indoor non-potable use","Untreated municipal wastewater","10.5","9.0","8.5","NSD","7.5","7.0","6.5","5.5","7.5","5.5","6.5","6.5"
"","Untreated onsite wastewater","11.5","10.0","NSD","NSD","7.0","6.5","6.5","5.5","7.5","5.5","4.0","4.0"
"","Graywater","9.0","7.5","NSD","NSD","4.5","4.0","4.0","3.0","5.5","3.5","2.0","1.5"
"","Stormwater (10% wastewater)","9.5","8.0","7.5*","NSD","6.5","6.0","5.5","4.5","6.5","5.0","5.5","5.5"
"","Roof runoff","n/a","n/a","n/a","n/a","NSD","NSD","2.0","1.0","5.0","3.0","3.5","3.5"
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
