"Location of Federal Family Education Loan (FFEL) Program Loans","","","","","","","","","","","","","",""
"Includes outstanding principal and interest balances","","","","","","","","","","","","","",""
"Data Source: National Student Loan Data System (NSLDS)","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","Commercial Lender Held","","ED Federal Loan Servicers","","ED Total and Permanent Disability Servicer","","ED Default Management System","","Guaranty Agency Held","","Unduplicated Total","",""
"Federal Fiscal Year","","Dollars Outstanding            (in billions)","Recipients     (in millions)","Dollars Outstanding           (in billions)","Recipients     (in millions)","Dollars Outstanding           (in billions)","Recipients     (in millions)","Dollars Outstanding            (in billions)","Recipients     (in millions)","Dollars Outstanding           (in billions)","Recipients     (in millions)","Dollars Outstanding           (in billions)","Recipients     (in millions)",""
"2015","Q1","$239.8","11.38","$79.2 ","5.75","$0.3 ","0.02","$26.2","2.53","$42.1 ","2.4","$387.6","19.1",""
"2015","Q2","$234.1","11.08","$76.7 ","5.57","$0.3 ","0.02","$26.6","2.52","$41.2 ","2.32","$379.1","18.6",""
"2015","Q3","$228.2","10.75","$74.3 ","5.39","$0.5 ","0.03","$27.3","2.55","$40.5 ","2.27","$370.9","18.2",""
"2015","Q4","$222.6","10.46","$72.4 ","5.26","$0.4 ","0.02","$28.2","2.60","$40.1 ","2.21","$363.6","17.9",""
"2016","Q1","$217.4","10.19","$70.3 ","5.11","$0.3 ","0.02","$30.2","2.68","$39.0 ","2.13","$357.3","17.5",""
"2016","Q2","$212.1","9.91","$68.3 ","4.97","$0.4 ","0.02","$30.9","2.71","$38.5 ","2.08","$350.1","17.2",""
"2016","Q3","$206.5","9.61","$66.4 ","4.83","$0.5 ","0.03","$31.3","2.71","$37.8 ","2.02","$342.6","16.76",""
"2016","Q4","$201.1","9.34","$64.3 ","4.69","$0.6 ","0.04","$32.3","2.75","$37.0 ","1.96","$335.2","16.41",""
"2017","Q1","$196.2","9.10","$62.5 ","4.57","$0.4 ","0.03","$34.1","2.82","$35.2 ","1.84","$328.4","16.06",""
"2017","Q2","$190.8","8.81","$60.5 ","4.43","$0.5 ","0.03","$34.6","2.83","$34.1 ","1.77","$320.6","15.67",""
"2017","Q3","$185.1","8.50","$58.6 ","4.29","$0.5 ","0.03","$35.3","2.82","$33.1 ","1.69","$312.7","15.23",""
"2017","Q4","$180.2","8.24","$56.8 ","4.17","$0.4 ","0.02","$36.5","2.85","$31.8 ","1.61","$305.9","14.87",""
"2018","Q1","$176.9","7.99","$55.4 ","4.06","$0.5 ","0.03","$37.5","2.85","$30.9 ","1.55","$301.2","14.53",""
"2018","Q2","$172.2","7.73","$53.8 ","3.95","$0.4 ","0.03","$37.9","2.84","$31.2 ","1.50","$295.5","14.20",""
"2018","Q3","$167.5","7.43","$52.3 ","3.83","$0.4 ","0.02","$38.3","2.82","$30.2 ","1.47","$288.7","13.80",""
"2018","Q4","$161.7","7.18","$51.0 ","3.73","$0.3 ","0.01","$39.2","2.84","$29.6 ","1.42","$281.9","13.50",""
"2019","Q1","$157.9","6.94","$49.9 ","3.63","$0.3 ","0.01","$39.8","2.84","$29.2 ","1.39","$277.1","13.10",""
"2019","Q2","$153.7","6.67","$48.6 ","3.52","$0.3 ","0.01","$39.8","2.84","$29.3 ","1.37","$271.6","12.80",""
"2019","Q3","$149.7","6.42","$46.9 ","3.38","$0.3 ","0.01","$40.3","2.81","$28.9 ","1.34","$266.0","12.40",""
"2019","Q4","$145.9","6.19","$45.7 ","3.28","$0.3 ","0.02","$41.7","2.83","$28.0 ","1.29","$261.6","12.10",""
"2020","Q1","$142.4","5.98","$44.7 ","3.17","$0.3 ","0.01","$42.9","2.85","$26.9 ","1.22","$257.2","11.83",""
"2020","Q2","$138.8","5.76","$43.6 ","3.06","$0.3 ","0.02","$43.4","2.86","$26.4 ","1.17","$252.5","11.52",""
"2020","Q3","$135.9","5.54","$43.3 ","3.02","$0.3 ","0.02","$43.1","2.81","$26.2 ","1.16","$248.8","11.23",""
"2020","Q4","$133.7","5.35","$43.1 ","2.99","$0.3 ","0.02","$42.7","2.78","$26.1 ","1.14","$245.9","11.01",""
"2021","Q1","$131.0","5.18","$43.0 ","2.96","$0.3 ","0.02","$42.2","2.75","$26.0 ","1.12","242.20","10.79",""
"2021","Q2","$128.5","5.02","$42.6 ","2.93","$0.3 ","0.01","$42.1","2.73","$25.5 ","1.10","$239.0","10.58",""
"2021","Q3","$125.0","4.83","$42.1","2.89","$0.2","0.01","$41.7","2.71","$25.2","1.07","$234.1","10.35",""
"2021","Q4","$121.6","4.65","$41.7","2.86","$0.2","0.01","$41.4","2.69","$25.6","1.08","$230.4","10.16",""
"2022","Q1","$117.7","4.47","$41.4","2.82","$0.4","0.03","$40.9","2.66","$25.3","1.08","$225.8","9.95",""
"2022","Q2","$113.6","4.27","$40.2","2.74","$0.3","0.02","$39.4","2.55","$25.3","1.08","$218.9","9.61",""
"2022","Q3","$108.8","4.06","$40.1","2.74","$0.3","0.02","$39.0","2.52","$25.5","1.09","$213.7","9.38",""
"2022","Q4","$103.2","3.84","$39.4","2.69","$0.3","0.02","$38.7","2.50","$26.3","1.11","$207.9","9.15",""
"2023","Q1","$94.8","3.55","$38.1","2.62","$0.3","0.02","$38.6","2.49","$26.8","1.14","$198.6","8.84",""
"2023","Q2","$90.4","3.37","$40.5","2.65","$0.3","0.02","$38.6","2.47","$25.0","1.12","$194.8","8.68",""
"2023","Q3","$87.4","3.23","$41.5","2.66","$0.3","0.02","$38.3","2.44","$23.5","1.08","$191.1","8.52",""
"2023","Q4","$84.6","3.09","$43.0","2.69","$0.3","0.02","$37.0","2.38","$20.6","0.92","$185.4","8.26",""
"2024","Q1","$81.1","2.94","$44.7","2.70","$0.3","0.02","$36.2","2.31","$19.2","0.86","$181.4","8.04",""
"2024","Q2","$75.6","2.73","$45.0","2.67","$0.3","0.02","$35.9","2.25","$19.4","0.85","$176.3","7.76",""
"2024","Q3","$69.5","2.52","$43.7","2.58","$0.3","0.02","$35.7","2.21","$20.0","0.86","$169.1","7.49",""
