"Skills for Life Participation and Achievement by Level, Age and Provider Type (2010/11)","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","Participation","","","","","","","Achievement","","","","","","",""
"All Ages","General FE College incl Tertiary","Sixth form college","Special colleges","Other Public Funded","Schools","Private Sector Public Funded","Total","General FE College incl Tertiary","Sixth form college","Special colleges","Other Public Funded","Schools","Private Sector Public Funded","Total",""
"of which EnglishR","485,340","17,530","18,620","95,670","560","411,040","1,028,700","275,230","12,620","10,390","69,320","360","172,920","540,800",""
"of which mathsR","437,520","21,530","16,620","77,150","720","440,750","994,300","257,850","15,540","10,090","53,780","400","193,810","531,500",""
"of which ESOL (English for Speakers of Other Languages)R","112,920","2,720","6,260","41,570","90","12,400","176,000","84,570","2,000","5,260","32,740","70","7,150","131,800",""
"Total Learners","733,930","32,410","31,070","170,880","1,060","501,990","1,471,300","486,420","24,990","21,130","130,890","690","246,080","910,200",""
"Notes","","","","","","","","","","","","","","",""
"1) For further information on these tables please see the accompanying notes page.","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
