"TABLE SNR02. Highest incidence rates1 of nonfatal occupational injury and illness cases with days away from work, restricted work activity, or job transfer, 2023                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","",""
"Industry2                                                                                                              ","NAICS Code3                                                                                                            ","Incidence Rate"
"Performing arts companies (Private Industry)","7111","009.0"
"Couriers and express delivery services (Private Industry)","4921","008.0"
"Nursing and residential care facilities (State Government)","623","007.5"
"Scheduled passenger air transportation (Private Industry)","481111","006.2"
"Spectator sports (Private Industry)","71121","006.2"
"Skiing facilities (Private Industry)","71392","006.2"
"Local messengers and local delivery (Private Industry)","4922","005.7"
"Hog and pig farming (Private Industry)4","1122","005.3"
"Nursing care facilities (skilled nursing facilities) (Private Industry)","6231","005.2"
"Siding contractors (Private Industry)","23817","005.0"
"Used household and office goods moving (Private Industry)","48421","005.0"
"Urban transit systems (Private Industry)","4851","004.9"
"Continuing care retirement communities and assisted living facilities for the elderly (Private Industry)","6233","004.6"
"Fluid milk manufacturing (Private Industry)","311511","004.5"
"Truss manufacturing (Private Industry)","321214","004.5"
"Automobile manufacturing (Private Industry)","336111","004.5"
"Ambulance services (Private Industry)","62191","004.4"
"Correctional institutions (State Government)","92214","004.4"
"Farm product warehousing and storage (Private Industry)","49313","004.3"
"Cut stone and stone product manufacturing (Private Industry)","327991","004.2"
"General warehousing and storage (Private Industry)","49311","004.2"
"Hospitals (State Government)","622","004.2"
"Farm management services (Private Industry)","115116","004.1"
"Light truck and utility vehicle manufacturing (Private Industry)","336112","004.1"
"Seafood product preparation and packaging (Private Industry)","3117","004.0"
"Wood preservation (Private Industry)","321114","004.0"
"Aluminum foundries (except die-casting) (Private Industry)","331524","004.0"
"","",""
"All Ownerships Combined","","001.5"
"","",""
"1The incidence rates represent the number of injuries and illnesses per 100 full-time equivalent workers and were calculated as: (N/EH) x 200,000, where ","",""
"     N = number of injuries and illnesses","",""
"     EH = total hours worked by all employees during the calendar year","",""
"     200,000 = base for 100 full-time equivalent workers (working 40 hours per week, 50 weeks per year)","",""
"2High rate industries were those having the highest incidence rate of injury and illness cases with days away from work, restricted work activity, or job transfer and at least 500 total recordable cases at the most detailed level of publication, based on the North American Industry Classification System -- United States, 2017.","",""
"3North American Industry Classification System -- United States, 2017","",""
"4Excludes farms with fewer than 11 employees.","",""
"SOURCE: U.S. Bureau of Labor Statistics, U.S. Department of Labor","",""
