"","","Uninf","Infected","","","","","",""
"","","no DC Trnf","no DC Trnf","DC + PBS","DC + SAG","DC (Ctrl siRNA) + SAG","DC (Runx1+3 siRNA) + SAG ","DC (Runx1+3 siRNA + Vec) + SAG ","DC (Runx1+3 siRNA + CD40) + SAG "
"","","Set1","Set2","Set3","Set4","Set5","Set6","Set7","Set8"
"Expt-1","Replicate1","0.066","0.43","0.39","1.29","1.37","0.56","0.77","1.21"
"","Replicate2","0.02","0.35","0.26","1.14","0.8","0.29","0.33","1.1"
"","Replicate3","0.76","0.46","0.34","0.76","1.41","0.54","0.2","1.44"
"Expt-2","Replicate1","0.68","0.7","0.62","1.39","0.82","0.47","0.85","1.01"
"","Replicate2","0.18","0.2","0.28","0.43","1.25","0.22","0.15","0.79"
"","Replicate3","0.12","0.17","0.21","0.74","0.55","0.2","0.2","1.17"
"","","","","","","","","",""
"","Mean","0.30433333333333","0.385","0.35","0.95833333333333","1.0333333333333","0.38","0.41666666666667","1.12"
"","SD","0.32736625767887","0.19419062799219","0.14642404174178","0.37295665521166","0.35657631254286","0.16260381299342","0.3114910378593","0.21651789764359"
