"Price Indexes* (2012=100)","","","","","","","","","","","","","","","","","",""
"Blended Account","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015*","2016*","2017*"
"Health","  61.89 ","  66.61 ","  70.85 ","  74.37 ","  78.01 ","  79.96 ","  83.01 ","  86.14 ","  90.30 ","  92.88 ","  95.86 ","  98.34 ","  100.00 ","  102.14 ","  105.83 ","  110.49 ","  111.48 ","  114.06 "
"Health services","  60.69 ","  65.52 ","  69.91 ","  73.52 ","  77.28 ","  79.28 ","  82.37 ","  85.58 ","  89.89 ","  92.52 ","  95.68 ","  98.30 ","  100.00 ","  102.24 ","  106.15 ","  111.12 ","  112.19 ","  114.88 "
"Medical services by disease","  60.12 ","  65.16 ","  69.81 ","  73.59 ","  77.41 ","  79.19 ","  82.28 ","  85.35 ","  89.74 ","  92.32 ","  95.63 ","  98.30 ","  100.00 ","  102.30 ","  106.55 ","  111.89 ","  112.70 ","  115.44 "
"Infectious and parasitic diseases","  48.05 ","  53.60 ","  59.60 ","  61.43 ","  66.96 ","  71.27 ","  77.95 ","  79.82 ","  85.50 ","  88.57 ","  93.24 ","  97.27 ","  100.00 ","  101.14 ","  110.90 ","  131.33 ","  132.62 ","  132.53 "
"Neoplasms","  57.04 ","  63.08 ","  67.34 ","  71.64 ","  77.11 ","  79.43 ","  83.14 ","  85.39 ","  89.86 ","  92.96 ","  95.04 ","  97.45 ","  100.00 ","  100.81 ","  107.54 ","  111.96 ","  102.42 ","  107.08 "
"Endocrine; nutritional; and metabolic diseases and immunity disorders","  65.01 ","  72.58 ","  80.21 ","  80.94 ","  85.10 ","  85.47 ","  87.96 ","  92.00 ","  95.35 ","  95.68 ","  95.36 ","  97.55 ","  100.00 ","  100.80 ","  106.86 ","  113.38 ","  111.47 ","  115.88 "
"Mental illness","  73.46 ","  75.12 ","  78.17 ","  81.18 ","  82.99 ","  85.42 ","  88.24 ","  93.47 ","  97.97 ","  99.30 ","  99.45 ","  99.88 ","  100.00 ","  100.06 ","  109.28 ","  112.64 ","  100.95 ","  110.99 "
"Diseases of the nervous system and sense organs","  55.33 ","  60.97 ","  65.94 ","  68.78 ","  72.26 ","  74.21 ","  77.18 ","  81.52 ","  86.16 ","  88.18 ","  92.94 ","  97.86 ","  100.00 ","  101.99 ","  108.39 ","  115.24 ","  122.00 ","  125.04 "
"Diseases of the circulatory system","  69.34 ","  75.14 ","  79.51 ","  82.12 ","  86.72 ","  87.73 ","  88.92 ","  90.69 ","  95.29 ","  98.83 ","  101.94 ","  101.58 ","  100.00 ","  101.60 ","  106.58 ","  112.83 ","  114.40 ","  115.35 "
"Diseases of the respiratory system","  63.30 ","  66.41 ","  70.70 ","  73.91 ","  77.89 ","  79.74 ","  83.60 ","  87.25 ","  91.65 ","  90.79 ","  94.60 ","  97.88 ","  100.00 ","  102.83 ","  104.68 ","  108.24 ","  109.53 ","  112.66 "
"Diseases of the digestive system","  57.72 ","  62.50 ","  65.88 ","  69.84 ","  73.60 ","  76.10 ","  79.48 ","  80.01 ","  83.17 ","  88.46 ","  93.16 ","  95.93 ","  100.00 ","  107.27 ","  111.32 ","  111.61 ","  116.29 ","  118.45 "
"Diseases of the genitourinary system","  60.67 ","  66.82 ","  71.22 ","  77.77 ","  86.52 ","  88.96 ","  89.50 ","  90.22 ","  93.30 ","  94.27 ","  95.38 ","  97.30 ","  100.00 ","  103.11 ","  105.72 ","  108.85 ","  99.50 ","  101.46 "
"Complications of pregnancy; childbirth; and the puerperium","  61.73 ","  63.80 ","  65.11 ","  71.49 ","  71.29 ","  71.92 ","  77.71 ","  80.77 ","  84.89 ","  89.46 ","  96.07 ","  95.89 ","  100.00 ","  106.19 ","  102.98 ","  107.46 ","  113.85 ","  115.59 "
"Diseases of the skin and subcutaneous organs","  57.44 ","  62.84 ","  69.15 ","  73.14 ","  74.40 ","  75.73 ","  78.36 ","  81.57 ","  90.10 ","  93.88 ","  93.83 ","  95.74 ","  100.00 ","  105.36 ","  111.14 ","  117.32 ","  124.69 ","  125.38 "
"Diseases of the musculoskeletal system and connective tissue","  57.88 ","  63.98 ","  68.51 ","  73.04 ","  76.94 ","  78.85 ","  82.03 ","  83.92 ","  88.00 ","  92.11 ","  98.06 ","  99.55 ","  100.00 ","  104.44 ","  107.89 ","  113.02 ","  120.69 ","  122.10 "
"Injury and poisoning","  57.33 ","  63.74 ","  67.32 ","  72.59 ","  73.95 ","  76.71 ","  82.16 ","  84.89 ","  87.84 ","  91.59 ","  96.87 ","  100.59 ","  100.00 ","  102.73 ","  106.45 ","  109.56 ","  117.21 ","  119.73 "
"Symptoms; signs; and ill-defined conditions","  56.97 ","  60.20 ","  65.12 ","  69.09 ","  73.47 ","  74.34 ","  77.65 ","  82.77 ","  87.37 ","  90.81 ","  94.59 ","  97.31 ","  100.00 ","  103.23 ","  106.67 ","  111.84 ","  110.97 ","  113.66 "
"Other","  49.35 ","  53.31 ","  60.82 ","  66.31 ","  65.17 ","  67.11 ","  69.11 ","  75.74 ","  82.73 ","  83.00 ","  84.05 ","  96.16 ","  100.00 ","  92.89 ","  89.83 ","  93.17 ","  97.79 ","  100.04 "
"Diseases of the blood and blood-forming organs","  33.96 ","  38.26 ","  42.37 ","  49.51 ","  51.69 ","  53.35 ","  54.92 ","  55.34 ","  55.99 ","  57.87 ","  64.72 ","  94.35 ","  100.00 ","  76.03 ","  69.75 ","  70.63 ","  69.52 ","  72.29 "
"Congenital anomalies","  68.19 ","  57.65 ","  66.26 ","  77.92 ","  72.91 ","  69.10 ","  72.56 ","  92.13 ","  126.84 ","  119.19 ","  104.21 ","  101.84 ","  100.00 ","  105.55 ","  106.79 ","  111.00 ","  118.37 ","  122.24 "
"Certain conditions originating in the perinatal period","  56.15 ","  64.77 ","  83.36 ","  82.09 ","  55.32 ","  61.43 ","  59.25 ","  78.24 ","  102.89 ","  93.02 ","  77.96 ","  84.79 ","  100.00 ","  110.22 ","  93.62 ","  88.00 ","  118.48 ","  117.79 "
"Residual codes; unclassified; all E codes","  54.39 ","  60.52 ","  67.84 ","  70.83 ","  75.37 ","  77.59 ","  80.78 ","  86.87 ","  90.65 ","  92.81 ","  95.32 ","  98.57 ","  100.00 ","  98.51 ","  99.95 ","  106.91 ","  110.42 ","  112.60 "
"Medical services by provider","  64.36 ","  67.79 ","  70.56 ","  73.14 ","  76.44 ","  79.88 ","  83.01 ","  87.07 ","  90.91 ","  93.83 ","  95.99 ","  98.27 ","  100.00 ","  101.85 ","  103.41 ","  105.74 ","  108.62 ","  110.99 "
"Dental services","  61.94 ","  64.45 ","  67.33 ","  70.08 ","  73.54 ","  77.62 ","  81.66 ","  85.86 ","  90.28 ","  92.97 ","  95.53 ","  97.75 ","  100.00 ","  103.44 ","  105.66 ","  108.34 ","  111.41 ","  113.22 "
"Nursing homes","  66.17 ","  70.33 ","  73.00 ","  75.44 ","  78.60 ","  81.54 ","  83.96 ","  87.91 ","  91.34 ","  94.42 ","  96.31 ","  98.62 ","  100.00 ","  100.81 ","  101.94 ","  104.05 ","  106.81 ","  109.53 "
"Proprietary and government nursing homes","  66.17 ","  70.33 ","  73.00 ","  75.44 ","  78.60 ","  81.54 ","  83.95 ","  87.91 ","  91.34 ","  94.42 ","  96.31 ","  98.62 ","  100.00 ","  100.81 ","  101.94 ","  104.05 ","  106.81 ","  109.54 "
"Nonprofit nursing homes services to households","  66.18 ","  70.34 ","  73.00 ","  75.44 ","  78.61 ","  81.54 ","  83.96 ","  87.90 ","  91.33 ","  94.43 ","  96.31 ","  98.62 ","  100.00 ","  100.81 ","  101.94 ","  104.04 ","  106.81 ","  109.53 "
"Medical products, appliances and equipment","  90.32 ","  91.71 ","  91.79 ","  92.47 ","  93.26 ","  93.83 ","  95.85 ","  97.36 ","  98.34 ","  99.90 ","  99.40 ","  99.11 ","  100.00 ","  100.25 ","  100.18 ","  99.63 ","  99.36 ","  99.88 "
"Pharmaceutical and other medical products","  92.78 ","  93.72 ","  93.64 ","  94.83 ","  94.76 ","  94.22 ","  96.12 ","  97.64 ","  98.75 ","  100.90 ","  100.44 ","  99.23 ","  100.00 ","  100.04 ","  99.24 ","  98.47 ","  97.38 ","  98.14 "
"Pharmaceutical products (without prescription drugs)","  92.55 ","  93.57 ","  93.51 ","  94.77 ","  94.63 ","  94.00 ","  95.93 ","  97.51 ","  98.70 ","  100.92 ","  100.60 ","  99.27 ","  100.00 ","  100.01 ","  99.19 ","  98.42 ","  97.27 ","  98.07 "
"Nonprescription drugs","  92.55 ","  93.57 ","  93.51 ","  94.77 ","  94.63 ","  94.00 ","  95.93 ","  97.51 ","  98.70 ","  100.92 ","  100.60 ","  99.27 ","  100.00 ","  100.01 ","  99.19 ","  98.42 ","  97.27 ","  98.07 "
"Other medical products","  95.25 ","  95.28 ","  94.92 ","  95.27 ","  96.12 ","  96.58 ","  97.98 ","  98.97 ","  99.26 ","  100.61 ","  98.49 ","  98.76 ","  100.00 ","  100.42 ","  99.89 ","  99.15 ","  98.69 ","  99.00 "
"Therapeutic appliances and equipment","  88.23 ","  89.95 ","  90.16 ","  90.44 ","  91.90 ","  93.37 ","  95.49 ","  96.98 ","  97.86 ","  98.88 ","  98.34 ","  98.97 ","  100.00 ","  100.48 ","  101.24 ","  100.92 ","  101.62 ","  101.86 "
"Corrective eyeglasses and contact lenses","  83.23 ","  85.90 ","  86.46 ","  86.71 ","  88.57 ","  90.80 ","  93.49 ","  95.43 ","  96.80 ","  97.57 ","  98.23 ","  99.12 ","  100.00 ","  100.52 ","  102.27 ","  102.29 ","  103.96 ","  104.14 "
"Therapeutic medical equipment","  95.25 ","  95.29 ","  94.92 ","  95.27 ","  96.12 ","  96.59 ","  97.99 ","  98.97 ","  99.26 ","  100.61 ","  98.50 ","  98.76 ","  100.00 ","  100.42 ","  99.90 ","  99.16 ","  98.70 ","  99.01 "
"","","","","","","","","","","","","","","","","","",""
"NOTE: Disease-based price indexes measure the total amount paid (or total expenditures) to treat a specific condition, including changes in the underlying services used for treatment which are sensitive to changes in utilization or the mix of services for a treatment of a condition.  This is unlike traditional price index measures where a change in price relates to changes in the average price of a fixed basket of goods and services.  In the academic literature, the disease-based price is often referred to as a medical care expenditure (MCE) index (e.g., Berndt et al (2000) and Aizcorbe and Nestoriak (2010)) or the cost per case (e.g., Thorpe (2004) and Roehrig and Rousseau (2009)).  For additional details see Dunn, Rittmueller and Whitmire (2015).","","","","","","","","","","","","","","","","","",""
