"HOUSEHOLD DATA
ANNUAL AVERAGES
11. Employed persons by detailed occupation, sex, race, and Hispanic or Latino ethnicity","","","","","",""
"[Numbers in thousands]","","","","","",""
"","","","","","",""
"Occupation","2023","","","","",""
"","Total
employed","Percent of total employed","","","",""
"","","Women","White","Black or
African
American","Asian","Hispanic
or Latino"
"","","","","","",""
"Total, 16 years and over","161037","46.9","76.5","12.8","6.9","18.8"
"","","","","","",""
"Management, professional, and related occupations","70275","51.8","76.9","10.6","9.3","11.2"
"Management, business, and financial operations occupations","30544","45.7","79.7","9.8","7.5","11.8"
"Management occupations","20906","41.9","80.9","9.2","7","12.1"
"Chief executives","1780","30.6","85.8","5.2","7.3","6.3"
"General and operations managers","1359","37.1","82.8","8.4","5.8","13"
"Legislators","12","–","–","–","–","–"
"Advertising and promotions managers","49","–","–","–","–","–"
"Marketing managers","567","62.4","84.1","7.1","7.1","10.6"
"Sales managers","569","33.1","89.7","4.8","2.9","11.7"
"Public relations and fundraising managers","110","66.4","82.1","12.2","3","9.2"
"Administrative services managers","78","74","71.9","11.9","7.2","15.2"
"Facilities managers","149","23.4","86","11.1","1.5","9.4"
"Computer and information systems managers","793","27.7","72.3","7.9","17.7","9.6"
"Financial managers","1411","56.2","77.7","10.1","9.9","11.9"
"Compensation and benefits managers","16","–","–","–","–","–"
"Human resources managers","335","76.5","76.7","14.7","5.4","12.8"
"Training and development managers","62","48","83.8","12.3","1.4","4.2"
"Industrial production managers","279","19.1","83.5","6.3","8.4","14.3"
"Purchasing managers","241","47.7","74.5","16.1","8","7.3"
"Transportation, storage, and distribution managers","382","21.4","78.4","13.1","5.1","13.5"
"Farmers, ranchers, and other agricultural managers","876","27.4","96.2","1.4","0.8","6.4"
"Construction managers","1136","10.6","89.8","4.8","2","16.1"
"Education and childcare administrators","1108","68.6","75.4","15.5","5.7","12"
"Architectural and engineering managers","206","12.8","73.2","5.4","18.4","9.5"
"Food service managers","1198","46.7","73.1","11.5","12.2","19.3"
"Funeral home managers","10","–","–","–","–","–"
"Entertainment and recreation managers","81","50.1","82.4","7.1","4.5","24.2"
"Lodging managers","141","61.6","72.3","10.2","13.3","9.8"
"Medical and health services managers","838","71.8","75.7","14.2","5.7","10.7"
"Natural sciences managers","39","–","–","–","–","–"
"Postmasters and mail superintendents","19","–","–","–","–","–"
"Property, real estate, and community association managers","880","51.7","80.8","10.4","5.5","12.6"
"Social and community service managers","486","71.7","73.6","17.5","3.5","11.2"
"Emergency management directors","12","–","–","–","–","–"
"Personal service managers, all other","16","–","–","–","–","–"
"Managers, all other","5666","37.5","80.7","9.2","7.1","13.1"
"Business and financial operations occupations","9638","54","77.1","11","8.6","11.2"
"Agents and business managers of artists, performers, and athletes","50","43.3","77.4","10.9","7.2","18.5"
"Buyers and purchasing agents, farm products","13","–","–","–","–","–"
"Wholesale and retail buyers, except farm products","225","57.6","77.6","8","6.8","23.3"
"Purchasing agents, except wholesale, retail, and farm products","319","51.9","78.2","11.7","6.4","9.1"
"Claims adjusters, appraisers, examiners, and investigators","362","55.2","77.3","18.1","2.3","10.4"
"Compliance officers","333","51.8","78.9","12.5","4.2","14.5"
"Cost estimators","148","17.7","96.2","0.3","1.9","7.6"
"Human resources workers","980","76.5","74.9","14.7","6","16.7"
"Compensation, benefits, and job analysis specialists","65","78.2","78.6","7.7","10.5","19"
"Training and development specialists","138","56.7","80.7","14.1","3.5","12.5"
"Logisticians","197","38.7","67.5","22.2","6.6","16.1"
"Project management specialists","935","47.3","77","9.6","10.1","7.8"
"Management analysts","1060","46.6","78.5","6.9","11.7","6.9"
"Meeting, convention, and event planners","169","69.2","77.7","11.8","7.1","17.5"
"Fundraisers","102","74.9","88.9","4.8","3.1","8.4"
"Market research analysts and marketing specialists","511","61.7","78.9","7.3","10.3","10.8"
"Business operations specialists, all other","531","57.7","73.3","12.7","7.7","14.1"
"Accountants and auditors","1624","57","73.4","11.9","12.7","8.5"
"Property appraisers and assessors","97","34.2","94.7","0.6","4.1","11.9"
"Budget analysts","40","–","–","–","–","–"
"Credit analysts","44","–","–","–","–","–"
"Financial and investment analysts","395","43.9","70.6","13.8","11.7","8.3"
