"1978 Season","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"1978 Toronto Blue Jays Batting Statistics","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"Number","Name","Opponent","G","AB","R","H","RBI","Avg.","2B","3B","HR","","","","",""
"22","Rick Bosetti","Angels","7","29","3","7","2","0.241","0","1","0","","","","",""
"","","Athletics","9","36","7","8","4","0.222","1","1","0","","","","",""
"","","Brewers","8","33","6","7","3","0.212","0","0","1","","","","",""
"","","Indians","6","25","3","5","0","0.200","0","0","0","","","","",""
"","","Mariners","8","36","6","11","5","0.306","2","0","1","","","","",""
"","","Orioles","9","31","2","4","0","0.129","1","0","0","","","","",""
"","","Rangers","7","30","3","13","2","0.433","3","0","1","","","","",""
"","","Red Sox","8","39","0","12","6","0.308","0","0","0","","","","",""
"","","Royals","8","28","3","7","2","0.250","2","0","0","","","","",""
"","","Tigers","12","53","9","18","3","0.340","3","0","1","","","","",""
"","","Twins","8","37","2","9","2","0.243","3","0","0","","","","",""
"","","White Sox","9","36","5","7","4","0.194","4","0","0","","","","",""
"","","Yankees","9","38","5","13","5","0.342","2","2","1","","","","",""
"","","Totals","0","451","54","121","38","0.268","21","4","5","","","","",""
"","","","","","","","","","","","","","","","",""
"Number","Name","Opponent","G","AB","R","H","RBI","Avg.","2B","3B","HR","","","","",""
"20","Al Woods","Angels","3","9","1","2","1","0.222","0","1","0","","","","",""
"","","Athletics","3","10","0","2","2","0.200","0","0","0","","","","",""
"","","Brewers","6","25","1","4","1","0.160","1","0","0","","","","",""
"","","Indians","5","21","1","6","1","0.286","1","0","0","","","","",""
"","","Mariners","2","8","0","3","0","0.375","0","0","0","","","","",""
"","","Orioles","8","26","3","3","2","0.115","1","0","1","","","","",""
"","","Rangers","4","12","1","4","2","0.333","2","0","0","","","","",""
"","","Red Sox","1","3","1","1","0","0.333","1","0","0","","","","",""
"","","Royals","6","24","4","10","1","0.417","2","1","0","","","","",""
"","","Tigers","7","27","1","3","3","0.111","1","0","0","","","","",""
"","","Twins","8","30","5","11","7","0.367","3","1","1","","","","",""
"","","White Sox","2","4","0","0","1","0.000","0","0","0","","","","",""
"","","Yankees","8","33","3","9","2","0.273","2","1","0","","","","",""
"","","Totals","0","232","21","58","23","0.250","14","4","2","","","","",""
