"Table 3: Number of buildings and final customers","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","Residential","Commercial","Retail","Light Industrial","Industrial","Education","Public","Other","Total"
"","","","","","","","","",""
"","","","","","","","","",""
"Number of Buildings","","","","","","","","",""
"England","54,247","4,973","454","174","13","6,538","643","1,071","68,113"
"Scotland","6,239","403","31","8","24","65","72","80","6,922"
"Wales","278","138","4","0","4","20","39","11","494"
"Northern Ireland","68","36","3","0","0","4","0","5","116"
"United Kingdom","60,832","5,550","492","182","41","6,627","754","1,167","75,645"
"","","","","","","","","",""
"Number of building level meters installed","","","","","","","","",""
"England","9,233","2,379","166","117","14","168","183","465","12,725"
"Scotland","2,226","150","22","8","12","33","64","34","2,549"
"Wales","98","…","0","0","0","…","11","…","161"
"Northern Ireland","0","…","0","0","0","…","0","…","5"
"United Kingdom","11,557","2,561","188","125","26","224","258","501","15,440"
"","","","","","","","","",""
"Number of Final Customers","","","","","","","","",""
"England","406,910","25,713","2,879","188","66","1,129","498","3,893","441,276"
"Scotland","23,531","1,749","161","26","…","…","89","120","25,712"
"Wales","7,600","510","107","0","…","…","15","44","8,286"
"Northern Ireland","1,508","82","79","3","0","0","0","5","1,677"
"United Kingdom","439,549","28,054","3,226","217","77","1,164","602","4,062","476,951"
"","","","","","","","","",""
"Number of final customers with meters","","","","","","","","",""
"England","119,814","3,054","961","18","8","47","69","556","124,527"
"Scotland","9,492","179","24","8","4","…","38","…","9,792"
"Wales","283","49","109","0","0","…","8","…","454"
"Northern Ireland","127","82","14","0","0","0","0","0","223"
"United Kingdom","129,716","3,364","1,108","26","12","70","115","585","134,996"
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"… values have been supressed due to risk of disclosure","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
