"#: table_doi: 10.17182/hepdata.76505.v1/t31","","","","","","","","","","","","","","","","","","","","","","",""
"#: name: Table 31","","","","","","","","","","","","","","","","","","","","","","",""
"#: description: Normalised differential fiducial cross-section of the jet centrality for QCD+EW $Wjj$ production in the inclusive region with $m_{jj} > 1.0$ TeV.","","","","","","","","","","","","","","","","","","","","","","",""
"#: data_file: Table31.yaml","","","","","","","","","","","","","","","","","","","","","","",""
"#: keyword reactions: P P --> W J J","","","","","","","","","","","","","","","","","","","","","","",""
"#: keyword observables: DSIGMA/DCJ","","","","","","","","","","","","","","","","","","","","","","",""
"#: keyword cmenergies: 8000","","","","","","","","","","","","","","","","","","","","","","",""
"#: keyword phrases: Fiducial Cross Section | Cross Section | Proton-Proton Scattering | W Production | Wjj | VBF | Vector Boson Fusion | Weak Boson Fusion","","","","","","","","","","","","","","","","","","","","","","",""
"#: SQRT(S) [GEV]","","","8000","","","","","","","","","","","","","","","","","","","",""
"#: PROCESS","","","QCD+EW WJJ","","","","","","","","","","","","","","","","","","","",""
"#: FIDUCIAL REGION","","","INCLUSIVE (MJJ > 1.0 TEV)","","","","","","","","","","","","","","","","","","","",""
"#: CROSS-SECTION","","","NORMALISED","","","","","","","","","","","","","","","","","","","",""
"#: TYPE","","","Data","","","","","","","","","","","","","","","","","","","",""
"Jet centrality","Jet centrality LOW","Jet centrality HIGH","$1/\sigma_W^\text{fid.} \langle N_\text{jet}^\text{gap} \rangle \text{d}\sigma / \text{d}C_j$","stats +","stats -","PileupPtTerm +","PileupPtTerm -","PDF +","PDF -","NPVOffsetTerm +","NPVOffsetTerm -","Modelling +","Modelling -","JES +","JES -","JER +","JER -","FlavRes +","FlavRes -","FlavComp +","FlavComp -","EtaModel +","EtaModel -"
"0.075","0","0.15","1.789","0.066051","-0.066051","0.0055804","-0.0055804","0.0028052","-0.0028052","0.0114","-0.0114","0.0031792","-0.0038002","0.015873","-0.015873","-0.011233","0.011233","0.013037","-0.013037","0.012773","-0.012773","0.0075828","-0.0075828"
"0.2","0.15","0.25","1.5826","0.071643","-0.071643","-0.0062861","0.0107","0.00060446","-0.00062455","-0.0043873","0.0011482","0.013811","-0.016509","-0.0096706","0.0090504","0.0024187","-0.0024187","0.0031545","-0.013089","-0.0066672","0.0022262","-0.010241","0.0075353"
"0.3","0.25","0.35","1.5009","0.069859","-0.069859","0.0061744","-0.0061744","0.00018407","-0.00018407","-0.0003568","0.0060078","0.011173","-0.013355","-0.0010857","0.0061549","0.00016422","-0.00016422","0.0025584","-0.0016847","0.0052438","-0.0052438","-0.0051127","0.0075149"
"0.45","0.35","0.55","1.1063","0.042502","-0.042502","0.015888","-0.015888","0.0017215","-0.0017215","0.014307","-0.014307","-0.011169","0.013351","0.00094728","-0.019018","-0.010358","0.010358","-0.01755","0.0027646","0.0024623","-0.021768","0.0011358","-0.016828"
"0.6","0.55","0.65","0.77751","0.044544","-0.044544","-0.00037531","0.0026004","0.00043573","-0.00043573","0.00032222","-0.00053885","-0.010028","0.011987","-0.00061724","0.0036733","0.0052554","-0.0052554","0.0022544","-0.0022544","-0.0043345","0.0065225","0.0059764","-0.0059764"
"0.75","0.65","0.85","0.36503","0.026701","-0.026701","-0.0007842","0.0031471","0.00035706","-0.00035706","0.0024492","-0.0024492","0.00071711","-0.00085718","-0.00020217","0.00085462","0.010065","-0.010065","0.002935","-0.002935","-0.0022715","0.0042409","-9.65E-5","0.0022741"
"1.025","0.85","1.2","0.11144","0.0094708","-0.0094708","0.00020998","-0.00020998","0.00018258","-0.00017736","0.00038581","-0.00038581","0.00028838","-0.0003447","0.0014792","-0.0014281","0.0013516","-0.0013516","-3.62E-5","0.00056103","-0.00025811","0.0011325","0.00020909","-4.58E-5"
"1.85","1.2","2.5","0.0094334","0.0011589","-0.0011589","-3.90E-5","2.54E-5","4.29E-5","-3.90E-5","1.91E-5","-1.91E-5","1.30E-5","-1.56E-5","7.04E-5","-0.00010475","0.00037434","-0.00037434","0.00014098","-2.71E-5","-0.00013531","0.00020251","3.85E-5","-3.85E-5"
