"","","",""
"","","",""
"","","",""
"","","",""
"Total Cases","","",""
"Highest","","Least",""
"States","Cases","States","Cases"
"Maharashtra","  6,623,344 ","Andaman Nicobar","7670"
"Kerala","  5,055,224 ","Lakshadweep","10365"
"Karnataka","  2,991,614 ","Daman and Diu","10682"
"Tamil Nadu","  2,714,025 ","Ladakh","21148"
"Andhra Pradesh","  2,069,770 ","Nagaland","31978"
"","","",""
"Recovered","","",""
"Highest","","Least",""
"States","Recovered %","States","Recovered %"
"Daman and Diu","99.96","Mizoram","95.25"
"Lakshadweep","99.51","Punjab","97.2"
"Arunachal Pradesh","99.42","Nagaland","97.33"
"Andhra Pradesh","99.15","Maharashtra","97.64"
"Rajasthan","99.05","Manipur","97.79"
"Death","","",""
"Highest","","Least",""
"States","Death %","States","Death %"
"Punjab","2.75","Daman and Diu","0.04"
"Nagaland","2.16","Mizoram","0.36"
"Uttarakhand","2.15","Lakshadweep","0.49"
"Maharashtra","2.12","Arunachal Pradesh","0.51"
"Goa","1.89","Telengana","0.59"
"","","",""
"Active","","",""
"Highest","","Least",""
"States","Active %","States","Active %"
"Mizoram","4.39","Lakshadweep","0"
"Kerala","1.37","Daman and Diu","0"
"Ladakh","0.73","Bihar","0"
"Manipur","0.64","MP","0.01"
"Telengana","0.56","Rajasthan","0.01"
