"Product, country code and name 1/","","","2013","2014","2015","2016","2017","2018","Jan-Oct 18","Jan-Oct 19"
"Total","3370","Chile","1,080,522","1,332,377","1,097,282","1,291,504","1,561,897","1,773,373","1,473,085","1,551,191"
"","1220","Canada","472,752","354,786","504,343","664,029","652,299","657,847","564,690","518,085"
"","4039","Norway","201,523","295,726","330,471","403,092","546,134","632,505","523,801","527,663"
"","4120","United Kingdom","109,640","133,491","96,126","88,919","131,838","128,515","109,910","126,648"
"","4091","Faroe Islands","120,283","127,219","84,249","126,763","113,540","106,627","85,604","110,945"
"","4280","Germany, Fed. Republic","","20,894","39,889","59,689","73,984","67,079","59,497","36,551"
"","5700","China (Mainland)","58,016","54,409","5,447","1,096","4,307","4,837","3,936","6,450"
"","","Other countries","32,701","38,244","20,543","26,948","47,091","54,612","37,702","105,811"
"","","Total
 ","2,075,437","2,357,146","2,178,350","2,662,038","3,131,091","3,425,395","2,858,224","2,983,343"
"Fresh","1220","Canada","415,812","320,039","452,327","577,438","561,194","558,745","477,023","447,121"
"","4039","Norway","34,997","42,651","67,912","78,222","143,503","190,526","160,010","148,902"
"","4120","United Kingdom","70,333","83,063","56,505","56,569","108,132","108,327","92,136","110,231"
"","4091","Faroe Islands","77,265","80,632","58,213","90,272","82,749","81,671","64,876","91,218"
"","3370","Chile","11,249","37,438","17,011","29,283","36,144","79,129","60,415","70,336"
"","4000","Iceland","","212","98","3,218","6,163","11,586","10,394","8,220"
"","6141","New Zealand","1,743","1,526","3,017","4,053","7,083","2,543","2,020","1,873"
"","","Other countries","3,819","3,342","3,748","3,550","3,908","3,396","2,983","2,635"
"","","Total
 ","615,218","568,902","658,831","842,604","948,877","1,035,924","869,857","880,536"
"Frozen","3370","Chile","7,755","15,491","9,450","18,405","17,952","15,582","14,064","13,476"
"","4039","Norway","6,550","5,237","6,189","5,481","3,565","3,379","2,930","1,768"
"","1220","Canada","368","176","196","33","238","679","679","53"
"","4120","United Kingdom","84","243","346","312","294","172","172","33"
"","4190","Ireland","","","","","224","376","181","613"
"","4099","Denmark","","311","113","","","","",""
"","4000","Iceland","","","","","156","","",""
"","","Other countries","29","0","63","0","63","9","9","9"
"","","Total
 ","14,785","21,458","16,356","24,231","22,492","20,197","18,036","15,952"
"Fillets 2/","3370","Chile","1,061,518","1,279,447","1,070,822","1,243,816","1,507,801","1,678,662","1,398,605","1,467,379"
"","4039","Norway","159,976","247,838","256,371","319,389","399,065","438,600","360,861","376,993"
"","1220","Canada","56,572","34,571","51,820","86,558","90,867","98,423","86,988","70,911"
"","4280","Germany, Fed. Republic","","19,719","38,324","58,956","73,732","66,602","59,111","36,359"
"","4091","Faroe Islands","43,019","46,587","26,036","36,491","30,782","24,955","20,728","19,726"
"","4120","United Kingdom","39,223","50,185","39,275","32,037","23,412","20,016","17,601","16,384"
"","5700","China (Mainland)","58,016","54,409","5,385","1,096","4,307","4,837","3,936","6,450"
"","","Other countries","27,110","34,029","15,131","16,860","29,755","37,178","22,500","92,652"
"","","Total
 ","1,445,434","1,766,787","1,503,163","1,795,203","2,159,721","2,369,274","1,970,331","2,086,855"
