"Product, country code and name 1/","","","2013","2014","2015","2016","2017","2018","Jan-Oct 18","Jan-Oct 19"
"Total","5330","India","1,006,752","1,381,822","1,272,838","1,496,553","2,171,751","2,213,961","1,822,293","1,925,400"
"","5600","Indonesia","909,765","1,318,701","1,100,224","1,107,771","1,185,911","1,215,475","1,008,481","908,674"
"","5490","Thailand","904,873","821,171","750,810","825,822","811,438","556,757","432,562","380,658"
"","5520","Vietnam","727,998","1,003,873","657,683","684,558","633,689","620,473","506,675","517,541"
"","3310","Ecuador","656,225","901,347","634,893","584,913","574,010","526,681","453,336","467,083"
"","2010","Mexico","263,973","303,179","320,381","294,796","337,137","282,618","178,342","209,384"
"","5700","China (Mainland)","238,626","271,481","189,315","233,160","334,361","339,669","272,248","91,622"
"","","Other countries","569,323","706,467","508,772","477,322","496,548","480,757","395,686","352,655"
"","","Total
 ","5,277,534","6,708,042","5,434,917","5,704,894","6,544,847","6,236,391","5,069,623","4,853,016"
"Frozen","5330","India","934,337","1,272,196","1,181,473","1,392,551","1,973,529","1,982,001","1,635,020","1,732,355"
"","5600","Indonesia","771,058","1,101,312","867,117","903,387","940,916","919,362","764,367","667,728"
"","3310","Ecuador","639,469","879,801","611,668","571,652","561,847","504,487","436,584","447,879"
"","5520","Vietnam","474,391","666,437","397,630","380,278","305,174","265,635","219,494","251,989"
"","5490","Thailand","463,988","367,104","308,487","437,008","401,766","241,196","182,099","171,998"
"","2010","Mexico","259,546","301,204","315,828","291,196","330,452","281,222","177,008","207,683"
"","3330","Peru","88,784","124,642","83,671","82,147","89,557","88,455","77,201","52,110"
"","","Other countries","492,164","580,218","385,069","400,247","461,113","445,446","369,359","261,357"
"","","Total
 ","4,123,736","5,292,912","4,150,941","4,458,465","5,064,353","4,727,804","3,861,132","3,793,098"
"Fresh","5700","China (Mainland)","4,294","4,031","3,836","3,700","5,804","3,658","2,750","1,291"
"","5490","Thailand","1,442","2,153","3,940","2,350","2,139","2,986","2,604","2,542"
"","3310","Ecuador","2,304","2,197","3,497","2,162","1,931","1,204","1,023","1,115"
"","5330","India","1,464","2,070","1,706","946","3,150","3,047","2,423","3,881"
"","1220","Canada","112","227","2,715","3,453","410","317","317","1,592"
"","5830","China (Taiwan)","1,126","1,331","1,456","972","576","1,210","1,011","226"
"","5820","Hong Kong","1,069","1,088","521","461","559","745","339","393"
"","","Other countries","3,821","3,378","4,337","4,506","2,614","2,280","1,961","2,240"
"","","Total
 ","15,632","16,475","22,007","18,551","17,182","15,445","12,428","13,281"
"Prepared 2/","5490","Thailand","439,442","451,914","438,383","386,464","407,534","312,575","247,859","206,117"
"","5520","Vietnam","253,588","337,087","259,858","303,900","328,410","354,509","286,938","265,401"
"","5600","Indonesia","138,703","217,357","232,216","203,623","244,996","296,110","244,111","240,906"
"","5700","China (Mainland)","172,164","203,566","155,334","170,168","224,866","242,754","186,984","88,032"
"","5330","India","70,952","107,556","89,659","103,056","195,073","228,913","184,850","189,163"
"","1220","Canada","15,556","18,337","18,561","20,183","17,239","15,939","13,094","13,770"
"","3310","Ecuador","14,452","19,350","19,729","11,100","10,232","20,989","15,730","18,089"
"","","Other countries","33,311","43,488","48,230","29,384","34,963","21,351","16,498","25,158"
"","","Total
 ","1,138,167","1,398,655","1,261,969","1,227,878","1,463,312","1,493,142","1,196,063","1,046,637"
