"Belgium","Product 1","","","Product 2","","","Product 3","","","Product 4","",""
"","Weight Mg","Value $","Mg/$","Weight Mg","Value $","Mg/$","Weight Mg","Value $","Mg/$","Weight Mg","Value $","Mg/$"
"1988","5","4","1.25","3","2","1.5","1","0","0","-1","-2","0.5"
"1989","7","8","0.875","9","10","0.9","11","12","0.91666666666667","0","14","0"
"1990","0","7","0","6","5","1.2","4","3","1.3333333333333","2","1","2"
"1991","6","4","1.5","2","0","0","-2","-4","0.5","-6","-8","0.75"
"1992","2","5","0.4","8","11","0.72727272727273","14","17","0.82352941176471","20","23","0.8695652173913"
"1993","4","9","0.44444444444444","14","19","0.73684210526316","24","29","0.82758620689655","34","39","0.87179487179487"
"1994","1","3","0.33333333333333","5","7","0.71428571428571","9","11","0.81818181818182","13","15","0.86666666666667"
"1995","2","2","1","2","2","1","0","2","0","2","2","1"
"1996","36","5","7.2","0","-57","0","-88","-119","0.73949579831933","-150","-181","0.82872928176796"
"1997","9","8","1.125","7","6","1.1666666666667","0","4","0","3","2","1.5"
"1998","8","21","0.38095238095238","34","47","0.72340425531915","60","73","0.82191780821918","86","99","0.86868686868687"
"1999","7","2","3.5","-3","-8","0.375","-13","-18","0.72222222222222","-23","-28","0.82142857142857"
"2000","0","3","0","0","-1","0","-3","-5","0.6","-7","-9","0.77777777777778"
"2001","1","6","0.16666666666667","11","16","0.6875","21","26","0.80769230769231","31","36","0.86111111111111"
"2002","21","8","2.625","-5","-18","0.27777777777778","-31","-44","0.70454545454545","-57","-70","0.81428571428571"
"2003","2","5","0.4","8","11","0.72727272727273","14","17","0.82352941176471","20","23","0.8695652173913"
"2004","5","1","5","-3","-7","0.42857142857143","-11","-15","0.73333333333333","-19","-23","0.82608695652174"
"2005","9","3","3","-3","-9","0.33333333333333","-15","-21","0.71428571428571","-27","-33","0.81818181818182"
"2006","3","2","1.5","1","0","#DIV/0!","-1","-2","0.5","-3","-4","0.75"
"2007","2","3","0.66666666666667","4","5","0.8","6","7","0.85714285714286","8","9","0.88888888888889"
"2008","5","6","0.83333333333333","7","8","0.875","9","10","0.9","11","12","0.91666666666667"
"2009","0","6","0","6","6","1","6","6","1","0","6","0"
"2010","6","85","0.070588235294118","164","243","0.67489711934156","322","401","0.80299251870324","480","559","0.85867620751342"
"2011","52","4","13","-44","-92","0.47826086956522","0","-188","0","-236","-284","0.83098591549296"
"2012","0","12","0","22","32","0.6875","42","52","0.80769230769231","62","72","0.86111111111111"
