"Table 3 Scientific procedures by species of animal, primary purpose and genetic status ","","","","",""
"","","","","",""
"","","","","",""
"Great Britain 2011","","","","","Number of procedures"
"Species of animal","Primary purpose of procedure","Genetic status","","","Total"
"","","Normal animal","Animal with harmful genetic defect","Genetically modified animal",""
"Mouse","Fundamental biological research","  338,273 ","  51,767 ","  474,142 ","  864,182 "
"","Applied studies ","  262,283 ","  39,139 ","  31,494 ","  332,916 "
"","Safety","  17,591 ","0","  185 ","  17,776 "
"","Other  uses","  3,555 ","0","  1,781 ","  5,336 "
"","Breeding of GM or HM","  207,155 ","  231,612 ","  1,020,786 ","  1,459,553 "
"","Total","  828,857 ","  322,518 ","  1,528,388 ","  2,679,763 "
"Rat","Fundamental biological research","  82,249 ","  1,874 ","  2,368 ","  86,491 "
"","Applied studies ","  136,637 ","  1,235 ","0","  137,872 "
"","Safety","  33,064 ","0","0","  33,064 "
"","Other  uses","  1,171 ","0","0","  1,171 "
"","Breeding of GM or HM","  2,506 ","  8,285 ","  2,146 ","  12,937 "
"","Total","  255,627 ","  11,394 ","  4,514 ","  271,535 "
"Guinea pig","Fundamental biological research","  1,336 ","-","-","  1,336 "
"","Applied studies ","  11,999 ","-","-","  11,999 "
"","Safety","  39 ","-","-","  39 "
"","Other  uses","  286 ","-","-","  286 "
"","Breeding of GM or HM","-","-","-","0"
"","Total","  13,660 ","0","0","  13,660 "
"Hamster","Fundamental biological research","  853 ","-","-","  853 "
"","Applied studies ","  3,229 ","-","-","  3,229 "
"","Safety","  61 ","-","-","  61 "
"","Other  uses","-","-","-","0"
"","Breeding of GM or HM","-","-","-","0"
"","Total","  4,143 ","0","0","  4,143 "
"Gerbil","Fundamental biological research","  560 ","-","-","  560 "
"","Applied studies ","-","-","-","0"
"","Safety","-","-","-","0"
"","Other  uses","-","-","-","0"
"","Breeding of GM or HM","-","-","-","0"
"","Total","  560 ","0","0","  560 "
"Other rodent","Fundamental biological research","  909 ","-","-","  909 "
"","Applied studies ","  69 ","-","-","  69 "
"","Safety","  566 ","-","-","  566 "
"","Other  uses","-","-","-","0"
"","Breeding of GM or HM","-","-","-","0"
"","Total","  1,544 ","0","0","  1,544 "
"Rabbit","Fundamental biological research","  1,467 ","0","0","  1,467 "
"","Applied studies ","  10,719 ","0","0","  10,719 "
"","Safety","  1,767 ","0","0","  1,767 "
"","Other  uses","  1,482 ","0","0","  1,482 "
"","Breeding of GM or HM","  13 ","0","  13 ","  26 "
"","Total","  15,448 ","0","  13 ","  15,461 "
"Cat","Fundamental biological research","  13 ","-","-","  13 "
"","Applied studies ","  174 ","-","-","  174 "
"","Safety","-","-","-","0"
"","Other  uses","-","-","-","0"
"","Breeding of GM or HM","-","-","-","0"
"","Total","  187 ","0","0","  187 "
"Dog - Beagle","Fundamental biological research","  285 ","-","-","  285 "
"","Applied studies ","  5,317 ","-","-","  5,317 "
"","Safety","  93 ","-","-","  93 "
"","Other  uses","-","-","-","0"
"","Breeding of GM or HM","-","-","-","0"
"","Total","  5,695 ","0","0","  5,695 "
"Dog - Greyhound","Fundamental biological research","","","",""
"","Applied studies ","","","",""
"","Safety","","","",""
"","Other  uses","","","",""
"","Breeding","","","",""
"","Total","","","",""
"Dog - Other","Fundamental biological research","-","-","-","0"
"","Applied studies ","  86 ","-","-","  86 "
"","Safety","  1 ","-","-","  1 "
"","Other  uses","-","-","-","0"
"","Breeding of GM or HM","-","-","-","0"
"","Total","  87 ","0","0","  87 "
"Ferret","Fundamental biological research","  317 ","-","-","  317 "
"","Applied studies ","  456 ","-","-","  456 "
"","Safety","-","-","-","0"
"","Other  uses","  19 ","-","-","  19 "
"","Breeding of GM or HM","-","-","-","0"
"","Total","  792 ","0","0","  792 "
"Table 3 Scientific procedures by species of animal, primary purpose and genetic status ","","","","",""
"","","","","",""
"Great Britain 2010","","","","","Number of procedures"
"Species of animal","Primary purpose of procedure","Genetic status","","","Total"
"","","Normal animal","Animal with harmful genetic defect","Genetically modified animal",""
"Other carnivore","Fundamental biological research","  374 ","-","-","  374 "
"","Applied studies ","  75 ","-","-","  75 "
"","Safety","  322 ","-","-","  322 "
"","Other  uses","-","-","-","0"
"","Breeding of GM or HM","-","-","-","0"
"","Total","  771 ","0","0","  771 "
"Horse, Donkey etc","Fundamental biological research","  130 ","-","-","  130 "
"","Applied studies ","  153 ","-","-","  153 "
"","Safety","  32 ","-","-","  32 "
"","Other  uses","  8,009 ","-","-","  8,009 "
"","Breeding of GM or HM","-","-","-","0"
"","Total","  8,324 ","0","0","  8,324 "
"Pig","Fundamental biological research","  923 ","-","-","  923 "
"","Applied studies ","  2,243 ","-","-","  2,243 "
"","Safety","  9 ","-","-","  9 "
"","Other  uses","-","-","-","0"
"","Breeding of GM or HM","-","-","-","0"
"","Total","  3,175 ","0","0","  3,175 "
"Goat","Fundamental biological research","  1 ","-","-","  1 "
"","Applied studies ","  6 ","-","-","  6 "
"","Safety","  10 ","-","-","  10 "
"","Other  uses","  10 ","-","-","  10 "
"","Breeding of GM or HM","-","-","-","0"
"","Total","  27 ","0","0","  27 "
"Sheep","Fundamental biological research","  4,304 ","0","  2 ","  4,306 "
"","Applied studies ","  1,962 ","0","0","  1,962 "
"","Safety","  82 ","0","0","  82 "
"","Other  uses","  31,183 ","0","0","  31,183 "
"","Breeding of GM or HM","  177 ","0","  4 ","  181 "
"","Total","  37,708 ","0","  6 ","  37,714 "
"Cattle","Fundamental biological research","  2,433 ","-","-","  2,433 "
"","Applied studies ","  1,019 ","-","-","  1,019 "
"","Safety","  121 ","-","-","  121 "
"","Other  uses","  12 ","-","-","  12 "
"","Breeding of GM or HM","-","-","-","0"
"","Total","  3,585 ","0","0","  3,585 "
"Deer","Fundamental biological research","  59 ","-","-","  59 "
"","Applied studies ","-","-","-","0"
"","Safety","  3 ","-","-","  3 "
"","Other  uses","-","-","-","0"
"","Breeding of GM or HM","-","-","-","0"
"","Total","  62 ","0","0","  62 "
"Other ungulate","Fundamental biological research","-","-","-","0"
"","Applied studies ","-","-","-","0"
"","Safety","  11 ","-","-","  11 "
"","Other  uses","-","-","-","0"
"","Breeding of GM or HM","-","-","-","0"
"","Total","  11 ","0","0","  11 "
"Prosimian","Fundamental biological research","","","",""
"","Applied studies ","","","",""
"","Safety","","","",""
"","Other  uses","","","",""
"","Breeding","","","",""
"","Total","","","",""
"Marmoset, Tamarin","Fundamental biological research","  289 ","-","-","  289 "
"","Applied studies ","  814 ","-","-","  814 "
"","Safety","-","-","-","0"
"","Other  uses","-","-","-","0"
"","Breeding of GM or HM","-","-","-","0"
"","Total","  1,103 ","0","0","  1,103 "
"Squirrel, Owl or Spider monkey","Fundamental biological research","","","",""
"","Applied studies ","","","",""
"","Safety","","","",""
"","Other  uses","","","",""
"","Breeding","","","",""
"","Total","","","",""
"Macaque","Fundamental biological research","  270 ","-","-","  270 "
"","Applied studies ","  2,898 ","-","-","  2,898 "
"","Safety","  417 ","-","-","  417 "
"","Other  uses","-","-","-","0"
"","Breeding of GM or HM","-","-","-","0"
"","Total","  3,585 ","0","0","  3,585 "
"Other mammal","Fundamental biological research","  812 ","-","-","  812 "
"","Applied studies ","-","-","-","0"
"","Safety","  402 ","-","-","  402 "
"","Other  uses","-","-","-","0"
"","Breeding of GM or HM","-","-","-","0"
"","Total","  1,214 ","0","0","  1,214 "
"Table 3 Scientific procedures by species of animal, primary purpose and genetic status ","","","","",""
"","","","","",""
"Great Britain 2010","","","","","Number of procedures"
"Species of animal","Primary purpose of procedure","Genetic status","","","Total"
"","","Normal animal","Animal with harmful genetic defect","Genetically modified animal",""
"Domestic fowl","Fundamental biological research","  5,946 ","  282 ","  6 ","  6,234 "
"","Applied studies ","  140,557 ","0","0","  140,557 "
"","Safety","  274 ","0","0","  274 "
