"Quantification of the confetti-positive cell fraction 14 days after tamoxifen-mediated or TAT-Cre-mediated recombination used for Extended Data Figure 4c,e","","","","","","",""
"","","","","","","",""
"tamoxifen","","","","","","",""
"Basal","Total number of cells","Number of labelled cells","Labelling density","","","",""
"Gland 1","912","1","0.0010960906101571","","","",""
"Gland 2","567","2","0.0035294117647059","","","",""
"Gland 3","609","2","0.0032840722495895","","","",""
"Gland 4","451","1","0.0022189349112426","","","",""
"Gland 5","917","1","0.0010909090909091","","","",""
"Gland 6","1563","2","0.0012793176972281","","","",""
"","","","","","","",""
"Luminal","","","","","","",""
"Gland 1","1825","7","0.0038356164383562","","","",""
"Gland 2","1133","10","0.0088261253309797","","","",""
"Gland 3","1218","9","0.0073891625615764","","","",""
"Gland 4","901","8","0.0088790233074362","","","",""
"Gland 5","1833","11","0.0060010911074741","","","",""
"Gland 6","3127","10","0.0031979533098817","","","",""
"","","","","","","",""
"TAT-Cre","","","","","","",""
"Gland 1","350","2","0.0057142857142857","","","",""
"Gland 2","506","4","0.0079051383399209","","","",""
"Gland 3","1024","7","0.0068359375","","","",""
"Gland 4","500","5","0.01","","","",""
"Gland 5","268","3","0.011194029850746","","","",""
"Gland 6","234","2","0.0085470085470085","","","",""
