"Table 3 Scientific procedures by species of animal, and genetic status","","","","","",""
"Summary Version","","","","","",""
"Note. For numbers of procedures by purpose, see full table available on the website","","","","","",""
"","","","","","",""
"Great Britain 2011","","","","","","Number of procedures"
"Species of animal","Genetic status","","","Total","",""
"","Genetically modified animal","Normal animal","Animal with harmful genetic defect","","",""
"Mammal","","","","","",""
"  Mouse","  1,528,388 ","  828,857 ","  322,518 ","  2,679,763 ","",""
"  Rat","  4,514 ","  255,627 ","  11,394 ","  271,535 ","",""
"  Guinea pig","0","  11,537 ","0","  11,537 ","",""
"  Hamster","0","  1,994 ","0","  1,994 ","",""
"  Gerbil","0","  508 ","0","  508 ","",""
"  Other rodent","0","  3,896 ","0","  3,896 ","",""
"  Rabbit","  13 ","  15,448 ","0","  15,461 ","",""
"  Cat","0","  235 ","0","  235 ","",""
"  Dog","","","","","",""
"     Beagle","0","  4,358 ","0","  4,358 ","",""
"     Greyhound","0","0","0","0","",""
"     Other inc cross-breds ","0","  194 ","0","  194 ","",""
"  Ferret","0","  691 ","0","  691 ","",""
"  Other carnivore","0","  795 ","0","  795 ","",""
"  Horse and other equids","0","  8,380 ","0","  8,380 ","",""
"  Pig","  34 ","  4,306 ","0","  4,340 ","",""
"  Goat","0","  196 ","0","  196 ","",""
"  Sheep","  6 ","  37,708 ","0","  37,714 ","",""
"  Cattle","0","  5,102 ","0","  5,102 ","",""
"  Deer","0","  50 ","0","  50 ","",""
"  Camelid","0","  257 ","0","  257 ","",""
"  Other ungulate","0","  12 ","0","  12 ","",""
"  Primate","","","","","",""
"   Prosimian","0","0","0","0","",""
"   New World monkey","","","","","",""
"      marmoset, tamarin","0","  351 ","0","  351 ","",""
"      Squirrel, owl, spider monkey","0","0","0","0","",""
"     Other New World monkey","0","0","0","0","",""
"   Old World monkey","","","","","",""
"      Macaque","0","  2,124 ","0","  2,124 ","",""
"      Baboon","0","0","0","0","",""
"      Other Old World monkey","0","0","0","0","",""
"   Ape","","","","","",""
"      Gibbon","0","0","0","0","",""
"      Great ape","0","0","0","0","",""
"  Other mammal","0","  545 ","0","  545 ","",""
"Bird","","","","","",""
"  Domestic fowl (Gallus domesticus)","  351 ","  148,215 ","  478 ","  149,044 ","",""
"  Turkey","0","  3,409 ","0","  3,409 ","",""
"  Quail (Coturnix coturnix)","0","  34 ","0","  34 ","",""
"  Quail (not Coturnix coturnix)","0","  883 ","0","  883 ","",""
"  Other bird","0","  9,248 ","0","  9,248 ","",""
"Reptile","0","  383 ","0","  383 ","",""
"Amphibian","  1,043 ","  12,002 ","  2,870 ","  15,915 ","",""
"Fish","  119,341 ","  406,129 ","  38,433 ","  563,903 ","",""
"Cephalopod","0","0","0","0","",""
"Total","  1,653,690 ","  1,763,474 ","  375,693 ","  3,792,857 ","",""
"Percentage of total for 2011","44%","46%","10%","100%","",""
"","","","","","",""
"","","  41,781 ","  120,735 ","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
