"Market Basket Volume","$4,000,000","",""
"Average Category Mark-UP","4.96%","",""
"Pricing Evaluation Date","9/1/2013","",""
"","","",""
"Premier Program Incentives","Choose From Drop Down Boxes In Cells","% of Incentive","Actual $ Based on MB Volume"
"","","",""
"USF Discounts with Premier","","",""
"Drop Size Incentive","Less than $2,499","1.00%","$40,000"
"Accounts Payable Incentive","10.01 - 15.00","1.00%","$40,000"
"TOTAL STANDARD","","","$80,000.00"
"","","",""
"Potential Incentives*","","",""
"Program Maximization Incentive","Direct Parent","1.00%","$40,000"
"New Business Incentive","New Customer to USF","1.00%","$40,000"
"Label Incentive","No Label Incentive","0.00%","$0"
"Other","None","1.00%","$40,000"
"TOTAL POTENTIAL","","","$120,000.00"
"","","",""
"GPO - INCENTIVES","","",""
"Contracted Rebates","Premier_CMA_.25","1.00%","$40,000"
"Administrative Fees","No Premier Fee","0.00%","$0"
"Other","None","1.00%","$40,000"
"TOTAL GPO INCENTIVES","","","$80,000.00"
"","","",""
"TOTAL ALL INCENTIVES","","","$280,000.00"
