"Vehicle Description","","LK675","","","",""
"Departure Date","user","Departure Time","Departed From","Distance (km)","Arrival Time","Arrival AT"
"2017/3/1","OLIVER","8:10:32","A1","1.7","8:13:53","DU3"
"","SAMRT","8:35:25","C1","1.7","8:38:29","ERT7"
"","MAX","10:20:06","KL6","2.1","10:33:01","YUI98"
"","MAX","10:47:05","GHJ","1.8","10:51:29","DU3"
"","LUCAS","14:57:47","","1.4","15:06:52",""
"","MAX","16:56:26","","2","17:01:25",""
"","SAMRT","17:07:40","","0.2","17:08:24",""
"2017/3/4","ADAM","7:54:34","","7.6","8:02:39",""
"","MAX","9:25:31","","17.2","9:48:58",""
"","SAMRT","9:54:34","","15.5","10:16:07",""
"","SAMRT","10:24:14","","2","10:27:13",""
"","SAMRT","10:39:31","","10.3","10:49:15",""
"","LUCAS","11:34:11","","7.9","11:45:00",""
"","LUCAS","13:26:59","","7.9","13:35:36",""
"","ADAM","18:18:37","","7.6","18:26:46",""
"2017/5/25","LEWIS","8:00:51","","23","8:30:55",""
"","LEWIS","8:38:10","","4","8:44:46",""
