"NOW Magazine","","24-Jul-14","","Col","Height","2/5 Page","Cost:"," $ 1,720.00 "
"Job #","Artist","Venue","Date","242.3","534.5","2,473.5","Share","Cost"
"","","","","col","mm","","",""
"EM2058","Corona Sunsets","Centre Island","16-Aug-14","8.5","87.5","743.8","30.1%"," $ 517.18 "
"WI2253","Fool's Gold Day Off","Sherbourne Common","6-Sep-14","2.5","40.0","100.0","4.0%"," $ 69.54 "
"LA2035","Ditybird BBQ","Sherbourne Common","7-Sep-14","2.5","40.0","100.0","4.0%"," $ 69.54 "
"WI2256","Flying Lotus","The Danforth","21-Oct-14","3.5","40.0","140.0","5.7%"," $ 97.35 "
"WI2242","Wave Racer","Studio Bar","9-Aug-14","4.25","4.0","17.0","0.7%"," $ 11.82 "
"MD2006","Mad Decent Block Party","Fort York","15-Aug-14","4.25","7.0","29.8","1.2%"," $ 20.69 "
"WI2250","Mr. Scruff","Wrongbar","20-Aug-14","4.25","5.0","21.3","0.9%"," $ 14.78 "
"PR2023","Swear & Shake","The Drake","22-Aug-14","4.25","4.0","17.0","0.7%"," $ 11.82 "
"AM2214","Waterfront Beach Festival","HTO Park","23-Aug-14","4.25","6.0","25.5","1.0%"," $ 17.73 "
"CA2041","The Chainsmokers","The Hoxton","12-Sep-14","4.25","4.0","17.0","0.7%"," $ 11.82 "
"PR2024","moe.","The Mod Club","16-Sep-14","4.25","4.0","17.0","0.7%"," $ 11.82 "
"AP2023","GBH","Hard Luck Bar","22-Sep-14","4.25","4.0","17.0","0.7%"," $ 11.82 "
"HR2008","Woman's Hour","The Drake","6-Oct-14","4.25","4.0","17.0","0.7%"," $ 11.82 "
"AM2215","Tokimonsta","The Drake","9-Oct-14","4.25","4.0","17.0","0.7%"," $ 11.82 "
"WM2067","The Orwells","The Mod Club","11-Oct-14","4.25","4.0","17.0","0.7%"," $ 11.82 "
"AG2064","Boy & Bear","Queen Elizabeth Theatre","18-Oct-14","4.25","4.0","17.0","0.7%"," $ 11.82 "
"WI2243","Fat White Family","Hard Luck Bar","22-Oct-14","4.25","4.0","17.0","0.7%"," $ 11.82 "
"WM2070","Lewis Watson","The Mod Club","26-Oct-14","4.25","4.0","17.0","0.7%"," $ 11.82 "
"PR2025","Twin Peaks","Hard Luck Bar","28-Oct-14","4.25","4.0","17.0","0.7%"," $ 11.82 "
"WI2234"," ","The Danforth","30-Jul-14","4.25","4.0","17.0","0.7%"," $ 11.82 "
"SE2011","Cam'ron","The Danforth","16-Aug-14","4.25","4.0","17.0","0.7%"," $ 11.82 "
"WI2237","Chet Faker","The Danforth","13-Sep-14","4.25","4.0","17.0","0.7%"," $ 11.82 "
"PR2020","Clean Bandit","The Danforth","15-Sep-14","4.25","4.0","17.0","0.7%"," $ 11.82 "
"PB2015","Ty Segall","The Danforth","21-Sep-14","4.25","4.0","17.0","0.7%"," $ 11.82 "
"AG2065","Constantines","The Danforth","2-Oct-14","4.25","6.0","25.5","1.0%"," $ 17.73 "
"AG2066","54-40 & Grapes of Wrath","The Danforth","4-Oct-14","4.25","4.0","17.0","0.7%"," $ 11.82 "
"AG2063","Airbourne","The Danforth","9-Oct-14","4.25","4.0","17.0","0.7%"," $ 11.82 "
"WI2246","Trust","The Danforth","10-Oct-14","4.25","4.0","17.0","0.7%"," $ 11.82 "
"FM2008","Big Wreck","The Danforth","16-Oct-14","4.25","3.0","12.8","0.5%"," $ 8.87 "
"FM2010","Big Wreck","The Danforth","17-Oct-14","4.25","3.0","12.8","0.5%"," $ 8.87 "
"PB2016","Mac Demarco","The Danforth","6-Nov-14","4.25","4.0","17.0","0.7%"," $ 11.82 "
"AG2055","A Tribe Called Red","The Danforth","7-Nov-14","4.25","4.0","17.0","0.7%"," $ 11.82 "
"WI2217","Peter Hook & The Light","The Danforth","11-Nov-14","4.25","4.0","17.0","0.7%"," $ 11.82 "
"WI2249","London Grammar","The Danforth","19-Nov-14","4.25","4.0","17.0","0.7%"," $ 11.82 "
"AG2068","Buck 65","The Danforth","21-Nov-14","4.25","4.0","17.0","0.7%"," $ 11.82 "
"AM2194","Hudson Mohawke","The Hoxton","25-Jul-14","4.25","4.0","17.0","0.7%"," $ 11.82 "
"AM2204","Mercer","The Hoxton","26-Jul-14","4.25","4.0","17.0","0.7%"," $ 11.82 "
"AM2205","Gesaffelstein","The Hoxton","1-Aug-14","4.25","4.0","17.0","0.7%"," $ 11.82 "
"WI2232","Jagwar Ma","The Hoxton","2-Aug-14","4.25","4.0","17.0","0.7%"," $ 11.82 "
"AM2216","Samo Soundboy","The Hoxton","8-Aug-14]","4.25","4.0","17.0","0.7%"," $ 11.82 "
"PR2021","Dizzy Wright","The Hoxton","10-Aug-14","4.25","4.0","17.0","0.7%"," $ 11.82 "
"AM2217","Bassjackers","The Hoxton","14-Aug-14","4.25","4.0","17.0","0.7%"," $ 11.82 "
"WI2238","Kill Paris","The Hoxton","22-Aug-14","4.25","4.0","17.0","0.7%"," $ 11.82 "
"WI2244","Mount Kimbie","The Hoxton","29-Aug-14","4.25","4.0","17.0","0.7%"," $ 11.82 "
"AM2211","Tchami","The Hoxton","5-Sep-14","4.25","4.0","17.0","0.7%"," $ 11.82 "
"WI2245","Metronomy","The Hoxton","10-Sep-14","4.25","4.0","17.0","0.7%"," $ 11.82 "
"AP2022","Vinai","The Hoxton","20-Sep-14","4.25","4.0","17.0","0.7%"," $ 11.82 "
"FM2009","Hilltop Hoods","The Hoxton","25-Sep-14","4.25","4.0","17.0","0.7%"," $ 11.82 "
"WI2240","Yacht","The Hoxton","26-Sep-14","4.25","4.0","17.0","0.7%"," $ 11.82 "
"WI2241","MO","The Hoxton","28-Sep-14","4.25","4.0","17.0","0.7%"," $ 11.82 "
"WI2254","Rusko","The Hoxton","3-Oct-14","4.25","4.0","17.0","0.7%"," $ 11.82 "
"PR2026","Charli XCX","The Hoxton","10-Oct-14","4.25","4.0","17.0","0.7%"," $ 11.82 "
"WI2251","RJD2","The Hoxton","14-Nov-14","4.25","4.0","17.0","0.7%"," $ 11.82 "
"EI2010","Electric Island","Centre Island","4-Aug-14","4.25","107.0","454.8","18.4%"," $ 316.22 "
"SU2011","New Kanada w/ Graze","Coda","26-Jul-14","4.25","8.0","34.0","1.4%"," $ 23.64 "
"BB2008","Steve Lawler","Coda","22-Aug-14","4.25","4.0","17.0","0.7%"," $ 11.82 "
"WI2236","Com Truise","Coda","18-Sep-14","4.25","6.0","25.5","1.0%"," $ 17.73 "
"","","","","","","TOTAL:","100.00%"," $ 1,720.00 "
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
